Calib;node;Prior
Mammalia;73;B(1.649,2.51254)
Theria;74;B(1.2156,1.696)
Marsupialia;75;B(0.476,1.313)
Eometatheria;76;B(0.2303,0.56)
Placentalia;77;B(0.616,1.646)
Atlantogenata;78;NA
Xenarthra;79;B(0.476,1.646)
Afrotheria;80;B(0.56,1.646)
Paenungulata;81;B(0.56,1.646)
Boreoeutheria;82;NA
Laurasiatheria;83;NA
Lipotyphla;84;B(0.616,1.646)
Scrotifera;85;NA
Chiroptera;86;B(0.476,0.6611)
Fereungulata;87;NA
Carnivora;88;B(0.373,0.6611)
Felidae;89;NA
Pantherinae;90;NA
Caniformia;91;B(0.373,0.6611)
Arctoidea;92;NA
Euungulata;93;B(0.524,0.6611)
Artiodactyla;94;B(0.505,0.6611)
Artiofabula;95;NA
Cetruminantia;96;B(0.505,0.6611)
Bovidae;97;B(0.16,0.281)
O.aries-C.hircus;98;NA
Euarchontoglires;99;B(0.616,1.646)
Tupaia-Glires;100;NA
Glires;101;B(0.56,1.646)
Lagomorpha;102;B(0.476,0.6611)
Rodentia;103;B(0.56,0.6611)
Nonsquirrel_rodents;104;B(0.476,0.592)
Caviomorpha-Phiomorpha;105;NA
Phiomorpha;106;NA
Caviomorpha;107;NA
C.porcellus-C.aperea;108;NA
C.lanigera-O.degus;109;NA
D.ordii-Myomorpha;110;B(0.407,0.592)
Dipodidae-Muroidea;111;NA
N.galili-Muridae;112;NA
Muridae;113;NA
Cricetidae;114;NA
M.auratus-C.griseus;115;NA
P.maniculatus-M.ochrogaster;116;NA
Murinae;117;B(0.072,0.16)
M.pahari-rest;118;NA
M.caroli-rest;119;NA
M.spretus-M.musculus;120;NA
Primates;121;B(0.56,0.6611)
Strepsirrhini;122;B(0.339,0.6611)
Propithecus-Microcebus;123;NA
Haplorrhini;124;NA
Anthropoidea;125;B(0.339,0.6611)
Aotidae-Callitrichidae;126;NA
A.nancymaae-C.jacchus;127;NA
Cebidae;128;NA
Catarrhini;129;B(0.2444,0.339)
Cercopithecoidea;130;NA
Cercopithecinae;131;B(0.0533,0.34)
Papionini;132;B(0.053,0.339)
Papio-Mandrillus;133;NA
C.atys-M.leucophaeus;134;NA
M.nemestrina-M.fascicularis;135;NA
M.fascicularis-M.mulatta;136;NA
Colobinae;137;NA
R.roxellana-R.bieti;138;NA
Hominoidea;139;NA
Hominidae;140;B(0.1163,0.339)
Homininae;141;B(0.0533,0.339)
Hominini;142;B(0.065,0.1)
P.paniscus-P.troglodites;143;NA
