Calib;node;Prior
Mammalia;73;B(1.641,2.522)
Theria;74;B(1.2156,1.694)
Marsupialia;75;B(0.4807,1.272)
Eometatheria;76;B(0.2304,0.56)
Placentalia;77;B(0.6166,1.625)
Atlantogenata;78;NA
Xenarthra;79;B(0.4807,1.625)
Afrotheria;80;B(0.56,1.625)
Paenungulata;81;B(0.56,1.625)
Boreoeutheria;82;NA
Laurasiatheria;83;NA
Lipotyphla;84;B(0.6166,1.625)
Scrotifera;85;NA
Chiroptera;86;B(0.4807,0.6609)
Fereungulata;87;NA
Carnivora;88;B(0.3771,0.6609)
Felidae;89;NA
Pantherinae;90;NA
Caniformia;91;B(0.3771,0.6609)
Arctoidea;92;NA
Euungulata;93;B(0.507,0.6609)
Artiodactyla;94;B(0.507,0.6609)
Artiofabula;95;NA
Cetruminantia;96;B(0.507,0.6609)
Bovidae;97;B(0.1599,0.2729)
O.aries-C.hircus;98;NA
Euarchontoglires;99;B(0.6166,1.625)
Tupaia-Glires;100;NA
Glires;101;B(0.56,1.625)
Lagomorpha;102;B(0.4807,0.6609)
Rodentia;103;B(0.56,0.6609)
Nonsquirrel_rodents;104;B(0.4807,0.5924)
Caviomorpha-Phiomorpha;105;NA
Phiomorpha;106;NA
Caviomorpha;107;NA
C.porcellus-C.aperea;108;NA
C.lanigera-O.degus;109;NA
D.ordii-Myomorpha;110;NA
Dipodidae-Muroidea;111;B(0.4103,0.5924)
N.galili-Muridae;112;NA
Muridae;113;NA
Cricetidae;114;NA
M.auratus-C.griseus;115;NA
P.maniculatus-M.ochrogaster;116;NA
Murinae;117;B(0.0725,0.1599)
M.pahari-rest;118;NA
M.caroli-rest;119;NA
M.spretus-M.musculus;120;NA
Primates;121;B(0.56,0.6609)
Strepsirrhini;122;B(0.339,0.6609)
Propithecus-Microcebus;123;NA
Haplorrhini;124;NA
Anthropoidea;125;B(0.339,0.6609)
Aotidae-Callitrichidae;126;NA
A.nancymaae-C.jacchus;127;NA
Cebidae;128;NA
Catarrhini;129;B(0.2444,0.339)
Cercopithecoidea;130;NA
Cercopithecinae;131;B(0.0533,0.339)
Papionini;132;B(0.0533,0.339)
Papio-Mandrillus;133;NA
C.atys-M.leucophaeus;134;NA
M.nemestrina-M.fascicularis;135;NA
M.fascicularis-M.mulatta;136;NA
Colobinae;137;NA
R.roxellana-R.bieti;138;NA
Hominoidea;139;NA
Hominidae;140;B(0.1165,0.339)
Homininae;141;B(0.0533,0.339)
Hominini;142;B(0.065,0.1)
P.paniscus-P.troglodites;143;NA
