Mean_time	Mean_qlow	Mean_qup	Priors
t_n73_MAMMALIA	199.095	164.31	248.34	B(1.649,2.51254)
t_n74_THERIA	140.637	122.82	164.4	B(1.2156,1.696)
t_n75_DIDELPHIMORPHIA-AUSTRALIDELPHIA	56.46	43.29	69.81	B(0.476,1.313)
t_n76_EOMETATHERIA	46.059	34.71	56.61	B(0.2303,0.56)
t_n77_PLACENTALIA	79.894	77.34	82.75	B(0.616,1.646)
t_n78_XENARTHRA-AFROTHERIA	78.42	76.02	81.1	NA
t_n79_XENARTHRA	62.15	56.76	66.74	B(0.476,1.646)
t_n80_AFROTHERIA	65.709	62.19	69.04	B(0.56,1.646)
t_n81_PAENUNGULATA	56.805	52.52	61.42	B(0.56,1.646)
t_n82_BOREOEUTHERIA	74.884	72.98	76.95	NA
t_n83_LAURASIATHERIA	69.643	68.21	71.16	NA
t_n84_ERINACEIDAE-SORICIDAE	58.459	55.45	61.02	B(0.616,1.646)
t_n85_SCROTIFERA	67.993	66.64	69.44	NA
t_n86_CHIROPTERA	58.613	55.72	60.99	B(0.476,0.6611)
t_n87_FEREUNGULATA	67.328	66	68.75	NA
t_n88_CARNIVORA	51.857	47.64	55.1	B(0.373,0.6611)
t_n89_FELIDAE	15.472	11.76	19.26	NA
t_n90_PANTHERINAE	7.898	5.72	10.22	NA
t_n91_CANIFORMIA	44.477	39.72	48.31	B(0.373,0.6611)
t_n92_ARCTOIDEA	37.665	32.75	41.97	NA
t_n93_EUUNGULATA	66.175	64.87	67.56	B(0.524,0.6611)
t_n94_ARTIODACTYLA	57.379	55.81	58.78	B(0.505,0.6611)
t_n95_ARTIOFABULA	54.924	53.26	56.31	NA
t_n96_CETRUMINANTIA	50.004	48.06	51.47	B(0.505,0.6611)
t_n97_BOVIDAE	18.648	15.91	22.92	B(0.16,0.281)
t_n98_ovis_aries-capra_hircus	8.181	6.41	10.58	NA
t_n99_EUARCHONTOGLIRES	69.649	68.14	71.15	B(0.616,1.646)
t_n100_Tupaia-Glires	68.827	67.36	70.26	NA
t_n101_GLIRES	66.091	64.75	67.37	B(0.56,1.646)
t_n102_LAGOMORPHA	47.645	45.71	49.73	B(0.476,0.6611)
t_n103_RODENTIA	60.72	59.56	61.89	B(0.56,0.6611)
t_n104_ROD-NOSQUIRREL	59.266	58.1	60.46	B(0.476,0.592)
t_n105_CAVIOMORPHA-PHIOMORPHA	41.196	38.4	43.89	NA
t_n106_BATHYERGIDAE|PHIOMORPHA	32.028	28.69	35.24	NA
t_n107_CAVIOMORPHA	35.65	32.81	38.42	NA
t_n108_Cavia_porcellus-Cavia_aperea	9.031	7.27	10.89	NA
t_n109_Chinchilla_lanigera-Octodon_degus	31.931	29.05	34.78	NA
t_n110_dipodomys_ordi-MYOMORPHA	54.86	53.33	56.3	B(0.407,0.592)
t_n111_MYOMORPHA	46.155	42.96	48.77	NA
t_n112_nannospalax_galili-MURIDAE	37.2	33.17	40.92	NA
t_n113_MURIDAE	20.123	16.41	24.81	NA
t_n114_CRICETIDAE	15.984	12.9	20.01	NA
t_n115_Mesocricetus_auratus-Cricetulus_griseus	10.484	8.33	13.52	NA
t_n116_Peromyscus_maniculatus-Microtus_ochrogaster	15.016	12.09	18.86	NA
t_n117_MURINAE	10.763	8.39	14	B(0.072,0.16)
t_n118_Mus_pahari-rest	5.322	4.02	7.11	NA
t_n119_Mus_caroli-rest	2.754	2.05	3.73	NA
t_n120_Mus_spretus-Mus_musculus	1.295	0.96	1.77	NA
t_n121_PRIMATES	64.8	63.2	66.16	B(0.56,0.6611)
t_n122_STREPSIRHINI	52.859	48.94	55.81	B(0.339,0.6611)
t_n123_within_Lemuroidea	35.251	29.62	40.62	NA
t_n124_HAPLORHINI	61.502	59.63	63.11	NA
t_n125_ANTHROPOIDEA/SIMIIFORMES	40.216	36.75	43.39	B(0.339,0.6611)
t_n126_AOTIDAE-CALLITRICHIDAE	18.061	13.78	21.4	NA
t_n127_aotus_nancymaae-callithrix_jacchus	17.352	13.21	20.6	NA
t_n128_CEBIDAE	15.867	12.01	18.94	NA
t_n129_CATARRHINI	30.269	27.26	33	B(0.2444,0.339)
t_n130_CERCOPITHECOIDEA	18.184	15.84	20.48	NA
t_n131_CERCOPITHECINAE	13.628	11.67	15.57	B(0.0533,0.34)
t_n132_PAPIONINI	10.386	8.79	12.01	B(0.053,0.339)
t_n133_Papio-Mandrillus	8.83	7.43	10.27	NA
t_n134_cercocebus_atys-mandrillus_leucophaeus	7.404	6.19	8.67	NA
t_n135_GENUS_MACACA	5.716	4.72	6.8	NA
t_n136_macaca_fascicularis-macaca_mulatta	4.207	3.45	5.05	NA
t_n137_COLOBINAE	13.165	11.26	15.13	NA
t_n138_GENUS RHINOPITHECUS	4.035	3.21	5	NA
t_n139_HOMINOIDEA	22.599	19.99	24.94	NA
t_n140_HOMINIDAE	20.087	17.66	22.25	B(0.1163,0.339)
t_n141_HOMININAE	11.319	9.67	12.39	B(0.0533,0.339)
t_n142_HOMININI	9.247	7.85	10.09	B(0.065,0.1)
t_n143_pan_paniscus-pan_troglodites	3.786	3.1	4.41	NA
