Mean_time	Mean_qlow	Mean_qup	Priors
t_n73_Mammalia	201.043	164.45	250.33	B(1.641,2.522)
t_n74_Theria	142.029	123.65	166.85	B(1.2156,1.694)
t_n75_Marsupialia	58.432	44.95	70.31	B(0.4807,1.272)
t_n76_Eometatheria	47.735	36.06	56.71	B(0.2304,0.56)
t_n77_Placentalia	80.63	77.49	84.3	B(0.6166,1.625)
t_n78_Atlantogenata	79.12	76.16	82.53	NA
t_n79_Xenarthra	62.529	55.99	67.47	B(0.4807,1.625)
t_n80_Afrotheria	65.991	62.15	69.77	B(0.56,1.625)
t_n81_Paenungulata	56.903	52.55	62.03	B(0.56,1.625)
t_n82_Boreoeutheria	75.328	73.11	78.03	NA
t_n83_Laurasiatheria	69.804	68.29	71.78	NA
t_n84_Lipotyphla	58.482	55.23	61.32	B(0.6166,1.625)
t_n85_Scrotifera	68.138	66.71	70.05	NA
t_n86_Chiroptera	58.701	55.57	61.37	B(0.4807,0.6609)
t_n87_Fereungulata	67.47	66.06	69.37	NA
t_n88_Carnivora	52.279	48.19	55.64	B(0.3771,0.6609)
t_n89_Felidae	15.69	11.88	19.42	NA
t_n90_Pantherinae	8.024	5.79	10.33	NA
t_n91_Caniformia	44.914	40.31	48.97	B(0.3771,0.6609)
t_n92_Arctoidea	38.091	33.25	42.64	NA
t_n93_Euungulata	66.321	64.95	68.21	B(0.507,0.6609)
t_n94_Artiodactyla	57.53	55.94	59.19	B(0.507,0.6609)
t_n95_Artiofabula	55.082	53.4	56.65	NA
t_n96_Cetruminantia	50.184	48.25	51.74	B(0.507,0.6609)
t_n97_Bovidae	18.751	15.91	23.1	B(0.1599,0.2729)
t_n98_O.aries-C.hircus	8.239	6.42	10.7	NA
t_n99_Euarchontoglires	69.792	68.25	71.54	B(0.6166,1.625)
t_n100_Tupaia-Glires	68.961	67.46	70.59	NA
t_n101_Glires	66.216	64.86	67.58	B(0.56,1.625)
t_n102_Lagomorpha	48.143	46.18	50.15	B(0.4807,0.6609)
t_n103_Rodentia	60.766	59.52	61.98	B(0.56,0.6609)
t_n104_Nonsquirrel_rodents	59.284	58.02	60.54	B(0.4807,0.5924)
t_n105_Caviomorpha-Phiomorpha	41.124	38.23	43.97	NA
t_n106_Phiomorpha	31.973	28.54	35.36	NA
t_n107_Caviomorpha	35.589	32.67	38.55	NA
t_n108_C.porcellus-C.aperea	9.025	7.27	10.89	NA
t_n109_C.lanigera-O.degus	31.878	28.93	34.91	NA
t_n110_D.ordii-Myomorpha	54.774	53.15	56.36	NA
t_n111_Dipodidae-Muroidea	45.787	42.59	48.66	B(0.4103,0.5924)
t_n112_N.galili-Muridae	36.713	32.7	40.67	NA
t_n113_Muridae	19.622	15.94	24.68	NA
t_n114_Cricetidae	15.57	12.49	19.88	NA
t_n115_M.auratus-C.griseus	10.204	8.08	13.35	NA
t_n116_P.maniculatus-M.ochrogaster	14.627	11.71	18.73	NA
t_n117_Murinae	10.417	8.14	13.79	B(0.0725,0.1599)
t_n118_M.pahari-rest	5.143	3.92	7.01	NA
t_n119_M.caroli-rest	2.66	2	3.67	NA
t_n120_M.spretus-M.musculus	1.251	0.93	1.74	NA
t_n121_Primates	64.93	63.38	66.22	B(0.56,0.6609)
t_n122_Strepsirrhini	53.182	49.32	55.84	B(0.339,0.6609)
t_n123_Propithecus-Microcebus	35.519	29.85	40.61	NA
t_n124_Haplorrhini	61.63	59.82	63.15	NA
t_n125_Anthropoidea	40.18	36.68	43.19	B(0.339,0.6609)
t_n126_Aotidae-Callitrichidae	18.333	14.49	21.53	NA
t_n127_A.nancymaae-C.jacchus	17.618	13.9	20.73	NA
t_n128_Cebidae	16.12	12.65	19.07	NA
t_n129_Catarrhini	30.231	27.21	32.87	B(0.2444,0.339)
t_n130_Cercopithecoidea	18.165	15.84	20.4	NA
t_n131_Cercopithecinae	13.624	11.69	15.51	B(0.0533,0.339)
t_n132_Papionini	10.389	8.81	11.95	B(0.0533,0.339)
t_n133_Papio-Mandrillus	8.836	7.45	10.21	NA
t_n134_C.atys-M.leucophaeus	7.414	6.22	8.62	NA
t_n135_M.nemestrina-M.fascicularis	5.723	4.74	6.76	NA
t_n136_M.fascicularis-M.mulatta	4.216	3.46	5.04	NA
t_n137_Colobinae	13.161	11.28	15.11	NA
t_n138_R.roxellana-R.bieti	4.044	3.22	5	NA
t_n139_Hominoidea	22.566	19.97	24.82	NA
t_n140_Hominidae	20.056	17.64	22.15	B(0.1165,0.339)
t_n141_Homininae	11.314	9.66	12.37	B(0.0533,0.339)
t_n142_Hominini	9.244	7.85	10.08	B(0.065,0.1)
t_n143_P.paniscus-P.troglodites	3.784	3.1	4.4	NA
