Mean_time	Mean_qlow	Mean_qup	Priors
t_n73	200.483	164.24	248.32	0
t_n74	139.841	123.15	163.47	0
t_n75	55.771	43.74	69.5	0
t_n76	45.494	35.08	56.44	0
t_n77	79.77	77.09	82.56	0
t_n78	78.299	75.78	80.91	0
t_n79	61.992	56.56	66.47	0
t_n80	65.63	62	68.93	0
t_n81	56.754	52.34	61.34	0
t_n82	74.729	72.72	76.8	0
t_n83	69.523	67.98	71.08	0
t_n84	58.409	55.42	60.91	0
t_n85	67.881	66.42	69.34	0
t_n86	58.585	55.71	60.91	0
t_n87	67.219	65.78	68.65	0
t_n88	51.9	47.72	55.1	0
t_n89	15.519	11.8	19.32	0
t_n90	7.918	5.73	10.26	0
t_n91	44.563	39.87	48.38	0
t_n92	37.77	32.93	42.08	0
t_n93	66.075	64.68	67.47	0
t_n94	57.34	55.73	58.73	0
t_n95	54.894	53.2	56.28	0
t_n96	49.983	48.01	51.45	0
t_n97	18.54	15.88	22.97	0
t_n98	8.119	6.38	10.62	0
t_n99	69.558	67.99	71.13	0
t_n100	66.302	64.91	67.69	0
t_n101	47.695	45.77	49.8	0
t_n102	60.857	59.69	62.13	0
t_n103	59.385	58.22	60.69	0
t_n104	41.192	38.26	44.03	0
t_n105	32.001	28.62	35.33	0
t_n106	35.635	32.65	38.56	0
t_n107	9.015	7.25	10.91	0
t_n108	31.911	28.9	34.9	0
t_n109	54.966	53.43	56.52	0
t_n110	46.314	43.06	48.98	0
t_n111	37.447	33.23	41.2	0
t_n112	20.497	16.41	25.19	0
t_n113	16.303	12.91	20.36	0
t_n114	10.709	8.31	13.74	0
t_n115	15.319	12.1	19.18	0
t_n116	10.994	8.37	14.19	0
t_n117	5.441	4.04	7.24	0
t_n118	2.815	2.06	3.81	0
t_n119	1.324	0.96	1.81	0
t_n120	68.665	67.15	70.19	0
t_n121	64.46	62.9	65.96	0
t_n122	52.558	48.69	55.53	0
t_n123	35.016	29.47	40.38	0
t_n124	61.177	59.38	62.87	0
t_n125	40.139	36.81	43.21	0
t_n126	18.181	14.09	21.44	0
t_n127	17.47	13.5	20.64	0
t_n128	15.979	12.28	18.98	0
t_n129	30.244	27.34	32.94	0
t_n130	18.172	15.95	20.44	0
t_n131	13.614	11.76	15.55	0
t_n132	10.375	8.86	12	0
t_n133	8.82	7.49	10.26	0
t_n134	7.395	6.23	8.66	0
t_n135	5.71	4.76	6.78	0
t_n136	4.202	3.47	5.04	0
t_n137	13.154	11.34	15.11	0
t_n138	4.029	3.22	4.99	0
t_n139	22.591	20.02	24.88	0
t_n140	20.081	17.7	22.2	0
t_n141	11.326	9.67	12.38	0
t_n142	9.254	7.85	10.08	0
t_n143	3.788	3.1	4.41	0
