t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	2.4929219	1.6419349	0.7023815	0.5688425	0.8517091	0.8347296	0.6868659	0.7076924	0.6256838	0.7928865	0.736991	0.624713	0.7181638	0.5975353	0.5901129	0.532904	0.2290795	0.1054336	0.7117657	0.6169426	0.7025227	0.5548882	0.1903004	0.1008978	0.4832677	0.4171747	0.7255319	0.7153887	0.6826919	0.4981251	0.6233553	0.6083022	0.4370699	0.3497652	0.3820664	0.1070741	0.3454295	0.5653652	0.4872991	0.4062064	0.2445811	0.1966822	0.1320345	0.1852056	0.1364048	0.0689038	0.0360097	0.0170327	0.6658204	0.5597718	0.4041155	0.6331377	0.4339856	0.2128878	0.2050638	0.1881211	0.3294814	0.2037594	0.1545773	0.1192411	0.1018339	0.085907	0.0672353	0.0499829	0.1499409	0.0492717	0.2485811	0.2217029	0.1239064	0.1008498	0.0439933
run2	2.4751886	1.6590955	0.6995854	0.5687734	0.8648183	0.8482081	0.6879348	0.712293	0.6271301	0.8045839	0.7468443	0.6260402	0.7275643	0.606582	0.5985685	0.5371537	0.2309316	0.1073681	0.7214407	0.6186181	0.7120744	0.5548401	0.1912143	0.1009778	0.4820339	0.4161128	0.7309306	0.7197713	0.6835733	0.4970983	0.6229289	0.608278	0.4399481	0.3529087	0.3855136	0.108818	0.3487689	0.5666221	0.4918103	0.4145988	0.2523477	0.2030814	0.1373195	0.1914113	0.1414554	0.0726543	0.0381946	0.0180909	0.6643613	0.5600225	0.4060253	0.6325316	0.4337944	0.2142512	0.2062187	0.1896887	0.3292493	0.2030401	0.1539072	0.1182279	0.1010651	0.0852643	0.0667233	0.04965	0.1497441	0.0493497	0.2489509	0.2222143	0.1239043	0.1008107	0.0440238
run3	2.4594524	1.6585531	0.7007274	0.5682741	0.8541645	0.8370054	0.6905889	0.7080073	0.6275296	0.7935529	0.7358601	0.6261061	0.7170891	0.5970835	0.5898056	0.5321354	0.2272709	0.1042163	0.7106188	0.6185474	0.7015368	0.5555771	0.1922301	0.1017846	0.4840787	0.4192283	0.7247188	0.7147444	0.68224	0.4973842	0.623222	0.6084822	0.439687	0.3519228	0.384531	0.1079988	0.3479898	0.5660247	0.4884472	0.4094467	0.2516459	0.2031567	0.1362688	0.1914534	0.1407979	0.0714875	0.0375663	0.0178583	0.6653221	0.5600003	0.4026312	0.6333142	0.4341489	0.214471	0.2064297	0.189487	0.3311945	0.2051847	0.1556989	0.1199777	0.1024791	0.0864618	0.0677219	0.0502162	0.1515744	0.0495194	0.249726	0.2225549	0.1238325	0.1008228	0.0439657
run4	2.454328	1.6436881	0.7052413	0.5702035	0.8486713	0.8318985	0.6842827	0.7055256	0.6251759	0.7901662	0.7338224	0.6232294	0.7152008	0.5940977	0.5866479	0.5298093	0.2255663	0.1026477	0.708826	0.6167707	0.6996846	0.5544272	0.1900033	0.1002371	0.4837248	0.418099	0.7241696	0.7142513	0.6823815	0.4975358	0.6248618	0.6101792	0.4410922	0.3546557	0.3866239	0.1081684	0.3499645	0.5669857	0.4888397	0.4095572	0.2471178	0.1989566	0.1342161	0.1875788	0.1386961	0.0705614	0.0370309	0.0176257	0.6659202	0.5599764	0.4049457	0.6334033	0.4334415	0.2124182	0.2044951	0.1878146	0.328923	0.2031516	0.1539791	0.1185376	0.1011648	0.0852346	0.0667697	0.0495924	0.1492822	0.0489553	0.2483978	0.221587	0.1238044	0.1007918	0.0438871
run5	2.5024936	1.6391957	0.69067	0.5637275	0.8520488	0.8352795	0.6895056	0.706097	0.6253159	0.7908094	0.7338287	0.6257161	0.7152562	0.5961074	0.588707	0.532749	0.228842	0.1059666	0.7088748	0.6181161	0.6999605	0.5552678	0.190803	0.1011846	0.4829698	0.4164712	0.7242008	0.7142767	0.6818142	0.4974323	0.6238223	0.6091322	0.4407505	0.3534805	0.3853592	0.1088142	0.3484464	0.5665863	0.4884571	0.409359	0.2426761	0.1950406	0.1320708	0.1838799	0.1380455	0.0712832	0.0375223	0.0177907	0.6651828	0.5614574	0.409419	0.6332793	0.4354732	0.2176434	0.2095368	0.1922372	0.3313262	0.2046986	0.1552529	0.1194198	0.1020051	0.0859608	0.067339	0.0500377	0.1509302	0.0494878	0.2498293	0.2225746	0.123891	0.1008522	0.0438745
run6	2.4810639	1.6443457	0.696045	0.5651577	0.8546904	0.8379563	0.6890883	0.7095169	0.6272284	0.7948049	0.7382776	0.6282072	0.7200553	0.6015445	0.5941022	0.5367057	0.2280761	0.1043524	0.713738	0.6212821	0.7048672	0.5599016	0.1934343	0.1024933	0.4873612	0.4205541	0.7266699	0.7162781	0.684067	0.4979228	0.6252176	0.6103363	0.4419281	0.3540125	0.386696	0.1077211	0.350494	0.5673282	0.4900989	0.4106584	0.2445752	0.1971254	0.1333756	0.1856654	0.1372948	0.0700428	0.0367697	0.0174253	0.6660767	0.5601935	0.4063221	0.6332441	0.4326296	0.2111336	0.203326	0.1868391	0.3289771	0.2035862	0.1550425	0.1193932	0.1020088	0.0859154	0.067234	0.0499297	0.1505545	0.049242	0.2483808	0.2215278	0.1235798	0.1006982	0.0439724
run7	2.4921947	1.643358	0.7004014	0.5681397	0.8487358	0.8317666	0.6839783	0.7043329	0.6245927	0.7885894	0.7309355	0.623645	0.7122406	0.5964879	0.5892468	0.5322786	0.2281314	0.103734	0.705966	0.6159986	0.6971332	0.5549199	0.1909347	0.1007429	0.4843087	0.4193642	0.7229021	0.7131517	0.6817786	0.4977227	0.6240847	0.6093986	0.4420563	0.3544896	0.3877053	0.1088156	0.3511607	0.5666494	0.4889877	0.4102667	0.2472298	0.1993052	0.1341385	0.1875668	0.1382182	0.0703411	0.0368411	0.0174481	0.6653723	0.5607645	0.4068457	0.633172	0.4329641	0.2096269	0.2017963	0.1852524	0.3297507	0.2041383	0.1549968	0.1192731	0.1019223	0.0859116	0.0675441	0.0502107	0.1506936	0.0498249	0.2493595	0.2223555	0.1239129	0.1007704	0.0439337
run8	2.4542674	1.6272783	0.6954072	0.5655625	0.8527281	0.8363832	0.6901465	0.7097892	0.6280645	0.7935338	0.736319	0.6265062	0.7171816	0.5969692	0.5895728	0.5332882	0.2323073	0.1073113	0.7108625	0.6199933	0.7017574	0.5566743	0.193099	0.1022397	0.4855822	0.4196872	0.7259977	0.7158654	0.6836753	0.497113	0.6249791	0.6100912	0.4424578	0.3560894	0.3879801	0.1089089	0.3512603	0.5670411	0.488697	0.4081205	0.2455514	0.1981278	0.1330348	0.1868105	0.1374078	0.0691873	0.0360898	0.0170928	0.6663955	0.5601743	0.4054188	0.6337459	0.4334178	0.2126871	0.2048012	0.1882382	0.3302489	0.204482	0.1556182	0.1200788	0.1025531	0.0863953	0.0675986	0.0502365	0.1507513	0.0499273	0.250021	0.2229752	0.1240392	0.1008785	0.0439885
run9	2.501815	1.644397	0.6958566	0.5643845	0.8520391	0.8350563	0.6861643	0.707284	0.6251787	0.7937178	0.7374549	0.6249082	0.7188806	0.5984774	0.5909924	0.5341872	0.2275832	0.1047505	0.712567	0.6180354	0.7036295	0.5559421	0.191254	0.101228	0.4836729	0.4168105	0.7257808	0.7156362	0.6828307	0.4984108	0.624143	0.6093634	0.4398635	0.3510454	0.3846658	0.1079152	0.34765	0.5666605	0.4890621	0.409726	0.2472377	0.1992294	0.1352573	0.1880323	0.1393434	0.0714589	0.0375183	0.0177943	0.6658474	0.5596439	0.4040853	0.6335365	0.4349629	0.2182636	0.210167	0.1930796	0.331396	0.205534	0.1563983	0.1204677	0.102902	0.086806	0.0678065	0.0503808	0.1518915	0.0500386	0.2493904	0.2223997	0.1238884	0.100855	0.04402
run10	2.4736798	1.5929532	0.6931988	0.5640138	0.8393562	0.8230423	0.6799283	0.7008462	0.6223577	0.7821302	0.7271932	0.6216122	0.7088006	0.5913835	0.5842377	0.5293624	0.2308791	0.1060992	0.7025247	0.6128619	0.6936369	0.5505937	0.1918006	0.1013413	0.4813319	0.4174738	0.720133	0.7105884	0.6798582	0.4984444	0.6233703	0.6085462	0.4396241	0.3529865	0.3848842	0.1082254	0.3482183	0.5660286	0.4882438	0.4087027	0.2477727	0.1998352	0.1341579	0.1884054	0.1397518	0.0712624	0.0373504	0.0177242	0.664768	0.5605205	0.4082323	0.6331129	0.4352882	0.2144105	0.2063322	0.189708	0.3308135	0.2048718	0.1558602	0.1205131	0.1030172	0.087028	0.0680642	0.0505187	0.1515409	0.050081	0.2493553	0.2225041	0.1239965	0.1008593	0.0440634
