t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	1.638126	1.2343516	0.4280159	0.3429859	0.793182	0.6119111	0.7809368	0.6373667	0.5390853	0.7296947	0.6818826	0.5530229	0.665839	0.5559084	0.659401	0.4751889	0.1186372	0.0575592	0.3972721	0.3276153	0.6481251	0.5574958	0.5322468	0.480365	0.1591798	0.0643166	0.680457	0.6724973	0.6462941	0.4573349	0.5943051	0.5797297	0.3828552	0.2854208	0.3263267	0.0721717	0.2885559	0.5332414	0.4321403	0.3353356	0.1691886	0.1331597	0.0858109	0.1247033	0.0863587	0.0413976	0.0211011	0.0098241	0.630423	0.4879758	0.2970827	0.5944552	0.3652128	0.1392172	0.1334937	0.1214356	0.2694292	0.1565406	0.1156827	0.0871651	0.073689	0.0613992	0.0469237	0.0341936	0.1116076	0.031757	0.1964538	0.1733505	0.095172	0.0774321	0.0305246
run2	1.6361867	1.236168	0.4368011	0.348936	0.7924212	0.6139955	0.780292	0.6369362	0.537381	0.7294049	0.6815312	0.5539026	0.6656375	0.556323	0.6592149	0.4739875	0.1156087	0.0562701	0.394519	0.3244307	0.6480033	0.5577562	0.5323713	0.48013	0.1587556	0.0635287	0.6807887	0.6729028	0.6467987	0.4568279	0.595077	0.5806896	0.3848249	0.2866208	0.3286727	0.0723294	0.2909897	0.5338875	0.4327447	0.3348773	0.165035	0.1297566	0.0839606	0.1216351	0.0842096	0.0405048	0.0206597	0.0096199	0.6306427	0.4876727	0.2930968	0.5950052	0.3688548	0.14347	0.1374787	0.125225	0.2741051	0.1587435	0.1168481	0.0879585	0.0743412	0.0620309	0.0472521	0.0344452	0.112583	0.0320557	0.2007258	0.1773582	0.0973373	0.0789817	0.031139
run3	1.6441133	1.2357329	0.4358606	0.349018	0.7933301	0.6158764	0.7810768	0.6397759	0.5402693	0.7297117	0.6814884	0.5535957	0.665594	0.5572363	0.6591929	0.4764421	0.117716	0.0572561	0.3964923	0.3256036	0.6480554	0.5577858	0.5330706	0.4814455	0.159174	0.0640966	0.6807943	0.6728836	0.646539	0.457531	0.5944401	0.5798992	0.383393	0.2864511	0.3274864	0.0726206	0.2898033	0.5325954	0.4287374	0.3312332	0.1635395	0.1287278	0.0830264	0.1207838	0.0841421	0.0406274	0.0206715	0.0096136	0.6300837	0.4844422	0.2921943	0.5937613	0.3644835	0.1376735	0.1319272	0.1200455	0.2692169	0.1567034	0.1156394	0.0870209	0.0736154	0.0613019	0.0467695	0.034085	0.1116192	0.0317537	0.1943303	0.1716023	0.0941499	0.0765666	0.0302915
run4	1.649366	1.2454893	0.4475397	0.3573714	0.7944558	0.6146338	0.7822332	0.6386525	0.5382814	0.730297	0.6814304	0.552004	0.6654429	0.5558623	0.6587884	0.4771349	0.1175608	0.0569683	0.3990736	0.3285549	0.6473463	0.5567942	0.5314457	0.480279	0.1586083	0.063723	0.6808085	0.6729403	0.6467159	0.4570289	0.5950613	0.5803721	0.3857865	0.2894068	0.3300576	0.0726506	0.2918516	0.5325302	0.4299012	0.333512	0.1659831	0.1304315	0.0838568	0.122268	0.0844542	0.0406183	0.0206962	0.0096568	0.6302846	0.4839917	0.2911733	0.5941995	0.3671071	0.1343556	0.1287076	0.1170941	0.2721318	0.1575665	0.1157487	0.0869392	0.073461	0.0612446	0.0466627	0.0340001	0.1117004	0.0317558	0.1991966	0.1759316	0.0961776	0.0782023	0.0308036
run5	1.6454213	1.2444894	0.4471866	0.3569985	0.7941522	0.6154921	0.7821003	0.636767	0.5351604	0.7310525	0.6830798	0.5535256	0.6671731	0.5562831	0.6606541	0.4726029	0.1176779	0.0572765	0.3941685	0.3251972	0.6492461	0.5576504	0.5321211	0.4801984	0.1591446	0.0638664	0.6817781	0.6739977	0.6480472	0.45649	0.5961606	0.5813396	0.3833027	0.2869839	0.3266979	0.0722062	0.2891918	0.5329905	0.4280574	0.3290632	0.1608121	0.1260058	0.0809449	0.1180021	0.0817083	0.039224	0.0199996	0.0093034	0.6324037	0.4893246	0.2978135	0.5966503	0.3692758	0.1412093	0.1352596	0.12302	0.275235	0.1611403	0.1190455	0.0895333	0.075673	0.0631096	0.0481857	0.0350736	0.1146185	0.0324332	0.2031677	0.179276	0.0976587	0.0791843	0.031318
run6	1.6539523	1.243214	0.4419491	0.3544176	0.7942401	0.6141137	0.7819467	0.6412548	0.5409238	0.7301354	0.6820331	0.5542555	0.6661668	0.5573969	0.6597053	0.4786043	0.1165345	0.0567359	0.3987125	0.3283545	0.6484046	0.5581478	0.5325568	0.4806213	0.1588667	0.0637455	0.6812417	0.6734086	0.6471311	0.4571782	0.5951255	0.5804992	0.3823398	0.285319	0.3258435	0.0724103	0.2880743	0.5330777	0.4297661	0.3310351	0.1623694	0.1272593	0.0825895	0.1193493	0.083239	0.0404039	0.0206577	0.0096065	0.6312002	0.4876479	0.2962708	0.5949998	0.3691267	0.1423991	0.1364621	0.1241835	0.2736591	0.1590349	0.1169545	0.087966	0.0743261	0.0619286	0.047282	0.0344666	0.1129367	0.0320878	0.201707	0.1780003	0.0968732	0.0785256	0.030919
run7	1.6442737	1.24027	0.433514	0.3479545	0.7933231	0.6165571	0.7811292	0.6400083	0.5403385	0.728998	0.6805279	0.5535328	0.6649914	0.5552147	0.6586556	0.4725384	0.1160937	0.0565106	0.3932059	0.3241013	0.6476597	0.558661	0.5335392	0.4821253	0.1589129	0.0636925	0.6799514	0.6722281	0.6462576	0.4566386	0.5947951	0.5801738	0.3816591	0.2849319	0.3258227	0.0718291	0.2880666	0.5320838	0.427362	0.3292094	0.1623043	0.1274728	0.0821811	0.1195065	0.0832084	0.039956	0.0203764	0.0095062	0.630537	0.4893158	0.2957601	0.5946692	0.3660567	0.1316252	0.1261458	0.1146627	0.2708939	0.1573264	0.1157596	0.0871673	0.0737127	0.0614026	0.0469585	0.0341787	0.1120129	0.0318651	0.1985923	0.1752297	0.0964439	0.0782067	0.0307725
run8	1.646049	1.2461558	0.4447565	0.3561671	0.7928454	0.6149653	0.7805582	0.639717	0.5405452	0.728471	0.6808032	0.5535215	0.6651036	0.5573085	0.6587053	0.4774702	0.1170816	0.0569791	0.3984136	0.3290981	0.6474366	0.5570004	0.531541	0.4797272	0.1588209	0.0638402	0.6801586	0.6723661	0.6463904	0.4563988	0.5946961	0.5800468	0.3818056	0.2837197	0.3257965	0.0722537	0.2880961	0.5330847	0.431949	0.3350374	0.1649177	0.1296792	0.0835616	0.1214659	0.0843258	0.0405556	0.0206756	0.0096258	0.6309203	0.486664	0.291518	0.5950834	0.3685944	0.1408624	0.1349994	0.1228308	0.2738498	0.1591213	0.1171202	0.0881885	0.0744371	0.0619468	0.0471659	0.0343465	0.1129527	0.0319593	0.2001291	0.1762406	0.09596	0.0779192	0.0307931
run9	1.6480379	1.2340945	0.4399298	0.353409	0.7897048	0.6160591	0.7777437	0.6393845	0.5400409	0.7274551	0.6802834	0.5529317	0.6646346	0.5557812	0.6583162	0.4739247	0.1156044	0.0561572	0.3947459	0.323903	0.647162	0.5569161	0.5317215	0.4798737	0.1593311	0.0640385	0.6798503	0.672168	0.6466306	0.456954	0.5956834	0.5811378	0.3853944	0.2874361	0.3298177	0.0730106	0.2924011	0.5331354	0.4295021	0.3324147	0.1666356	0.1311762	0.0844085	0.1228971	0.0856361	0.0411041	0.0209402	0.0097553	0.6311649	0.486854	0.2926887	0.5951932	0.3670728	0.1458047	0.1397354	0.1271507	0.2723588	0.1581258	0.1169062	0.0882014	0.0745159	0.062082	0.0473357	0.0345146	0.112431	0.0321646	0.2003948	0.1773009	0.0967367	0.0785718	0.0310386
run10	1.6425474	1.251784	0.4389113	0.3511776	0.7945077	0.6130862	0.7821166	0.6384447	0.537047	0.7305828	0.6822526	0.5543754	0.6664495	0.556304	0.6600612	0.4727885	0.1165026	0.0566172	0.3936405	0.3243085	0.6488943	0.5577299	0.5317518	0.4793664	0.1588318	0.0635153	0.6812179	0.6732306	0.6471414	0.4569378	0.5947744	0.5801095	0.3850535	0.2889984	0.3293765	0.0722891	0.2915678	0.5324953	0.4283392	0.3327233	0.1691708	0.1333065	0.086023	0.1249473	0.0865572	0.0413882	0.0210709	0.0097806	0.6314304	0.485971	0.2956079	0.5957524	0.3674485	0.1371777	0.1314133	0.1194762	0.2726904	0.1584924	0.1170828	0.0883318	0.0746869	0.062207	0.0473431	0.0344964	0.1126969	0.032088	0.1998638	0.1765639	0.0967819	0.0786859	0.031032
