Mean_time	Mean_qlow	Mean_qup	Priors
t_n73	199.751	164.58	248.2	0
t_n74	143.05	124.71	166.26	0
t_n75	56.256	43.83	69.56	0
t_n76	45.861	35.14	56.49	0
t_n77	82.633	79.54	85.75	0
t_n78	70.02	66.62	73.18	0
t_n79	60.459	55.46	64.72	0
t_n80	80.929	78.04	83.78	0
t_n81	63.83	58	68.55	0
t_n82	75.057	72.98	76.97	0
t_n83	69.769	68.19	71.18	0
t_n84	58.503	55.39	61.01	0
t_n85	68.091	66.61	69.44	0
t_n86	58.581	55.66	60.96	0
t_n87	67.303	65.97	68.72	0
t_n88	51.833	47.53	55.05	0
t_n89	15.469	11.75	19.29	0
t_n90	7.885	5.7	10.24	0
t_n91	44.452	39.63	48.24	0
t_n92	37.631	32.66	41.9	0
t_n93	66.146	64.85	67.51	0
t_n94	57.336	55.72	58.74	0
t_n95	54.882	53.16	56.29	0
t_n96	49.968	47.98	51.45	0
t_n97	18.6	15.89	22.92	0
t_n98	8.151	6.37	10.61	0
t_n99	69.627	68.07	71.06	0
t_n100	68.799	67.29	70.17	0
t_n101	66.052	64.67	67.28	0
t_n102	47.636	45.69	49.68	0
t_n103	60.66	59.47	61.81	0
t_n104	59.215	58	60.39	0
t_n105	41.141	38.31	43.93	0
t_n106	31.97	28.63	35.27	0
t_n107	35.599	32.74	38.48	0
t_n108	8.992	7.23	10.86	0
t_n109	31.886	28.99	34.85	0
t_n110	54.839	53.28	56.27	0
t_n111	46.216	43.02	48.79	0
t_n112	37.333	33.28	41.01	0
t_n113	20.305	16.49	24.92	0
t_n114	16.138	12.97	20.08	0
t_n115	10.589	8.37	13.56	0
t_n116	15.162	12.16	18.93	0
t_n117	10.868	8.42	14.05	0
t_n118	5.376	4.04	7.16	0
t_n119	2.781	2.06	3.76	0
t_n120	1.307	0.96	1.79	0
t_n121	64.693	63.13	66.1	0
t_n122	52.746	48.77	55.7	0
t_n123	35.146	29.43	40.54	0
t_n124	61.38	59.55	63.03	0
t_n125	40.12	36.61	43.25	0
t_n126	18.043	13.67	21.32	0
t_n127	17.335	13.1	20.53	0
t_n128	15.852	11.92	18.87	0
t_n129	30.205	27.15	32.93	0
t_n130	18.136	15.8	20.41	0
t_n131	13.582	11.65	15.5	0
t_n132	10.349	8.76	11.96	0
t_n133	8.797	7.41	10.22	0
t_n134	7.374	6.17	8.62	0
t_n135	5.693	4.71	6.75	0
t_n136	4.189	3.43	5.02	0
t_n137	13.127	11.23	15.09	0
t_n138	4.016	3.19	4.97	0
t_n139	22.553	19.93	24.9	0
t_n140	20.045	17.61	22.22	0
t_n141	11.3	9.63	12.38	0
t_n142	9.231	7.82	10.08	0
t_n143	3.776	3.08	4.4	0
