t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	1.94670347757112	1.4440350340233	0.546051304329784	0.444458183060847	0.835879007824609	0.705881519424029	0.608626674706265	0.818581541012949	0.645902134338283	0.757119568506575	0.701910524153792	0.586140177971101	0.683884159427029	0.585155175771211	0.672901284540773	0.518097032708365	0.154377960886956	0.0786131613319334	0.444431058362082	0.376415952617369	0.661171028923554	0.572963054152292	0.548511886920654	0.499573022243888	0.186144368711564	0.0815508710464477	0.702662207559622	0.694155604214789	0.665836896660167	0.477400305629719	0.606991487050647	0.592430126358682	0.410775591825409	0.318913606579671	0.355272003069847	0.0897159213489326	0.318079350042498	0.548426724513774	0.461844162651867	0.372581824688766	0.202240580710964	0.160678823753812	0.10535169940503	0.150953438313084	0.108009221073946	0.0534148669466527	0.0276305736663167	0.0129882958502075	0.647255066216689	0.527865400159992	0.351871865376731	0.613961802179891	0.40048765379231	0.179422682830858	0.17237669060047	0.157614212659367	0.301310784345783	0.180889519044048	0.135478431158442	0.103221754982251	0.0877350792960352	0.0735450254237288	0.05677248440078	0.0417637064946753	0.130971505374731	0.0401355431828409	0.225027366971651	0.199996841047948	0.112681920348983	0.0920271700914954	0.0376767711964402
run2	2.00832037959102	1.43095127220639	0.565855016649168	0.461286653117344	0.821590098175091	0.696751473866307	0.601965252152392	0.804700940632968	0.636013397695115	0.746896164701765	0.694732342822859	0.583069563296835	0.678285313899305	0.584461242222889	0.671658528038598	0.516770520733963	0.154342801434928	0.0787143863706815	0.442813340257987	0.374535428763562	0.660196854232288	0.572696724453777	0.548267855222239	0.499283623953802	0.184680667081646	0.0807397751312434	0.694293688925554	0.686089266641668	0.65893429039048	0.476143801234938	0.606127512644368	0.591790093210339	0.411041174221289	0.319176252942353	0.355627083810809	0.0897648359482026	0.318496834168292	0.548330202339883	0.462771954907255	0.374792412719364	0.205933053132343	0.163973634148293	0.107838800819959	0.154109817989101	0.110566996315184	0.0546733314384281	0.0282821236238188	0.0132882919104045	0.645675862511874	0.525519106744663	0.348638775666217	0.612542650682466	0.399988307469626	0.179465025558722	0.172419541087946	0.157672851182441	0.300955802644868	0.180284924103795	0.134900890845458	0.102735689510524	0.0873086862856857	0.0731695466026699	0.0564785568771561	0.0415495729013549	0.130426206249688	0.0398538838658067	0.224655648242588	0.199692081130943	0.112787773386331	0.0921629713814309	0.0377090315684216
run3	1.96348860558972	1.42964279865007	0.550578517619119	0.448479875666217	0.824094044632768	0.697950699740013	0.60236195519224	0.807039143972801	0.635171712539373	0.748845940817959	0.696444340062997	0.584388224533773	0.679909803154842	0.586218981850907	0.673248025683716	0.517500292050397	0.15484570419979	0.0789026585620719	0.44337943500825	0.374930002414879	0.661712815869206	0.573650474436278	0.549105514499275	0.499862362211889	0.186831562746863	0.0820422185490726	0.695823584375781	0.687551967736613	0.660128258922054	0.476130656517174	0.606562055377231	0.592064535248238	0.411209915099245	0.319894754142293	0.355959105484726	0.0897887681665917	0.318952267636618	0.548102854092295	0.46108931519424	0.371295628423579	0.199157705719714	0.158029287320634	0.10348358559072	0.148426257312134	0.106226826358682	0.0525195919454027	0.0271650419129044	0.0127640573171341	0.647057382230888	0.527365450282486	0.351687662881856	0.613847100894955	0.401330188220589	0.179404274771261	0.172346233968302	0.157566333043348	0.302385259457027	0.18177970360982	0.136204459772011	0.103794006634668	0.0882359039898005	0.0739624253187341	0.0570809940302985	0.0419880447077646	0.131615711099445	0.0402912835308235	0.225819784255787	0.200698949917504	0.113089208454577	0.0923521177091145	0.0377661201489925
run4	2.04293510133493	1.45170239543023	0.566614912679366	0.461115405319734	0.841134627628619	0.712689928733563	0.61500263060347	0.823745795135243	0.648972289570521	0.762537014179291	0.707043364086796	0.590447358072096	0.68909911959402	0.586417922288886	0.674428012344383	0.519096056077196	0.155022805354732	0.0791627283335833	0.445503618154092	0.37741841279936	0.662525795500225	0.573492514549273	0.548818717104145	0.499520745947703	0.1863642779911	0.0817458156742163	0.696286071671416	0.687925328943553	0.660286655352232	0.476146850097495	0.60647787359132	0.591952175671216	0.411936446767662	0.320305249572521	0.356755433713314	0.090343502159892	0.319704673376331	0.547911061656917	0.460844314884256	0.371784239253037	0.201316753647318	0.159949378036098	0.104914234143293	0.15026783359332	0.107649394905255	0.0532519368431578	0.027559003139843	0.0129545330733463	0.647132537863107	0.527649204984751	0.351626098660067	0.613979148837558	0.403687841972901	0.182941125163742	0.175777739258037	0.160766955732213	0.304862159547023	0.184026857482126	0.138099465116744	0.105339961166942	0.0895831099695015	0.0751219960851957	0.0580632497725114	0.042728396860157	0.133387042957852	0.0408631372781361	0.227798952522374	0.202487208789561	0.114000964906755	0.0931054093845308	0.0380647606769662
run5	2.01449912418879	1.42789166378181	0.568408022348883	0.46380821059947	0.824641500654967	0.698757030338483	0.603136302984851	0.807614085040748	0.636480802039898	0.749287772786361	0.696773498350083	0.584700998910054	0.680210113174341	0.586089567056647	0.673534611114444	0.519010652257387	0.154825702534873	0.0789452118294085	0.445037360746963	0.376707611959402	0.661968283820809	0.573463149827509	0.54884482739863	0.499611717939103	0.187091777231138	0.0821476087745613	0.696245906304685	0.687976487265637	0.660541393875306	0.476390546102695	0.606995185450728	0.592501892745363	0.411919180285986	0.320086361466927	0.356452579961002	0.0899519561471926	0.319270518299085	0.548617030048498	0.462118021883906	0.372938877726114	0.201833917249138	0.160399279126044	0.105240865476726	0.150694407319634	0.107792293685316	0.0533085800759962	0.0275629282835858	0.0129534619669017	0.647465602069896	0.527867646557672	0.352585076611169	0.614360038753062	0.402169325188741	0.181880174076296	0.174749399885006	0.159784894950252	0.302839122368882	0.182068649257537	0.136426897705115	0.103993420323984	0.0884103717364132	0.0741189582870856	0.0572293817109145	0.0421073620818959	0.131784369171541	0.0403330373281336	0.226060924178791	0.200903198740063	0.113117916759162	0.092382916859157	0.0377671639168042
run6	2.01129124151292	1.43935222961352	0.57441529380031	0.468644529313534	0.823161429503525	0.697265453782311	0.602274625328734	0.806176205139743	0.636055208689566	0.748245254252287	0.696078191905405	0.584223452687366	0.679594699990001	0.585994026873656	0.672945564551772	0.517052864701765	0.153647281295935	0.0782615931453427	0.442890808524574	0.374565068941553	0.661429557527124	0.573440454587271	0.548942832053397	0.499895657142143	0.187477467111644	0.0823405297835108	0.695511713249338	0.687271828978551	0.659908136043198	0.476376825763712	0.606311795775211	0.591769528923554	0.410529885735713	0.318732858092095	0.355106033168342	0.0899544580920954	0.318033713069347	0.547569185635718	0.459625178031098	0.369038738928054	0.197387306299685	0.156522536038198	0.102435136823159	0.146995425943703	0.104941163326834	0.05177579220039	0.0267601620718964	0.0125726359182041	0.647038526248688	0.528533070546473	0.353364410989451	0.614056404924754	0.401703147962602	0.180515251112444	0.173426594760262	0.158593905699715	0.302507662981851	0.181820550487476	0.136253092145393	0.103876386225689	0.0883157985150742	0.0740423584870756	0.0571688676116194	0.0420591691265437	0.131577352352382	0.0402276101544923	0.225913451272436	0.200777279936003	0.113053129933503	0.0923435531823409	0.0377553952652367
run7	2.00474458283586	1.42740307783111	0.570530246242688	0.465641149297535	0.82326868479076	0.697714259012049	0.60244233960302	0.806304631478426	0.63603339020549	0.748366920053997	0.696260733728314	0.584563253217339	0.679808756052197	0.58623901880906	0.673174172456377	0.518819154362282	0.154966303954802	0.0789974470176491	0.44490558300585	0.376510571106445	0.661683814894255	0.573769900064997	0.549224213069347	0.500013868256587	0.183987547387631	0.0804364214089296	0.695636256157192	0.687399469306535	0.660086201029949	0.476265555652217	0.606846749552522	0.59245712779861	0.411997540092995	0.320173424288786	0.356458473076346	0.089798198720064	0.319211115384231	0.548981954102295	0.463588671056447	0.375148865146743	0.204732287310634	0.162809620813959	0.10699468460077	0.152989044177791	0.109687581095945	0.0543402375131243	0.0281393557822109	0.0132341045247738	0.647167507984601	0.528265891450427	0.352891446162692	0.614192552687366	0.40269472639868	0.183475734708265	0.17630550059497	0.161280438968052	0.303216653042348	0.181453035938203	0.135675251277436	0.103262542917854	0.0877453353632318	0.0735270225538723	0.0567594963751812	0.0417518149942503	0.131149079026049	0.0400912259337033	0.226509328538573	0.201322085845708	0.113501498810059	0.0927034424678766	0.0379155834708265
run8	2.02000225496225	1.41124839042548	0.564110345682716	0.4604555319934	0.822322103759812	0.698061539388031	0.603405661686916	0.805505288090596	0.635688525523724	0.747934084780761	0.695932462741863	0.584318333513324	0.679505853307335	0.586100001384931	0.672877489345533	0.518187203619819	0.154259631493425	0.0785965681265937	0.444349413319334	0.376177202779861	0.661398324013799	0.573678108819559	0.549166769011549	0.499963790535473	0.185845874266287	0.0813466378931053	0.695375210759462	0.687158103144843	0.659899605904705	0.476245450667467	0.606801184145793	0.592426720063997	0.410954958157092	0.318864697850108	0.355417859577021	0.0897065693015349	0.318198978506075	0.549002316949153	0.463806692575371	0.376194260866957	0.207753003889805	0.165361037468127	0.108607785700715	0.155391810579471	0.111926047217639	0.0554765738163092	0.0287015678016099	0.0134913885755712	0.646898043732813	0.52690610178991	0.349836637658117	0.613795869326534	0.400643593960302	0.178093847642618	0.171071304519774	0.156386974261287	0.301447136828159	0.180938045982701	0.135455082235888	0.103148229438528	0.0876664462826859	0.0734857439178041	0.0567211742912854	0.0417219268736563	0.131043989175541	0.0401049967151642	0.224970853072346	0.199955394385281	0.11284776520674	0.0922136914704265	0.0377245315934203
run9	1.99802504299785	1.41482913864307	0.556447703259837	0.453305400469977	0.821054108144593	0.696552319189041	0.601523227088646	0.804247090165492	0.635377826173691	0.746799813859307	0.694882324248788	0.583740264366782	0.678529238233088	0.585443649187541	0.671935950467477	0.519511402254887	0.155601650482476	0.0793829418829059	0.446249324898755	0.3782615920004	0.660508308069596	0.572736161731913	0.54821859019049	0.499148986025699	0.18606306779161	0.0815461029448528	0.694226735423229	0.686013739543023	0.658786534743263	0.47590711499925	0.6058170759912	0.591485733443328	0.411154885065747	0.320056413544323	0.355863248862557	0.0896803232388381	0.31883357659617	0.548149213469327	0.463058214714264	0.374973596565172	0.204892978626069	0.162868902924854	0.106885500064997	0.153027856737163	0.109769803084846	0.0542445071146443	0.0280470908504575	0.0131766504424779	0.645727530288486	0.52610512620369	0.349357687310634	0.612571262516874	0.397615222778861	0.178062931458427	0.171061760506975	0.156397497255137	0.298540343087846	0.178865282305885	0.133814802739863	0.101915401099945	0.0866210670266487	0.0726117637318134	0.0560772296185191	0.0412664270836458	0.129427261786911	0.0395753605719714	0.222708460666967	0.197932191850407	0.111723941957902	0.0913117974251287	0.0373880600919954
run10	1.96512781926404	1.42799155839708	0.562617930463477	0.458867018734063	0.826107967221639	0.700341595630218	0.605179286825659	0.808996786345683	0.637352680665967	0.749690785125744	0.696856932298385	0.584694893610319	0.680280577841108	0.585987777136143	0.673600188050598	0.5192647620019	0.154991838133093	0.0789570507974601	0.445653899965002	0.377577412169392	0.662036844507775	0.573708922158892	0.549107756727164	0.499886071506425	0.185507042082896	0.081188210819459	0.69660011900405	0.688315567836608	0.660819468666567	0.476587098415079	0.607063683075846	0.592573471866407	0.412533989035548	0.320761399230038	0.357028889360532	0.090508910079496	0.319775580650967	0.548787826108695	0.462820851132443	0.37451746840158	0.205293355437228	0.16323215279236	0.107139206319684	0.153369588550572	0.110257581545923	0.0546128003299835	0.0282580805709715	0.0132823714414279	0.647877324723764	0.528525087075646	0.352758560721964	0.614736632463377	0.401637491705415	0.181065314369282	0.17396975720214	0.159094757722114	0.302423499140043	0.181498674536273	0.135917662251887	0.103586689495525	0.0880525180040998	0.0738077169091545	0.0569754125293735	0.0419188016699165	0.131329935948203	0.0401555999500025	0.225856821173941	0.200736378431078	0.113181291580421	0.0924613435828209	0.0378450091645418
