Tree,Rank,Name,Action,Outside_taxa,Change_from ,Change_to,Force_monophyletic,Reference,Note,,,,,,,,
Euarchonta,Mismatch,avahi_laniger,No,N/A,N/A,N/A,No,Mittermier et al. 1992,NCBI has the correct name as Indriidae.,,,,,,,,
Euarchonta,Mismatch,avahi_occidentalis,No,N/A,N/A,N/A,No,Mittermier et al. 1992,NCBI has the correct name as Indriidae.,,,,,,,,
Euarchonta,Mismatch,avahi_unicolor,No,N/A,N/A,N/A,No,Mittermier et al. 1992,NCBI has the correct name as Indriidae.,,,,,,,,
Euarchonta,Mismatch,callicebus_brunneus,Yes,N/A,callicebus_brunneus,plecturocebus_brunneus,No,Byrne et al. 2016,NCBI has the correct name as Plecturocebus.,,,,,,,,
Euarchonta,Mismatch,callicebus_cupreus,Yes,N/A,callicebus_cupreus,plecturocebus_cupreus,No,Byrne et al. 2016,NCBI has the correct name as Plecturocebus.,,,,,,,,
Euarchonta,Mismatch,callicebus_donacophilus,Yes,N/A,callicebus_donacophilus,plecturocebus_donacophilus,No,Byrne et al. 2016,NCBI has the correct name as Plecturocebus.,,,,,,,,
Euarchonta,Mismatch,callicebus_hoffmannsi,Yes,N/A,callicebus_hoffmannsi,plecturocebus_hoffmannsi,No,Byrne et al. 2016,NCBI has the correct name as Plecturocebus.,,,,,,,,
Euarchonta,Mismatch,callicebus_lugens,Yes,N/A,callicebus_lugens,cheracebus_lugens,No,Byrne et al. 2016,NCBI has the correct name as Cheracebus,,,,,,,,
Euarchonta,Mismatch,callicebus_moloch,Yes,N/A,callicebus_moloch,plecturocebus_moloch,No,Byrne et al. 2016,NCBI has the correct name as Plecturocebus.,,,,,,,,
Euarchonta,Mismatch,callicebus_purinus,Yes,N/A,callicebus_purinus,cheracebus_purinus,No,Byrne et al. 2016,NCBI has the correct name as Cheracebus,,,,,,,,
Euarchonta,Mismatch,callicebus_torquatus,Yes,N/A,callicebus_torquatus,cheracebus_torquatus,No,Byrne et al. 2016,NCBI has the correct name as Cheracebus,,,,,,,,
Euarchonta,Mismatch,indri_indri,No,N/A,N/A,N/A,No,Mittermier et al. 1992,NCBI has the correct name as Indriidae.,,,,,,,,
Euarchonta,Mismatch,propithecus_coquereli,No,N/A,N/A,N/A,No,Mittermier et al. 1992,NCBI has the correct name as Indriidae.,,,,,,,,
Euarchonta,Mismatch,propithecus_deckenii,No,N/A,N/A,N/A,No,Mittermier et al. 1992,NCBI has the correct name as Indriidae.,,,,,,,,
