mean	q-2.5%	q-97.5%	var	sd
487-MAMMALIA	-0.6	0	4.5	13.7	6.6
488-EUARCHONTOGLIRES	0.2	0.2	0.5	-8.7	-4.4
490-PRIMATES	-0.1	-0.1	0	-5.9	-3
491-Anthropoidea-Tarsyus	0	0	0.1	-2.2	-1.1
492-ANTHROPOIDEA	0.1	0.5	0	-6.2	-3.1
493-CATARRHINI	-0.1	-0.2	-0.2	0.4	0.2
494-Cercopithecoidea	-0.3	0.4	-0.4	-8.1	-4.1
495-CERCOPITHECINAE	1.3	2.6	1.9	-3.8	-1.9
552-PAPIONINI	2.1	4.8	1	-16.8	-8.8
555-M.nemestrina	0.2	1.3	0.1	-7.4	-3.8
557-M.fascicularis-M.mulatta	-0.8	-0.6	-1.3	-6.9	-3.5
575-Papio-Mandrillus	1	3.3	-1.1	-21.7	-11.5
585-Cercocebus-Mandrillus	-0.8	-0.7	-1.9	-12.1	-6.3
592-Colobus-Rhinopithecus	1.7	2.7	1.1	-6.1	-3.1
624-R.roxellana-R.bieti	-4.1	-2	-3.5	-11.3	-5.8
657-Hominidea-Nomascus	0.6	2.6	-0.1	-18.9	-10
683-HOMINIDEA	-0.8	-0.2	-1.1	-7.3	-3.7
684-HOMININAE	-0.3	0.4	-0.1	-2.9	-1.4
685-HOMININI	-1.1	-3.2	0	19.2	9.2
686-Paniscus-Troglodites	3.5	5	3.2	-2.1	-1
695-Aotus-S-L-C-C	3.5	8.7	1.3	-24.6	-13.2
731-Cebus-Saimiri	-8.5	-12	-4.2	35.9	16.6
825-STREPSIRHINI	0.1	-0.2	0.1	1	0.5
827-propithecus-microcebus	-1	-1.2	-0.9	-2.5	-1.3
