mean	q-2.5%	q-97.5%	var	sd
487-MAMMALIA	-0.4	0	4.3	11.9	5.8
488-EUARCHONTOGLIRES	0.2	0.2	0.4	-9.2	-4.7
490-PRIMATES	-0.1	-0.1	0	-6.7	-3.4
491-Anthropoidea-Tarsyus	0	0	0.1	-3.3	-1.7
492-ANTHROPOIDEA	0.1	0.5	0	-4.6	-2.3
493-CATARRHINI	-0.2	-0.3	-0.2	-0.6	-0.3
494-Cercopithecoidea	-0.3	0.4	-0.4	-7	-3.6
495-CERCOPITHECINAE	0.9	2	1.7	-3	-1.5
552-PAPIONINI	2	4.8	1	-18.9	-10
555-M.nemestrina	0.3	1.5	-0.1	-8.5	-4.4
557-M.fascicularis-M.mulatta	-0.3	-0.1	-0.6	-6.9	-3.5
575-Papio-Mandrillus	1.1	3.3	-0.6	-19.5	-10.3
585-Cercocebus-Mandrillus	-0.5	-0.7	-1.9	-12.5	-6.5
592-Colobus-Rhinopithecus	1.5	2.5	1.2	-6.2	-3.1
624-R.roxellana-R.bieti	0.4	-1	2.5	16	7.7
657-Hominidea-Nomascus	0.6	2.3	0	-15.9	-8.3
683-HOMINIDEA	-0.8	-0.5	-1.3	-6.6	-3.4
684-HOMININAE	-0.5	0.4	-0.2	-2.9	-1.5
685-HOMININI	-1	-3.1	-0.1	19.6	9.4
686-Paniscus-Troglodites	2.7	3.2	2.8	2.1	1
695-Aotus-S-L-C-C	0.6	3.9	0.4	-14.3	-7.4
731-Cebus-Saimiri	-0.2	-1.6	0	17.7	8.5
825-STREPSIRHINI	0.1	-0.1	0	-1.6	-0.8
827-propithecus-microcebus	-0.9	-1.4	-0.7	-1.3	-0.6
