mean	q-2.5%	q-97.5%	var	sd
487-MAMMALIA	-0.5	0	4.3	10.9	5.3
488-EUARCHONTOGLIRES	0	0	0.2	-10.8	-5.5
490-PRIMATES	-0.2	-0.1	-0.1	-8.9	-4.6
491-HAPLORRHINI	0	-0.1	0.1	-1.3	-0.7
492-ANTHROPOIDEA	0.1	0.5	0.1	-4.4	-2.2
493-CATARRHINI	-0.1	0	-0.1	0.4	0.2
494-CERCOPITHECOIDEA	-0.3	0.2	-0.3	-5.6	-2.8
495-CERCOPITHECINAE	1	1.8	1.3	-5.8	-3
552-PAPIONINI	2.2	4.9	1	-19	-10
555-M.nemestrina-M.fascicularis	0.1	0.3	-0.2	-4.5	-2.3
557-M.fascicularis-M.mulatta	0	1.7	-0.8	-14.7	-7.6
575-PAPIO-MANDRILLUS	1	3.4	-0.7	-21.5	-11.4
585-C.atys-M.leucophaeus	-0.8	-0.6	-2	-12.7	-6.6
592-COLOBINAE	1.7	2.6	1.1	-5.8	-2.9
624-R.roxellana-R.bieti	-5.4	1.2	-7.6	-57.4	-34.8
657-HOMINOIDEA	0.6	2.4	0.2	-16.8	-8.8
683-HOMINIDEA	-0.8	-0.6	-1.1	-4.9	-2.5
684-HOMININAE	-0.4	0.8	-0.2	-5	-2.5
685-HOMININI	-1.2	-3.8	-0.1	21.7	10.3
686-P.paniscus-P.troglodites	3.2	8.1	0.8	-47.7	-27.7
695-AOTIDAE-CALLITRICHIDAE	3.5	8.3	1.5	-22.5	-12
731-CEBIDAE	-8.7	-12.2	-4.2	37.1	17.1
825-STREPSIRRHINI	0.1	0	0.1	-1.9	-0.9
827-PROPITHECUS-MICROCEBUS	-1	-1.5	-0.7	-0.2	-0.1
