mean	q-2.5%	q-97.5%	var	sd
660-Mammalia	-0.7	-0.1	4.1	11.8	5.7
661-Laurasiatheria	0.1	0.4	0.2	-25.9	-13.9
662-Scrotifera	0.2	0.8	-0.3	-55	-32.9
664-Fereungulata	-0.2	0.4	-0.9	-61.2	-37.7
665-Carnivora	0	0.3	0.1	-3.1	-1.6
666-Caniformia	0.2	0.8	-0.1	-9.4	-4.8
667-Arctoidea	-0.2	-0.4	-0.3	-2.4	-1.2
917-Felidae	-1	-4	0.7	8.5	4.2
955-Pantherinae	1.7	-7.6	11.8	61.3	27
969-Euungulata	-0.2	-0.1	-0.8	-39.5	-22.2
1000-Artiodactyla	0	-0.1	0	-2.9	-1.4
1005-Erinaceidae-Soricidae	-0.2	-0.2	-0.1	1.8	0.9
1008-Chiroptera	0.3	0.6	0.1	-12.3	-6.3
