mean	q-2.5%	q-97.5%	var	sd
660-MAMMALIA	-0.5	-0.1	4.9	15.9	7.6
661-LAURASIATHERIA	0.1	0.4	0.2	-26.1	-14
662-SCROTIFERA	0.2	0.8	-0.2	-53.9	-32.1
664-FEREUNGULATA	-0.2	0.4	-0.9	-60.6	-37.3
665-CARNIVORA	0.1	0.7	-0.1	-7.7	-3.9
666-CANIFORMIA	0.1	1.1	-0.1	-12.1	-6.3
667-ARCTOIDEA	0.8	2.1	0	-15.7	-8.2
917-FELIDAE	-1.9	-3.4	-1.7	-3	-1.5
955-PANTHERINAE	1	4.3	4.7	-5.7	-2.9
969-EUUNGULATA	-0.2	0.1	-0.7	-43.3	-24.7
1000-ARTIODACTYLA	-0.1	-0.1	-0.1	-3.6	-1.8
1005-ERINACEIDAE-SORICIDAE	-0.2	-0.2	-0.1	0.9	0.4
1008-CHIROPTERA	0.6	0.9	0.3	-14.5	-7.5
