Tree,Rank,Name,Action,Outside_taxa,Change_from ,Change_to,Force_monophyletic,Reference,Note
Marsupialia,Mismatch,echymipera_clara,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,echymipera_kalubu,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,echymipera_kalubu_cockerelli,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,echymipera_kalubu_oriomo,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,echymipera_rufescens,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,echymipera_rufescens_australis,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,hypsiprymnodon_moschatus,Yes,N/A,Potoroidae,Hypsiprymnodontidae,N/A,"Jackson and Grooves, 2015",Keep Family Hypsiprymnodontidae.
Marsupialia,Mismatch,macrotis_lagotis,Yes,N/A,Peramelidae,Thylacomyidae,N/A,"Jackson and Grooves, 2015",Keep Family Thylacomyidae.
Marsupialia,Mismatch,microperoryctes_longicauda,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,microperoryctes_longicauda_ornatus,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,microperoryctes_papuensis,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,peroryctes_broadbenti,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,peroryctes_raffrayana,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Mismatch,rhynchomeles_prattorum,Yes,N/A,Peroryctidae,Peramelidae,N/A,"Jackson and Grooves, 2015",There is no support for Family Peroryctidae.
Marsupialia,Family,Potoroidae,Yes,hypsiprymnodon_moschatus,Potoroidae,Hypsiprymnodontidae,N/A,"Jackson and Grooves, 2015",NCBI has the incorrect Family name.
Marsupialia,Family,Peramelidae,Yes,macrotis_lagotis,Peramelidae,Thylacomyidae,N/A,"Jackson and Grooves, 2015",NCBI has the incorrect Family name.
Marsupialia,Genus,Dorcopsis,Yes,dorcopsulus_vanheurni,N/A,N/A,Yes,Cardillo et al 2004,"Try to force a monophyletic arrangement and check it is better. Cardillo wt al (2004) found Darcopsis monophyletic. However, they did not have the same animals. I did not find many references for Darcopsis."
Marsupialia,Genus,Didelphis,Yes,metachirus_nudicaudatus,N/A,N/A,Yes,Steiner et al 2005; Voss and Jansa 2009,Didelphis should form a monophyletic group.
Marsupialia,Genus,Lasiorhinus,No,vombatus_ursinus,N/A,N/A,No,N/A,I did not find much information about it. 
Marsupialia,Genus,Perameles,No,N/A,N/A,N/A,No,MacDonald and Sarre 2017,Similar arrangement observed by MacDonald and Sarre 2017.
Marsupialia,Genus,Echymipera,Yes,rhynchomeles_prattorum,N/A,N/A,Maybe,Westerman et al 2012,"Westerman et al. (2012) found Echymipera monophyletic, but with low branch support. "
Marsupialia,Genus,Pseudochirops,No,petropseudes_dahli,N/A,N/A,No,Meredith et al 2009,Similar arrangement observed by Meredith et al 2009.
Marsupialia,Genus,Marmosa,Yes,micoureus,N/A,N/A,Check,Voss et al 2014; Faria et al 2013,"It appears that Marmosa murina should group with the clade comprising Marmosa macrotarsus, Marmosa waterhousei, and Marmosa tyleriana."
Marsupialia,Genus,Marmosa,Yes,N/A,marmosa_murina_macrotarsus,marmosa_macrotarsus,No,Voss et al 2014,Species name was changed.
Marsupialia,Genus,Marmosa,Yes,N/A,marmosa_murina_waterhousei,marmosa_waterhousei,No,Voss et al 2014,Species name was changed.
Marsupialia,Genus,Marmosa,Yes,N/A,micoureus_paraguayanus,marmosa_(micoureus)_paraguayana,No,Voss et al 2014,Micoureus is subgenus of Marmosa.
Marsupialia,Genus,Marmosa,Yes,N/A,micoureus_demerarae,marmosa_(micoureus)_demerarae,No,Voss et al 2014,
Marsupialia,Genus,Marmosa,Yes,N/A,micoureus_regina,marmosa_(micoureus)_regina,No,Voss et al 2014,
Marsupialia,Genus,Marmosa,Yes,N/A,micoureus_constantiae,marmosa_(micoureus)_constantiae,No,Voss et al 2014,
Marsupialia,Genus,Antechinus,Yes,antechinus_naso,antechinus_naso,murexia_naso,No,Leary et al 2016 IUCN; Armstrong et al 1998,Species name was changed.
Marsupialia,Genus,Antechinus,Yes,antechinus_naso,phascomurexia_naso,murexia_naso,No,Leary et al 2016 IUCN; Armstrong et al 1998,Species name was changed.
Marsupialia,Genus,Sminthopsis,No,N/A,N/A,N/A,No,Westerman et al 2016,Similar arrangement observed by Westerman et al 2016.
Marsupialia,Genus,Spilocuscus,Yes,phalanger_maculatus,phalanger_maculatus,spilocuscus_maculatus,No,Jackson and Grooves 2015,Species name was changed.
Marsupialia,Genus,Phalanger,No,N/A,N/A,N/A,No,Jackson and Grooves 2015,See Spilocuscus.
Marsupialia,Genus,Strigocuscus,No,N/A,N/A,N/A,No,Meredith et al 2009,Similar arrangement observed by Meredith et al 2009.
Marsupialia,Species,Marmosa robinsoni,Yes,N/A,marmosa_robinsoni_simonsi,marmosa_simonsi,No,Gutiérrez et al 2010,Species name was changed.
Marsupialia,Species,Marmosa robinsoni,Yes,N/A,marmosa_robinsoni_isthmica,marmosa_isthmica,No,Gutiérrez et al 2010,Species name was changed.
Marsupialia,Species,Perameles nasuta,No,perameles_gunnii,N/A,N/A,No,Westerman et al 2012,Similar arrangement observed by Westerman et al 2012.
Marsupialia,Species,Petrogale brachyotis,No,petrogale_concinna,N/A,N/A,No,Potter et al 2014,Similar arrangement observed by Potter et al 2014.
Marsupialia,Species,Isoodon obesulus,No,isoodon_auratus,N/A,N/A,No,Westerman and Krajewski 2000,"Westerman and Krajewski (2000) did not have I. auratus in their tree, but the clade comprising I. auratus barrowensis had low support with I. obesulus."
Marsupialia,Species,Echymipera kalubu,No,echymipera_kalubu_oriomo,N/A,N/A,No,Westerman et al 2001,Similar arrangement observed by Westerman et al 2001.
Marsupialia,Species,Marmosa murina,Yes,N/A,N/A,N/A,Maybe,Voss et al 2014; Faria et al 2013,See Marmosa.
