Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
amblysomus_corriae	83095	82841	N	99.6943257717071
amblysomus_hottentotus	83095	77865	N	93.7059991575907
amblysomus_marleyi	83095	82841	N	99.6943257717071
amblysomus_robustus	83095	82841	N	99.6943257717071
amblysomus_septentrionalis	83095	82841	N	99.6943257717071
calcochloris_obtusirostris	83095	82818	N	99.6666466093026
carpitalpa_arendsi	83095	82841	N	99.6943257717071
chlorotalpa_duthieae	83095	82841	N	99.6943257717071
chlorotalpa_sclateri	83095	82859	N	99.7159877248932
chrysochloris_asiatica	83095	78599	N	94.5893254708466
chrysochloris_stuhlmanni	83095	82807	N	99.6534087490222
chrysospalax_trevelyani	83095	82620	N	99.4283651242554
chrysospalax_villosus	83095	82840	N	99.6931223298634
cryptochloris_wintoni	83095	82802	N	99.6473915398038
dendrohyrax_dorsalis	83095	82175	N	98.8928335038209
dugong_dugon	83095	75105	N	90.3844996690535
echinops_telfairi	83095	19903	N	23.9521030146218
elephantulus_brachyrhynchus	83095	83095	Y	100
elephantulus_edwardii	83095	82156	N	98.8699681087911
elephantulus_intufi	83095	82352	N	99.105842710151
elephantulus_myurus	83095	82436	N	99.2069318250196
petrosaltator_rozeti	83095	82344	N	99.0962151754017
elephantulus_rufescens	83095	78277	N	94.2018171971839
elephantulus_rupestris	83095	83095	Y	100
elephantulus_sp_vb001	83095	83095	Y	100
elephas_maximus	83095	74044	N	89.1076478729165
elephas_maximus_indicus	83095	83095	Y	100
eremitalpa_granti	83095	82813	N	99.6606294000842
geogale_aurita	83095	81918	N	98.583548949997
hemicentetes_semispinosus	83095	81918	N	98.583548949997
heterohyrax_brucei	83095	78353	N	94.2932787773031
limnogale_mergulus	83095	81150	N	97.6593056140562
loxodonta_africana	83095	7393	N	8.89704555027378
loxodonta_cyclotis	83095	82824	N	99.6738672603646
macroscelides_flavicaudatus	83095	82456	N	99.231000661893
macroscelides_micus	83095	82456	N	99.231000661893
macroscelides_proboscideus	83095	79540	N	95.7217642457428
microgale_brevicaudata	83095	82060	N	98.7544376917985
microgale_longicaudata	83095	83095	Y	100
microgale_majori	83095	83095	Y	100
microgale_principula	83095	83095	Y	100
microgale_pusilla	83095	83095	Y	100
microgale_talazaci	83095	82636	N	99.4476201937541
micropotamogale_lamottei	83095	80432	N	96.7952343702991
neamblysomus_gunningi	83095	82841	N	99.6943257717071
neamblysomus_julianae	83095	82841	N	99.6943257717071
orycteropus_afer	83095	78213	N	94.1247969191889
oryzorictes	83095	81725	N	98.3512846741681
petrodromus_tetradactylus	83095	82338	N	99.0889945243396
potamogale_velox	83095	82844	N	99.6979360972381
procavia_capensis	83095	16584	N	19.9578795354714
rhynchocyon_cirnei_reichardi	83095	81864	N	98.5185630904387
rhynchocyon_petersi	83095	78329	N	94.2643961730549
rhynchocyon_udzungwensis	83095	81864	N	98.5185630904387
setifer_setosus	83095	81922	N	98.5883627173717
tenrec_ecaudatus	83095	80811	N	97.2513388290511
trichechus_manatus	83095	74100	N	89.1750406161622
ornithorhynchus_anatinus	83095	36901	N	44.4082074733738
zaglossus_bruijni	83095	82701	N	99.5258439135929
tachyglossus_aculeatus	83095	79079	N	95.1669775558096
