Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
abrocoma_bennettii	33287	21739	N	65.3077778111575
abrocoma_cinerea	33287	31317	N	94.0817736653949
aconaemys_fuscus	33287	32695	N	98.2215279238141
aconaemys_porteri	33287	32697	N	98.2275362754228
aconaemys_sagei	33287	32021	N	96.19671343167
atherurus_africanus~	33287	33287	Y	100
atherurus_macrourus~	33287	31821	N	95.5958782707964
bathyergus_janetta	33287	33287	Y	100
bathyergus_suillus	33287	29189	N	87.6888875536996
callistomys_pictus	33287	32023	N	96.2027217832788
capromys_pilorides	33287	24923	N	74.8730735722655
carterodon_sulcidens~	33287	32053	N	96.2928470574098
cavia_aperea~	33287	32317	N	97.085949469763
cavia_aperea_anolaimae	33287	33287	Y	100
cavia_aperea_guianae	33287	33287	Y	100
cavia_aperea_hypoleuca	33287	33287	Y	100
cavia_aperea_pamparum	33287	33287	Y	100
cavia_cutleri	33287	33003	N	99.1468140715595
cavia_fulgida	33287	33287	Y	100
cavia_magna	33287	33287	Y	100
cavia_porcellus	33287	5611	N	16.8564304383092
cavia_tschudii~	33287	30377	N	91.2578484092889
cavia_tschudii_osgoodi	33287	33287	Y	100
chaetomys_subspinosus	33287	33287	Y	100
chinchilla_lanigera	33287	21091	N	63.361071889927
clyomys_laticeps	33287	31321	N	94.0937903686124
coendou_bicolor	33287	32719	N	98.2936281431189
coendou_ichillus	33287	33287	Y	100
coendou_insidiosus	33287	33287	Y	100
coendou_melanurus	33287	32469	N	97.5425841920269
coendou_mexicanus	33287	32745	N	98.3717367140325
coendou_prehensilis	33287	33287	Y	100
coendou_quichua	33287	33287	Y	100
coendou_rufescens	33287	33287	Y	100
coendou_spinosus	33287	33287	Y	100
coendou_villosus	33287	33287	Y	100
cryptomys_hottentotus_anomalus	33287	33287	Y	100
cryptomys_hottentotus_holosericeus	33287	33287	Y	100
cryptomys_hottentotus_hottentotus	33287	33287	Y	100
cryptomys_hottentotus_mahali	33287	33287	Y	100
cryptomys_hottentotus_natalensis	33287	33287	Y	100
cryptomys_hottentotus_nimrodi	33287	33287	Y	100
cryptomys_hottentotus_pretoriae	33287	32059	N	96.310872112236
ctenodactylus_gundi	33287	21091	N	63.361071889927
ctenodactylus_vali	33287	31597	N	94.922942890618
ctenomys_argentinus	33287	33287	Y	100
ctenomys_australis	33287	33287	Y	100
ctenomys_boliviensis	33287	22145	N	66.5274731877309
ctenomys_colburni	33287	33287	Y	100
ctenomys_conoveri	33287	33287	Y	100
ctenomys_coyhaiquensis	33287	31189	N	93.6972391624358
ctenomys_dorbignyi	33287	33287	Y	100
ctenomys_erikacuellarae	33287	33287	Y	100
ctenomys_flamarioni	33287	33287	Y	100
ctenomys_fodax	33287	33287	Y	100
ctenomys_frater	33287	33287	Y	100
ctenomys_fulvus	33287	33287	Y	100
ctenomys_goodfellowi	33287	33287	Y	100
ctenomys_haigi	33287	33287	Y	100
ctenomys_lami	33287	33287	Y	100
ctenomys_latro	33287	33287	Y	100
ctenomys_leucodon	33287	33287	Y	100
ctenomys_lewisi	33287	33287	Y	100
ctenomys_magellanicus	33287	33287	Y	100
ctenomys_maulinus	33287	32445	N	97.4704839727221
ctenomys_mendocinus	33287	33287	Y	100
ctenomys_minutus	33287	33287	Y	100
ctenomys_nattereri	33287	33287	Y	100
ctenomys_occultus	33287	33287	Y	100
ctenomys_opimus	33287	33287	Y	100
ctenomys_pearsoni	33287	33287	Y	100
ctenomys_perrensi	33287	33287	Y	100
ctenomys_porteousi	33287	33287	Y	100
ctenomys_pundti	33287	33287	Y	100
ctenomys_rionegrensis	33287	33287	Y	100
ctenomys_roigi	33287	33287	Y	100
ctenomys_saltarius	33287	33287	Y	100
ctenomys_scagliai	33287	33287	Y	100
ctenomys_sericeus	33287	33287	Y	100
ctenomys_sociabilis	33287	33287	Y	100
ctenomys_steinbachi	33287	32697	N	98.2275362754228
ctenomys_talarum	33287	33287	Y	100
ctenomys_torquatus	33287	33287	Y	100
ctenomys_tuconax	33287	33287	Y	100
ctenomys_tucumanus	33287	33287	Y	100
cuniculus_paca	33287	30455	N	91.4921741220296
cuniculus_taczanowskii	33287	21421	N	64.3524499053685
cuscomys_ashaninka~	33287	31535	N	94.7366839907471
dactylomys_boliviensis	33287	31239	N	93.8474479526542
dactylomys_dactylinus	33287	31545	N	94.7667257487908
dasyprocta_fuliginosa	33287	33287	Y	100
dasyprocta_leporina	33287	31917	N	95.8842791480157
dasyprocta_punctata	33287	22439	N	67.4107008742152
dinomys_branickii	33287	21627	N	64.9713101210683
diplomys_labilis	33287	32789	N	98.5039204494247
dolichotis_patagonum	33287	31759	N	95.4096193709256
dolichotis_patagonum_centricola	33287	33287	Y	100
dolichotis_salinicola	33287	32751	N	98.3897617688587
echimys_chrysurus	33287	28869	N	86.7275512963019
erethizon_dorsatum	33287	19471	N	58.4943070868507
euryzygomatomys_spinosus	33287	30489	N	91.5943160993781
fukomys_amatus	33287	33287	Y	100
fukomys_anselli	33287	30713	N	92.2672514795566
fukomys_bocagei	33287	33287	Y	100
fukomys_choma	33287	33287	Y	100
fukomys_darlingi	33287	33287	Y	100
fukomys_foxi	33287	33287	Y	100
fukomys_kafuensis	33287	33287	Y	100
fukomys_mechowii	33287	33287	Y	100
fukomys_micklemi	33287	33287	Y	100
fukomys_ochraceocinereus	33287	33287	Y	100
fukomys_whytei	33287	33287	Y	100
fukomys_whytei_occlusus	33287	33287	Y	100
galea_musteloides	33287	31249	N	93.8774897106979
galea_musteloides_leucoblephara	33287	33287	Y	100
galea_spixii	33287	32753	N	98.3957701204674
geocapromys_brownii	33287	31863	N	95.7220536545799
geocapromys_ingrahami	33287	31411	N	94.3641661910055
georychus_capensis	33287	32723	N	98.3056448463364
heliophobius_argenteocinereus	33287	30543	N	91.756541592814
heterocephalus_glaber	33287	13657	N	41.0280289602548
hoplomys_gymnurus	33287	24557	N	73.7735452278667
hydrochoerus_hydrochaeris	33287	22217	N	66.7437738456454
