Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
allenopithecus_nigroviridis	3630	23	N	0.633608815426997
allocebus_trichotis	3630	2792	N	76.9146005509642
alouatta_belzebul	3630	3025	N	83.3333333333333
alouatta_caraya	3630	36	N	0.991735537190083
alouatta_guariba	3630	3066	N	84.4628099173554
alouatta_palliata	3630	3183	N	87.6859504132231
alouatta_palliata_aequatorialis	3630	3404	N	93.7741046831956
alouatta_palliata_coibensis	3630	3404	N	93.7741046831956
alouatta_palliata_mexicana	3630	3404	N	93.7741046831956
alouatta_palliata_trabeata	3630	3404	N	93.7741046831956
alouatta_pigra	3630	3404	N	93.7741046831956
alouatta_sara	3630	3025	N	83.3333333333333
alouatta_seniculus	3630	31	N	0.853994490358127
alouatta_macconnelli	3630	3025	N	83.3333333333333
alouatta_stramineus	3630	3295	N	90.771349862259
anathana_ellioti	3630	3630	Y	100
aotus_azarai	3630	30	N	0.826446280991736
aotus_azarai_boliviensis	3630	2502	N	68.9256198347107
aotus_azarai_infulatus	3630	294	N	8.09917355371901
aotus_brumbacki	3630	3447	N	94.9586776859504
aotus_griseimembra	3630	2502	N	68.9256198347107
aotus_lemurinus	3630	35	N	0.964187327823691
aotus_nancymaae	3630	31	N	0.853994490358127
aotus_nigriceps	3630	2502	N	68.9256198347107
aotus_trivirgatus	3630	297	N	8.18181818181818
aotus_vociferans	3630	2502	N	68.9256198347107
arctocebus_aureus	3630	3630	Y	100
arctocebus_calabarensis	3630	3251	N	89.5592286501377
ateles_belzebuth	3630	36	N	0.991735537190083
ateles_belzebuth_chamek	3630	2419	N	66.6391184573003
ateles_belzebuth_marginatus	3630	3399	N	93.6363636363636
ateles_fusciceps	3630	2424	N	66.7768595041322
ateles_fusciceps_robustus	3630	3251	N	89.5592286501377
ateles_fusciceps_rufiventris	3630	3062	N	84.3526170798898
ateles_geoffroyi	3630	2138	N	58.8980716253444
ateles_geoffroyi_frontatus	3630	3251	N	89.5592286501377
ateles_geoffroyi_panamensis	3630	3173	N	87.4104683195592
ateles_geoffroyi_vellerosus	3630	2813	N	77.4931129476584
ateles_geoffroyi_yucatanensis	3630	3176	N	87.4931129476584
ateles_hybridus	3630	2650	N	73.0027548209366
ateles_paniscus	3630	2102	N	57.9063360881543
avahi_cleesei	3630	2792	N	76.9146005509642
avahi_laniger	3630	32	N	0.881542699724518
avahi_occidentalis	3630	2565	N	70.6611570247934
avahi_peyrierasi	3630	3630	Y	100
avahi_unicolor	3630	3171	N	87.3553719008264
brachyteles_arachnoides	3630	295	N	8.1267217630854
brachyteles_hypoxanthus	3630	3399	N	93.6363636363636
cacajao_ayresi	3630	3266	N	89.9724517906336
cacajao_calvus	3630	35	N	0.964187327823691
cacajao_calvus_novaesi	3630	3254	N	89.6418732782369
cacajao_calvus_rubicundus	3630	3252	N	89.5867768595041
