Parsing alignment euarchonta_nt12cp ... ... 
Length alignment: 193708
Number of taxa: 486
Taxon: allenopithecus_nigroviridis | Num gaps: 185272 | Missing taxon?: N | % Missing data: 95.6449914304004
Taxon: allocebus_trichotis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_belzebul | Num gaps: 190584 | Missing taxon?: N | % Missing data: 98.387263303529
Taxon: alouatta_caraya | Num gaps: 184020 | Missing taxon?: N | % Missing data: 94.9986577735561
Taxon: alouatta_guariba | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_palliata | Num gaps: 189106 | Missing taxon?: N | % Missing data: 97.6242591942511
Taxon: alouatta_palliata_aequatorialis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_palliata_coibensis | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_palliata_mexicana | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_palliata_trabeata | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_pigra | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_sara | Num gaps: 168650 | Missing taxon?: N | % Missing data: 87.0640345261941
Taxon: alouatta_seniculus | Num gaps: 189222 | Missing taxon?: N | % Missing data: 97.6841431432878
Taxon: alouatta_macconnelli | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_stramineus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: anathana_ellioti | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_azarai | Num gaps: 190402 | Missing taxon?: N | % Missing data: 98.2933074524542
Taxon: aotus_azarai_boliviensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_azarai_infulatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_brumbacki | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_griseimembra | Num gaps: 192988 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: aotus_lemurinus | Num gaps: 192002 | Missing taxon?: N | % Missing data: 99.1192929564086
Taxon: aotus_nancymaae | Num gaps: 189174 | Missing taxon?: N | % Missing data: 97.6593635781692
Taxon: aotus_nigriceps | Num gaps: 192478 | Missing taxon?: N | % Missing data: 99.365023643835
Taxon: aotus_trivirgatus | Num gaps: 185544 | Missing taxon?: N | % Missing data: 95.7854089660727
Taxon: aotus_vociferans | Num gaps: 189500 | Missing taxon?: N | % Missing data: 97.8276581245999
Taxon: arctocebus_aureus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: arctocebus_calabarensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_belzebuth | Num gaps: 187880 | Missing taxon?: N | % Missing data: 96.9913478018461
Taxon: ateles_belzebuth_chamek | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_belzebuth_marginatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_fusciceps | Num gaps: 180618 | Missing taxon?: N | % Missing data: 93.242406095773
Taxon: ateles_fusciceps_robustus | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: ateles_fusciceps_rufiventris | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_geoffroyi | Num gaps: 175924 | Missing taxon?: N | % Missing data: 90.8191711235468
Taxon: ateles_geoffroyi_frontatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_geoffroyi_panamensis | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: ateles_geoffroyi_vellerosus | Num gaps: 192748 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: ateles_geoffroyi_yucatanensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_hybridus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_paniscus | Num gaps: 184644 | Missing taxon?: N | % Missing data: 95.3207921200983
Taxon: avahi_cleesei | Num gaps: 193016 | Missing taxon?: N | % Missing data: 99.6427612695397
Taxon: avahi_laniger | Num gaps: 193012 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: avahi_occidentalis | Num gaps: 193010 | Missing taxon?: N | % Missing data: 99.6396638238999
Taxon: avahi_peyrierasi | Num gaps: 193010 | Missing taxon?: N | % Missing data: 99.6396638238999
Taxon: avahi_unicolor | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: brachyteles_arachnoides | Num gaps: 191334 | Missing taxon?: N | % Missing data: 98.7744440085077
Taxon: brachyteles_hypoxanthus | Num gaps: 193062 | Missing taxon?: N | % Missing data: 99.6665083527784
Taxon: cacajao_ayresi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_calvus | Num gaps: 190718 | Missing taxon?: N | % Missing data: 98.4564395894852
