Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
allenopithecus_nigroviridis	193708	185272	N	95.6449914304004
allocebus_trichotis	193708	193708	Y	100
alouatta_belzebul	193708	190584	N	98.387263303529
alouatta_caraya	193708	184020	N	94.9986577735561
alouatta_guariba	193708	192748	N	99.5044086976274
alouatta_palliata	193708	189106	N	97.6242591942511
alouatta_palliata_aequatorialis	193708	193708	Y	100
alouatta_palliata_coibensis	193708	192748	N	99.5044086976274
alouatta_palliata_mexicana	193708	192748	N	99.5044086976274
alouatta_palliata_trabeata	193708	193708	Y	100
alouatta_pigra	193708	192748	N	99.5044086976274
alouatta_sara	193708	168650	N	87.0640345261941
alouatta_seniculus	193708	189222	N	97.6841431432878
alouatta_macconnelli	193708	193708	Y	100
alouatta_stramineus	193708	193708	Y	100
anathana_ellioti	193708	193708	Y	100
aotus_azarai	193708	190402	N	98.2933074524542
aotus_azarai_boliviensis	193708	193708	Y	100
aotus_azarai_infulatus	193708	193708	Y	100
aotus_brumbacki	193708	193708	Y	100
aotus_griseimembra	193708	192988	N	99.6283065232205
aotus_lemurinus	193708	192002	N	99.1192929564086
aotus_nancymaae	193708	189174	N	97.6593635781692
aotus_nigriceps	193708	192478	N	99.365023643835
aotus_trivirgatus	193708	185544	N	95.7854089660727
aotus_vociferans	193708	189500	N	97.8276581245999
arctocebus_aureus	193708	193708	Y	100
arctocebus_calabarensis	193708	193708	Y	100
ateles_belzebuth	193708	187880	N	96.9913478018461
ateles_belzebuth_chamek	193708	193708	Y	100
ateles_belzebuth_marginatus	193708	193708	Y	100
ateles_fusciceps	193708	180618	N	93.242406095773
ateles_fusciceps_robustus	193708	192748	N	99.5044086976274
ateles_fusciceps_rufiventris	193708	193708	Y	100
ateles_geoffroyi	193708	175924	N	90.8191711235468
ateles_geoffroyi_frontatus	193708	193708	Y	100
ateles_geoffroyi_panamensis	193708	192748	N	99.5044086976274
ateles_geoffroyi_vellerosus	193708	192748	N	99.5044086976274
ateles_geoffroyi_yucatanensis	193708	193708	Y	100
ateles_hybridus	193708	193708	Y	100
ateles_paniscus	193708	184644	N	95.3207921200983
avahi_cleesei	193708	193016	N	99.6427612695397
avahi_laniger	193708	193012	N	99.6406963057798
avahi_occidentalis	193708	193010	N	99.6396638238999
avahi_peyrierasi	193708	193010	N	99.6396638238999
avahi_unicolor	193708	193708	Y	100
brachyteles_arachnoides	193708	191334	N	98.7744440085077
brachyteles_hypoxanthus	193708	193062	N	99.6665083527784
cacajao_ayresi	193708	193708	Y	100
cacajao_calvus	193708	190718	N	98.4564395894852
cacajao_calvus_novaesi	193708	193708	Y	100
cacajao_calvus_rubicundus	193708	193708	Y	100
cacajao_calvus_ucayalli	193708	193708	Y	100
cacajao_hosomi	193708	193708	Y	100
cacajao_melanocephalus	193708	192256	N	99.2504181551614
cacajao_rubicundus	193708	191996	N	99.1161955107688
plecturocebus_brunneus	193708	192976	N	99.6221116319409
plecturocebus_cupreus	193708	173894	N	89.7712020154046
plecturocebus_donacophilus	193708	192350	N	99.2989448035187
plecturocebus_hoffmannsi	193708	193708	Y	100
cheracebus_lugens	193708	193708	Y	100
plecturocebus_moloch	193708	177594	N	91.6812934932992
callicebus_personatus	193708	193130	N	99.7016127366965
callicebus_personatus_nigrifrons	193708	193708	Y	100
cheracebus_purinus	193708	193708	Y	100
cheracebus_torquatus	193708	192682	N	99.4703367955892
callimico_goeldii	193708	180122	N	92.9863505895472
callithrix_argentata	193708	190386	N	98.2850475974147
callithrix_aurita	193708	193230	N	99.7532368306936
callithrix_emiliae	193708	193144	N	99.7088401098561
callithrix_geoffroyi	193708	188888	N	97.5117186693374
callithrix_humeralifera	193708	192978	N	99.6231441138208
callithrix_jacchus	193708	18548	N	9.57523695459145
callithrix_kuhlii	193708	192342	N	99.2948148759989
callithrix_mauesi	193708	193460	N	99.8719722468871
callithrix_penicillata	193708	193062	N	99.6665083527784
callithrix_pygmaea	193708	185874	N	95.9557684762632
callithrix_saterei	193708	193708	Y	100
cebus_albifrons	193708	176656	N	91.1970594916059
cebus_capucinus	193708	191058	N	98.6319615090755
cebus_kaapori	193708	193414	N	99.8482251636484
cebus_olivaceus	193708	191428	N	98.822970656865
cercocebus_agilis	193708	191320	N	98.767216635348
cercocebus_atys	193708	173720	N	89.6813760918496
cercocebus_atys_lunulatus	193708	193708	Y	100
cercocebus_chrysogaster	193708	186368	N	96.2107915006092
cercocebus_galeritus	193708	193038	N	99.6541185702191
cercocebus_torquatus	193708	187822	N	96.9614058273277
cercopithecus_mitis_albotorquatus	193708	193708	Y	100
cercopithecus_mitis_erythrarchus	193708	193708	Y	100
cercopithecus_mitis_francescae	193708	193708	Y	100
cercopithecus_mitis_kolbi	193708	193708	Y	100
cercopithecus_mitis_labiatus	193708	193708	Y	100
cercopithecus_mitis_moloneyi	193708	193708	Y	100
cercopithecus_mitis_monoides	193708	193708	Y	100
cercopithecus_ascanius_ascanius	193708	193708	Y	100
cercopithecus_ascanius_katangae	193708	193708	Y	100
cercopithecus_ascanius_schmidti	193708	193708	Y	100
cercopithecus_ascanius_whitesidei	193708	193708	Y	100
cercopithecus_campbelli	193708	193708	Y	100
cercopithecus_cephus	193708	192376	N	99.312367067958
cercopithecus_cephus_cephodes	193708	193708	Y	100
cercopithecus_cephus_ngottoensis	193708	193708	Y	100
cercopithecus_denti	193708	193708	Y	100
cercopithecus_diana	193708	190100	N	98.1374026885828
cercopithecus_mitis_doggetti	193708	193708	Y	100
cercopithecus_dryas	193708	193708	Y	100
cercopithecus_erythrogaster_pococki	193708	193708	Y	100
cercopithecus_erythrotis_camerunensis	193708	193708	Y	100
cercopithecus_erythrotis_erythrotis	193708	193708	Y	100
cercopithecus_hamlyni	193708	193708	Y	100
cercopithecus_mitis_kandti	193708	193708	Y	100
cercopithecus_lhoesti	193708	193046	N	99.6582484977389
cercopithecus_mitis	193708	186624	N	96.3429491812419
cercopithecus_mitis_boutourlinii	193708	193708	Y	100
cercopithecus_mitis_heymansi	193708	193708	Y	100
cercopithecus_mitis_opisthostictus	193708	193708	Y	100
cercopithecus_mitis_stuhlmanni	193708	193708	Y	100
cercopithecus_mona	193708	190830	N	98.514258574762
cercopithecus_neglectus	193708	191966	N	99.1007082825696
cercopithecus_nictitans_martini	193708	193708	Y	100
cercopithecus_nictitans_nictitans	193708	193708	Y	100
cercopithecus_petaurista_buettikoferi	193708	193708	Y	100
cercopithecus_petaurista_petaurista	193708	193708	Y	100
cercopithecus_pogonias_grayi	193708	193708	Y	100
cercopithecus_pogonias_nigripes	193708	193708	Y	100
cercopithecus_pogonias_pogonias	193708	193708	Y	100
cercopithecus_pogonias_schwarzianus	193708	193708	Y	100
cercopithecus_preussi_insularis	193708	193708	Y	100
cercopithecus_preussi_preussi	193708	193708	Y	100
cercopithecus_roloway	193708	193708	Y	100
cercopithecus_solatus	193708	192040	N	99.1389101121275
cercopithecus_wolfi	193708	169570	N	87.5389761909678
cercopithecus_wolfi_elegans	193708	193708	Y	100
cercopithecus_wolfi_pyrogaster	193708	193708	Y	100
cheirogaleus_crossleyi	193708	193462	N	99.873004728767
cheirogaleus_lavasoensis	193708	193708	Y	100
cheirogaleus_major	193708	192148	N	99.1946641336445
cheirogaleus_medius	193708	190262	N	98.2210337208582
cheirogaleus_sibreei	193708	193462	N	99.873004728767
chiropotes_albinasus	193708	193708	Y	100
chiropotes_chiropotes	193708	193708	Y	100
chiropotes_chiropotes_sagulata	193708	193708	Y	100
chiropotes_israelita	193708	192988	N	99.6283065232205
chiropotes_satanas	193708	191300	N	98.7568918165486
chiropotes_utahickae	193708	193708	Y	100
chlorocebus_aethiops	193708	160276	N	82.7410328948727
chlorocebus_cynosuros	193708	193414	N	99.8482251636484
chlorocebus_djamdjamensis	193708	193708	Y	100
chlorocebus_pygerythrus	193708	191662	N	98.9437710368183
chlorocebus_sabaeus	193708	12598	N	6.503603361761
