Parsing alignment lagomorpha_nt12cp ... ... 
Length alignment: 130746
Number of taxa: 88
Taxon: brachylagus_idahoensis | Num gaps: 127278 | Missing taxon?: N | % Missing data: 97.3475287962921
Taxon: bunolagus_monticularis | Num gaps: 130114 | Missing taxon?: N | % Missing data: 99.5166200113197
Taxon: caprolagus_hispidus | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_alleni | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_americanus | Num gaps: 128938 | Missing taxon?: N | % Missing data: 98.6171661083322
Taxon: lepus_arcticus | Num gaps: 130158 | Missing taxon?: N | % Missing data: 99.5502730485063
Taxon: lepus_brachyurus | Num gaps: 129896 | Missing taxon?: N | % Missing data: 99.3498845088951
Taxon: lepus_californicus | Num gaps: 129534 | Missing taxon?: N | % Missing data: 99.0730117938598
Taxon: lepus_californicus_melanotis | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_californicus_xanti | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_callotis | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_capensis | Num gaps: 127172 | Missing taxon?: N | % Missing data: 97.2664555703425
Taxon: lepus_capensis_mediterraneus~ | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_castroviejoi | Num gaps: 128914 | Missing taxon?: N | % Missing data: 98.5988099062304
Taxon: lepus_comus | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_coreanus | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_corsicanus | Num gaps: 129562 | Missing taxon?: N | % Missing data: 99.0944273629786
Taxon: lepus_europaeus | Num gaps: 120254 | Missing taxon?: N | % Missing data: 91.9752803145029
Taxon: lepus_flavigularis | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_granatensis | Num gaps: 128378 | Missing taxon?: N | % Missing data: 98.1888547259572
Taxon: lepus_hainanus | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_insularis~ | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_mandshuricus | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_oiostolus | Num gaps: 130412 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: lepus_oiostolus_qinghaiensis~ | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_othus | Num gaps: 130160 | Missing taxon?: N | % Missing data: 99.5518027320147
Taxon: lepus_peguensis | Num gaps: 130746 | Missing taxon?: Y | % Missing data: 100
