Parsing alignment laurasiatheria_cetartiodactyla_mt3cp ... ... 
Length alignment: 3620
Number of taxa: 431
Taxon: addax_nasomaculatus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: aepyceros_melampus | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: alcelaphus_buselaphus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: alcelaphus_lichtensteini | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: alces_alces | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: alces_alces_cameloides | Num gaps: 283 | Missing taxon?: N | % Missing data: 7.81767955801105
Taxon: alces_alces_pfitzmayeri | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: ammotragus_lervia | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: antidorcas_marsupialis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: antilocapra_americana | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: antilocapra_americana_sonoriensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: antilope_cervicapra | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.441988950276243
Taxon: axis_axis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: axis_porcinus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: babyrousa_babyrussa | Num gaps: 2938 | Missing taxon?: N | % Missing data: 81.1602209944751
Taxon: babyrousa_celebensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: balaena_mysticetus | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_acutorostrata | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_bonaerensis | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_borealis | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_brydei | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_edeni | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_musculus | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_omurai | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_physalus | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: beatragus_hunteri | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: berardius_bairdii | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: bos_bison | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bos_bonasus | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: blastocerus_dichotomus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_frontalis | Num gaps: 3047 | Missing taxon?: N | % Missing data: 84.171270718232
Taxon: bos_gaurus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_grunniens | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bos_indicus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_javanicus~ | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bos_javanicus_lowi | Num gaps: 283 | Missing taxon?: N | % Missing data: 7.81767955801105
Taxon: bos_mutus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_primigenius | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_sauveli | Num gaps: 3051 | Missing taxon?: N | % Missing data: 84.2817679558011
Taxon: bos_taurus | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: boselaphus_tragocamelus | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bubalus_bubalis | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bubalus_carabanensis | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: bubalus_depressicornis | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bubalus_mindorensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: bubalus_quarlesi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: budorcas_taxicolor | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: budorcas_taxicolor_tibetana | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: camelops_cf_hesternus_pdh_2015 | Num gaps: 284 | Missing taxon?: N | % Missing data: 7.84530386740331
Taxon: camelus_bactrianus | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: camelus_dromedarius | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: camelus_ferus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: caperea_marginata | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: capra_aegagrus | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_aegagrus_blythi~ | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capra_aegagrus_cretica | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capra_caucasica | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_cylindricornis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capra_falconeri | Num gaps: 28 | Missing taxon?: N | % Missing data: 0.773480662983425
Taxon: capra_hircus | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_ibex | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_nubiana | Num gaps: 27 | Missing taxon?: N | % Missing data: 0.74585635359116
Taxon: capra_pyrenaica_hispanica | Num gaps: 3291 | Missing taxon?: N | % Missing data: 90.9116022099447
Taxon: capra_sibirica | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.07734806629834
Taxon: capreolus_capreolus | Num gaps: 22 | Missing taxon?: N | % Missing data: 0.607734806629834
Taxon: capreolus_pygargus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: capreolus_pygargus_tianschanicus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capricornis_crispus | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.441988950276243
Taxon: capricornis_milneedwardsii | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: capricornis_milneedwardsii_maritimus~ | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capricornis_sumatraensis | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capricornis_swinhoei | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capricornis_thar_jamrachi | Num gaps: 283 | Missing taxon?: N | % Missing data: 7.81767955801105
Taxon: catagonus_wagneri | Num gaps: 3277 | Missing taxon?: N | % Missing data: 90.524861878453
Taxon: cephalophus_adersi | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_callipygus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_dorsalis | Num gaps: 28 | Missing taxon?: N | % Missing data: 0.773480662983425
Taxon: cephalophus_harveyi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cephalophus_jentinki | Num gaps: 50 | Missing taxon?: N | % Missing data: 1.38121546961326
Taxon: cephalophus_leucogaster | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_natalensis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_niger | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cephalophus_nigrifrons | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04972375690608
Taxon: cephalophus_ogilbyi | Num gaps: 67 | Missing taxon?: N | % Missing data: 1.85082872928177
Taxon: cephalophus_rubidus | Num gaps: 3244 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: cephalophus_rufilatus | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: cephalophus_silvicultor | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: cephalophus_spadix | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_weynsi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cephalophus_zebra | Num gaps: 3244 | Missing taxon?: N | % Missing data: 89.6132596685083
