Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
acinonyx_jubatus	3660	59	N	1.6120218579235
ailuropoda_melanoleuca	3660	56	N	1.53005464480874
ailuropoda_melanoleuca_qinlingensis	3660	3660	Y	100
ailurus_fulgens	3660	56	N	1.53005464480874
ailurus_fulgens_styani	3660	56	N	1.53005464480874
anourosorex_squamipes	3660	59	N	1.6120218579235
anourosorex_yamashinai	3660	2733	N	74.672131147541
aonyx_capensis	3660	3281	N	89.6448087431694
aonyx_cinerea	3660	3281	N	89.6448087431694
arctictis_binturong	3660	2937	N	80.2459016393443
arctocephalus_australis	3660	317	N	8.66120218579235
arctocephalus_forsteri	3660	56	N	1.53005464480874
arctocephalus_gazella	3660	3281	N	89.6448087431694
arctocephalus_pusillus	3660	56	N	1.53005464480874
arctocephalus_townsendi	3660	56	N	1.53005464480874
arctocephalus_tropicalis~	3660	3660	Y	100
arctogalidia_trivirgata	3660	2936	N	80.2185792349727
arctonyx_collaris	3660	56	N	1.53005464480874
atelerix_albiventris	3660	3282	N	89.672131147541
atelerix_algirus	3660	3285	N	89.7540983606557
atelerix_frontalis	3660	3281	N	89.6448087431694
atelocynus_microtis	3660	3433	N	93.7978142076503
atilax_paludinosus	3660	2935	N	80.1912568306011
bassaricyon_alleni	3660	3280	N	89.6174863387978
bassaricyon_gabbii	3660	2419	N	66.0928961748634
bassaricyon_medius_medius	3660	3280	N	89.6174863387978
bassaricyon_neblina_neblina	3660	3280	N	89.6174863387978
bassariscus_astutus	3660	2420	N	66.120218579235
bassariscus_sumichrasti	3660	3281	N	89.6448087431694
bdeogale_crassicauda	3660	3281	N	89.6448087431694
bdeogale_nigripes	3660	2947	N	80.5191256830601
blarina_brevicauda	3660	2708	N	73.9890710382514
blarina_carolinensis	3660	3281	N	89.6448087431694
blarina_hylophaga	3660	3281	N	89.6448087431694
blarinella_griselda	3660	2733	N	74.672131147541
blarinella_quadraticauda	3660	59	N	1.6120218579235
blarinella_wardi	3660	3281	N	89.6448087431694
callorhinus_ursinus	3660	56	N	1.53005464480874
lupulella_adusta~	3660	1923	N	52.5409836065574
canis_anthus	3660	59	N	1.6120218579235
canis_aureus	3660	323	N	8.82513661202186
canis_familiaris	3660	59	N	1.6120218579235
canis_himalayensis	3660	3285	N	89.7540983606557
canis_indica	3660	3285	N	89.7540983606557
canis_latrans	3660	59	N	1.6120218579235
canis_lupus	3660	65	N	1.77595628415301
canis_lupus_baileyi	3660	3281	N	89.6448087431694
canis_lupus_campestris	3660	323	N	8.82513661202186
canis_lupus_chanco	3660	65	N	1.77595628415301
canis_lupus_desertorum	3660	324	N	8.85245901639344
canis_lupus_dingo	3660	3347	N	91.448087431694
