Parsing alignment laurasiatheria_therest_nt12cp ... ... 
Length alignment: 198006
Number of taxa: 659
Taxon: acinonyx_jubatus | Num gaps: 195364 | Missing taxon?: N | % Missing data: 98.6656969990808
Taxon: ailuropoda_melanoleuca | Num gaps: 14192 | Missing taxon?: N | % Missing data: 7.16745957193216
Taxon: ailuropoda_melanoleuca_qinlingensis | Num gaps: 197704 | Missing taxon?: N | % Missing data: 99.847479369312
Taxon: ailurus_fulgens | Num gaps: 184192 | Missing taxon?: N | % Missing data: 93.0234437340283
Taxon: ailurus_fulgens_styani | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: anourosorex_squamipes | Num gaps: 197044 | Missing taxon?: N | % Missing data: 99.5141561366827
Taxon: anourosorex_yamashinai | Num gaps: 197486 | Missing taxon?: N | % Missing data: 99.7373816955042
Taxon: aonyx_capensis | Num gaps: 195330 | Missing taxon?: N | % Missing data: 98.6485258022484
Taxon: aonyx_cinerea | Num gaps: 194240 | Missing taxon?: N | % Missing data: 98.0980374332091
Taxon: arctictis_binturong | Num gaps: 197508 | Missing taxon?: N | % Missing data: 99.7484924699252
Taxon: arctocephalus_australis | Num gaps: 195126 | Missing taxon?: N | % Missing data: 98.5454986212539
Taxon: arctocephalus_forsteri | Num gaps: 185294 | Missing taxon?: N | % Missing data: 93.579992525479
Taxon: arctocephalus_gazella | Num gaps: 197222 | Missing taxon?: N | % Missing data: 99.6040524024525
Taxon: arctocephalus_pusillus | Num gaps: 197760 | Missing taxon?: N | % Missing data: 99.8757613405654
Taxon: arctocephalus_townsendi | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: arctocephalus_tropicalis~ | Num gaps: 197760 | Missing taxon?: N | % Missing data: 99.8757613405654
Taxon: arctogalidia_trivirgata | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: arctonyx_collaris | Num gaps: 193398 | Missing taxon?: N | % Missing data: 97.6727977940062
Taxon: atelerix_albiventris | Num gaps: 196970 | Missing taxon?: N | % Missing data: 99.4767835318122
Taxon: atelerix_algirus | Num gaps: 195874 | Missing taxon?: N | % Missing data: 98.9232649515671
Taxon: atelerix_frontalis | Num gaps: 196494 | Missing taxon?: N | % Missing data: 99.2363867761583
Taxon: atelocynus_microtis | Num gaps: 195832 | Missing taxon?: N | % Missing data: 98.9020534731271
Taxon: atilax_paludinosus | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: bassaricyon_alleni | Num gaps: 195914 | Missing taxon?: N | % Missing data: 98.9434663596053
Taxon: bassaricyon_gabbii | Num gaps: 195582 | Missing taxon?: N | % Missing data: 98.7757946728887
Taxon: bassaricyon_medius_medius | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: bassaricyon_neblina_neblina | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: bassariscus_astutus | Num gaps: 194294 | Missing taxon?: N | % Missing data: 98.1253093340606
Taxon: bassariscus_sumichrasti | Num gaps: 196686 | Missing taxon?: N | % Missing data: 99.3333535347414
Taxon: bdeogale_crassicauda | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: bdeogale_nigripes | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: blarina_brevicauda | Num gaps: 195930 | Missing taxon?: N | % Missing data: 98.9515469228205
