Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
acinonyx_jubatus	177439	176118	N	99.2555187980095
ailuropoda_melanoleuca	177439	85532	N	48.2036080004959
ailuropoda_melanoleuca_qinlingensis	177439	177288	N	99.9149003319451
ailurus_fulgens	177439	170532	N	96.1073946539374
ailurus_fulgens_styani	177439	177439	Y	100
anourosorex_squamipes	177439	176958	N	99.7289209249376
anourosorex_yamashinai	177439	177179	N	99.8534707702365
aonyx_capensis	177439	176101	N	99.2459380406788
aonyx_cinerea	177439	175556	N	98.9387902321361
arctictis_binturong	177439	177190	N	99.8596700838035
arctocephalus_australis	177439	175999	N	99.1884534966946
arctocephalus_forsteri	177439	171083	N	96.4179239062438
arctocephalus_gazella	177439	177047	N	99.7790790074335
arctocephalus_pusillus	177439	177316	N	99.9306804028427
arctocephalus_townsendi	177439	177439	Y	100
arctocephalus_tropicalis~	177439	177316	N	99.9306804028427
arctogalidia_trivirgata	177439	177439	Y	100
arctonyx_collaris	177439	175135	N	98.7015255947114
atelerix_albiventris	177439	176921	N	99.7080686883943
atelerix_algirus	177439	176373	N	99.3992301579698
atelerix_frontalis	177439	176683	N	99.5739380857647
atelocynus_microtis	177439	176352	N	99.3873951047966
atilax_paludinosus	177439	177439	Y	100
bassaricyon_alleni	177439	176393	N	99.4105016371823
bassaricyon_gabbii	177439	176227	N	99.316948359718
bassaricyon_medius_medius	177439	177439	Y	100
bassaricyon_neblina_neblina	177439	177439	Y	100
bassariscus_astutus	177439	175583	N	98.9540067290731
bassariscus_sumichrasti	177439	176779	N	99.628041185985
bdeogale_crassicauda	177439	177439	Y	100
bdeogale_nigripes	177439	177439	Y	100
blarina_brevicauda	177439	176401	N	99.4150102288674
blarina_carolinensis	177439	177439	Y	100
blarina_hylophaga	177439	177439	Y	100
blarinella_griselda	177439	176958	N	99.7289209249376
blarinella_quadraticauda	177439	177439	Y	100
blarinella_wardi	177439	177439	Y	100
callorhinus_ursinus	177439	175996	N	99.1867627748127
lupulella_adusta~	177439	176350	N	99.3862679568753
canis_anthus	177439	177439	Y	100
canis_aureus	177439	176347	N	99.3845772349934
canis_familiaris	177439	86719	N	48.8725702917622
canis_himalayensis	177439	177439	Y	100
canis_indica	177439	177439	Y	100
canis_latrans	177439	175773	N	99.0610857815926
canis_lupus	177439	174201	N	98.1751475154842
canis_lupus_baileyi	177439	177439	Y	100
canis_lupus_campestris	177439	177439	Y	100
canis_lupus_chanco	177439	177439	Y	100
canis_lupus_desertorum	177439	177439	Y	100
canis_lupus_dingo	177439	177439	Y	100
canis_lupus_laniger	177439	177439	Y	100
canis_lupaster~	177439	177439	Y	100
canis_lupus_lycaon~	177439	177439	Y	100
lupulella_mesomelas~	177439	176352	N	99.3873951047966
lupulella_mesomelas_elongae~	177439	177439	Y	100
canis_rufus	177439	177288	N	99.9149003319451
canis_simensis	177439	176347	N	99.3845772349934
caracal_caracal	177439	176853	N	99.6697456590716
catopuma_badia	177439	176853	N	99.6697456590716
catopuma_temminckii	177439	176045	N	99.2143778988836
ceratotherium_simum	177439	166975	N	94.102762075981
ceratotherium_simum_cottoni	177439	177175	N	99.851216474394
cerdocyon_thous	177439	176352	N	99.3873951047966
chimarrogale_himalayica	177439	176954	N	99.7266666290951
chimarrogale_phaeura	177439	177439	Y	100
chimarrogale_platycephala	177439	177182	N	99.8551614921184
chimarrogale_styani	177439	177439	Y	100
chodsigoa_caovansunga	177439	177176	N	99.8517800483546
chodsigoa_hypsibia	177439	176960	N	99.7300480728588
chodsigoa_parca	177439	176952	N	99.7255394811738
chodsigoa_sodalis	177439	176957	N	99.7283573509769
chrotogale_owstoni	177439	177439	Y	100
chrysocyon_brachyurus	177439	176091	N	99.2403023010725
civettictis_civetta	177439	176414	N	99.4223366903556
condylura_cristata	177439	175453	N	98.8807421141913
conepatus	177439	176368	N	99.3964122881666
congosorex_phillipsorum	177439	177439	Y	100
crocidura_aleksandrisi	177439	177147	N	99.8354364034964
crocidura_attenuata	177439	176781	N	99.6291683339063
crocidura_baileyi	177439	177439	Y	100
crocidura_batakorum	177439	177439	Y	100
crocidura_batesi	177439	177150	N	99.8371271253783
crocidura_beatus	177439	176914	N	99.7041236706699
crocidura_beccarii	177439	177175	N	99.851216474394
crocidura_brunnea	177439	176840	N	99.6624191975834
crocidura_buettikoferi	177439	177156	N	99.8405085691421
crocidura_canariensis	177439	177176	N	99.8517800483546
crocidura_caspica~	177439	177439	Y	100
crocidura_crenata	177439	177160	N	99.8427628649846
crocidura_crossei	177439	177172	N	99.8495257525121
crocidura_cyanea	177439	177147	N	99.8354364034964
crocidura_douceti	177439	177163	N	99.8444535868665
crocidura_dsinezumi	177439	177239	N	99.8872852078743
crocidura_eburnea	177439	177144	N	99.8337456816145
crocidura_fingui	177439	177439	Y	100
crocidura_flavescens	177439	177155	N	99.8399449951814
crocidura_foetida	177439	177023	N	99.7655532323785
crocidura_fuliginosa	177439	176460	N	99.4482610925445
crocidura_fulvastra	177439	177144	N	99.8337456816145
crocidura_fumosa	177439	177245	N	99.890666651638
crocidura_fuscomurina	177439	177148	N	99.835999977457
crocidura_glassi	177439	177439	Y	100
crocidura_goliath	177439	177146	N	99.8348728295358
crocidura_grandiceps	177439	177163	N	99.8444535868665
crocidura_grassei	177439	177160	N	99.8427628649846
crocidura_grayi	177439	176818	N	99.6500205704496
crocidura_grayi_halconus	177439	177439	Y	100
crocidura_hikmiya	177439	176973	N	99.737374534347
crocidura_hildegardeae	177439	177166	N	99.8461443087484
crocidura_hirta	177439	177149	N	99.8365635514177
crocidura_horsfieldii	177439	176973	N	99.737374534347
crocidura_ichnusae	177439	177146	N	99.8348728295358
crocidura_indochinensis	177439	177439	Y	100
crocidura_jouvenetae	177439	177162	N	99.8438900129058
crocidura_lamottei	177439	177157	N	99.8410721431027
crocidura_lasiura	177439	177439	Y	100
crocidura_lepidura	177439	176822	N	99.6522748662921
crocidura_leucodon	177439	177169	N	99.8478350306303
crocidura_levicula	177439	177155	N	99.8399449951814
crocidura_luna	177439	177439	Y	100
crocidura_lusitania	177439	177149	N	99.8365635514177
crocidura_macmillani	177439	177439	Y	100
crocidura_malayana	177439	177169	N	99.8478350306303
crocidura_mariquensis	177439	177145	N	99.8343092555751
crocidura_maxi	177439	176910	N	99.7018693748274
crocidura_mdumai	177439	177110	N	99.8145841669532
crocidura_mindorus	177439	176819	N	99.6505841444102
crocidura_miya	177439	176973	N	99.737374534347
crocidura_monacha	177439	177439	Y	100
crocidura_monax	177439	177109	N	99.8140205929925
crocidura_monticola	177439	176911	N	99.702432948788
crocidura_munissii	177439	177111	N	99.8151477409138
crocidura_muricauda	177439	177164	N	99.8450171608271
crocidura_musseri	177439	177154	N	99.8393814212208
crocidura_nanilla	177439	177168	N	99.8472714566696
crocidura_neglecta	177439	176852	N	99.6691820851109
crocidura_negligens	177439	177173	N	99.8500893264728
crocidura_negrina	177439	176913	N	99.7035600967093
crocidura_newmarki	177439	177245	N	99.890666651638
crocidura_nigripes	177439	176840	N	99.6624191975834
crocidura_nigripes_lipara	177439	177439	Y	100
crocidura_nimbae	177439	177166	N	99.8461443087484
crocidura_nimbasilvanus	177439	177162	N	99.8438900129058
crocidura_ninoyi	177439	177115	N	99.8174020367563
crocidura_obscurior	177439	177145	N	99.8343092555751
crocidura_olivieri	177439	177144	N	99.8337456816145
crocidura_olivieri_cara	177439	177166	N	99.8461443087484
crocidura_olivieri_giffardi	177439	177163	N	99.8444535868665
crocidura_olivieri_kivu	177439	177159	N	99.842199291024
crocidura_olivieri_spurelli	177439	177155	N	99.8399449951814
crocidura_olivieri_sururae	177439	177168	N	99.8472714566696
crocidura_orientalis	177439	176833	N	99.658474179859
crocidura_orientalis_lawuana~	177439	177170	N	99.8483986045909
crocidura_orii	177439	177439	Y	100
crocidura_palawanensis	177439	177114	N	99.8168384627957
crocidura_panayensis	177439	176913	N	99.7035600967093
crocidura_paradoxura	177439	176830	N	99.6567834579771
crocidura_parvipes	177439	177439	Y	100
crocidura_phanluongi	177439	177439	Y	100
crocidura_phuquocensis	177439	177439	Y	100
crocidura_poensis	177439	177164	N	99.8450171608271
crocidura_rapax_kurodai	177439	176911	N	99.702432948788
crocidura_rhoditis	177439	177151	N	99.8376906993389
crocidura_roosevelti	177439	177165	N	99.8455807347877
crocidura_russula	177439	175860	N	99.1101167161672
crocidura_shantungensis	177439	177167	N	99.846707882709
crocidura_sibirica~	177439	177439	Y	100
crocidura_sicula	177439	177149	N	99.8365635514177
crocidura_silacea	177439	177148	N	99.835999977457
crocidura_sokolovi	177439	177439	Y	100
crocidura_somalica	177439	177439	Y	100
crocidura_suaveolens	177439	177157	N	99.8410721431027
crocidura_suaveolens_gueldenstaedtii	177439	176991	N	99.7475188656383
crocidura_suaveolens_mimula	177439	177439	Y	100
crocidura_tanakae	177439	176909	N	99.7013058008668
crocidura_tansaniana	177439	177110	N	99.8145841669532
crocidura_tarfayensis	177439	177183	N	99.855725066079
crocidura_theresae	177439	177155	N	99.8399449951814
crocidura_usambarae	177439	177109	N	99.8140205929925
crocidura_viaria	177439	177145	N	99.8343092555751
crocidura_watasei	177439	177439	Y	100
