Parsing alignment lchiroptera_subt1_mt3cp ... ... 
Length alignment: 3601
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: acerodon_jubatus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: aethalops_aequalis | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: aethalops_alecto | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: alionycteris_paucidentata | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: anthops_ornatus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: aproteles_bulmerae~ | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: asellia_tridens | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: aselliscus_stoliczkanus | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: aselliscus_tricuspidatus | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: balionycteris_maculata | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: boneia_bidens | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: cardioderma_cor | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: casinycteris_argynnis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: casinycteris_campomaanensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: chironax_melanocephalus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: cloeotis_percivali | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: coelops_frithii | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: craseonycteris_thonglongyai | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: cynopterus_brachyotis | Num gaps: 1 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: cynopterus_horsfieldii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: cynopterus_sphinx | Num gaps: 803 | Missing taxon?: N | % Missing data: 22.299361288531
Taxon: desmalopex_leucopterus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: desmalopex_microleucopterus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: dobsonia_inermis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: dobsonia_minor | Num gaps: 2880 | Missing taxon?: N | % Missing data: 79.9777839489031
Taxon: dobsonia_moluccensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: dobsonia_pannietensis | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: dobsonia_praedatrix | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: dobsonia_viridis | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: dyacopterus_spadiceus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: eidolon_dupreanum | Num gaps: 3230 | Missing taxon?: N | % Missing data: 89.6973063038045
Taxon: eidolon_helvum | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: eonycteris_robusta | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: eonycteris_spelaea | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: epomophorus_gambianus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: epomophorus_wahlbergi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: epomops_franqueti | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: haplonycteris_fischeri | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: harpyionycteris_celebensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: harpyionycteris_whiteheadi | Num gaps: 3273 | Missing taxon?: N | % Missing data: 90.8914190502638
Taxon: hipposideros_abae | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_aff_ruber | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_alongensis_alongensis | Num gaps: 3319 | Missing taxon?: N | % Missing data: 92.1688419883366
Taxon: hipposideros_alongensis_sungi | Num gaps: 3319 | Missing taxon?: N | % Missing data: 92.1688419883366
Taxon: hipposideros_armiger | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: hipposideros_ater | Num gaps: 2881 | Missing taxon?: N | % Missing data: 80.0055540127742
Taxon: hipposideros_beatus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_bicolor | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: hipposideros_bicolor_131_khz_ | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_bicolor_142_khz_ | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_caffer | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_caffer_tephrus | Num gaps: 3223 | Missing taxon?: N | % Missing data: 89.5029158567065
Taxon: hipposideros_calcaratus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_cervinus | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: hipposideros_cineraceus | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: hipposideros_commersoni | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_coronatus | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_coxi | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_cyclops | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_demissus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_diadema | Num gaps: 2557 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: hipposideros_dinops | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_doriae | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_dyacorum | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_fuliginosus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_fulvus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_galeritus | Num gaps: 2934 | Missing taxon?: N | % Missing data: 81.477367397945
Taxon: hipposideros_gigas | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_griffini | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_halophyllus | Num gaps: 3319 | Missing taxon?: N | % Missing data: 92.1688419883366
Taxon: hipposideros_jonesi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_khaokhouayensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_larvatus | Num gaps: 2557 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: hipposideros_larvatus_s_l_sjp_2012 | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_lekaguli | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_lylei | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
