Parsing alignment lchiroptera_subt1_nt3cp ... ... 
Length alignment: 80524
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 78772 | Missing taxon?: N | % Missing data: 97.8242511549352
Taxon: acerodon_jubatus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: aethalops_aequalis | Num gaps: 80242 | Missing taxon?: N | % Missing data: 99.6497938502807
Taxon: aethalops_alecto | Num gaps: 78902 | Missing taxon?: N | % Missing data: 97.9856937062242
Taxon: alionycteris_paucidentata | Num gaps: 79062 | Missing taxon?: N | % Missing data: 98.1843922308877
Taxon: anthops_ornatus | Num gaps: 80208 | Missing taxon?: N | % Missing data: 99.6075704137897
Taxon: aproteles_bulmerae~ | Num gaps: 80362 | Missing taxon?: N | % Missing data: 99.7988177437783
Taxon: asellia_tridens | Num gaps: 79546 | Missing taxon?: N | % Missing data: 98.7854552679946
Taxon: aselliscus_stoliczkanus | Num gaps: 77110 | Missing taxon?: N | % Missing data: 95.7602702299935
Taxon: aselliscus_tricuspidatus | Num gaps: 80222 | Missing taxon?: N | % Missing data: 99.6249565346977
Taxon: balionycteris_maculata | Num gaps: 79035 | Missing taxon?: N | % Missing data: 98.1508618548507
Taxon: boneia_bidens | Num gaps: 79510 | Missing taxon?: N | % Missing data: 98.7407480999454
Taxon: cardioderma_cor | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: casinycteris_argynnis | Num gaps: 79056 | Missing taxon?: N | % Missing data: 98.1769410362128
Taxon: casinycteris_campomaanensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: chironax_melanocephalus | Num gaps: 78872 | Missing taxon?: N | % Missing data: 97.9484377328498
Taxon: cloeotis_percivali | Num gaps: 79540 | Missing taxon?: N | % Missing data: 98.7780040733197
Taxon: coelops_frithii | Num gaps: 79442 | Missing taxon?: N | % Missing data: 98.6563012269634
Taxon: craseonycteris_thonglongyai | Num gaps: 76309 | Missing taxon?: N | % Missing data: 94.7655357408971
Taxon: cynopterus_brachyotis | Num gaps: 77548 | Missing taxon?: N | % Missing data: 96.3042074412597
Taxon: cynopterus_horsfieldii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: cynopterus_sphinx | Num gaps: 69260 | Missing taxon?: N | % Missing data: 86.0116238636928
Taxon: desmalopex_leucopterus | Num gaps: 79069 | Missing taxon?: N | % Missing data: 98.1930852913417
Taxon: desmalopex_microleucopterus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: dobsonia_inermis | Num gaps: 79074 | Missing taxon?: N | % Missing data: 98.1992946202374
Taxon: dobsonia_minor | Num gaps: 79508 | Missing taxon?: N | % Missing data: 98.7382643683871
Taxon: dobsonia_moluccensis | Num gaps: 79063 | Missing taxon?: N | % Missing data: 98.1856340966668
Taxon: dobsonia_pannietensis | Num gaps: 80365 | Missing taxon?: N | % Missing data: 99.8025433411157
Taxon: dobsonia_praedatrix | Num gaps: 78900 | Missing taxon?: N | % Missing data: 97.9832099746659
Taxon: dobsonia_viridis | Num gaps: 80039 | Missing taxon?: N | % Missing data: 99.3976950971139
Taxon: dyacopterus_spadiceus | Num gaps: 79079 | Missing taxon?: N | % Missing data: 98.2055039491332
Taxon: eidolon_dupreanum | Num gaps: 79933 | Missing taxon?: N | % Missing data: 99.2660573245244
Taxon: eidolon_helvum | Num gaps: 78908 | Missing taxon?: N | % Missing data: 97.9931449008991
Taxon: eonycteris_robusta | Num gaps: 79059 | Missing taxon?: N | % Missing data: 98.1806666335502
Taxon: eonycteris_spelaea | Num gaps: 74440 | Missing taxon?: N | % Missing data: 92.4444885996721
Taxon: epomophorus_gambianus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: epomophorus_wahlbergi | Num gaps: 79070 | Missing taxon?: N | % Missing data: 98.1943271571209
Taxon: epomops_franqueti | Num gaps: 78899 | Missing taxon?: N | % Missing data: 97.9819681088868
Taxon: haplonycteris_fischeri | Num gaps: 79073 | Missing taxon?: N | % Missing data: 98.1980527544583
Taxon: harpyionycteris_celebensis | Num gaps: 79438 | Missing taxon?: N | % Missing data: 98.6513337638468
Taxon: harpyionycteris_whiteheadi | Num gaps: 79057 | Missing taxon?: N | % Missing data: 98.1781829019919
Taxon: hipposideros_abae | Num gaps: 79541 | Missing taxon?: N | % Missing data: 98.7792459390989
Taxon: hipposideros_aff_ruber | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_alongensis_alongensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_alongensis_sungi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_armiger | Num gaps: 69767 | Missing taxon?: N | % Missing data: 86.6412498137201
Taxon: hipposideros_ater | Num gaps: 80198 | Missing taxon?: N | % Missing data: 99.5951517559982
Taxon: hipposideros_beatus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_bicolor | Num gaps: 80182 | Missing taxon?: N | % Missing data: 99.5752819035319
Taxon: hipposideros_bicolor_131_khz_ | Num gaps: 80271 | Missing taxon?: N | % Missing data: 99.6858079578759
Taxon: hipposideros_bicolor_142_khz_ | Num gaps: 80271 | Missing taxon?: N | % Missing data: 99.6858079578759
Taxon: hipposideros_caffer | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_caffer_tephrus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_calcaratus | Num gaps: 80194 | Missing taxon?: N | % Missing data: 99.5901842928816
Taxon: hipposideros_cervinus | Num gaps: 80193 | Missing taxon?: N | % Missing data: 99.5889424271025
Taxon: hipposideros_cineraceus | Num gaps: 80272 | Missing taxon?: N | % Missing data: 99.6870498236551
Taxon: hipposideros_commersoni | Num gaps: 73774 | Missing taxon?: N | % Missing data: 91.6174059907605
Taxon: hipposideros_coronatus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_coxi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_cyclops | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_demissus | Num gaps: 80193 | Missing taxon?: N | % Missing data: 99.5889424271025
Taxon: hipposideros_diadema | Num gaps: 80194 | Missing taxon?: N | % Missing data: 99.5901842928816
Taxon: hipposideros_dinops | Num gaps: 80208 | Missing taxon?: N | % Missing data: 99.6075704137897
Taxon: hipposideros_doriae | Num gaps: 80274 | Missing taxon?: N | % Missing data: 99.6895335552134
Taxon: hipposideros_dyacorum | Num gaps: 80272 | Missing taxon?: N | % Missing data: 99.6870498236551
Taxon: hipposideros_fuliginosus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_fulvus | Num gaps: 79970 | Missing taxon?: N | % Missing data: 99.3120063583528
Taxon: hipposideros_galeritus | Num gaps: 79288 | Missing taxon?: N | % Missing data: 98.4650538969748
Taxon: hipposideros_gigas | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_griffini | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_halophyllus | Num gaps: 79288 | Missing taxon?: N | % Missing data: 98.4650538969748
Taxon: hipposideros_jonesi | Num gaps: 79540 | Missing taxon?: N | % Missing data: 98.7780040733197
Taxon: hipposideros_khaokhouayensis | Num gaps: 80271 | Missing taxon?: N | % Missing data: 99.6858079578759
Taxon: hipposideros_larvatus | Num gaps: 75179 | Missing taxon?: N | % Missing data: 93.3622274104615
Taxon: hipposideros_larvatus_s_l_sjp_2012 | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_lekaguli | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_lylei | Num gaps: 80272 | Missing taxon?: N | % Missing data: 99.6870498236551
Taxon: hipposideros_obscurus | Num gaps: 80272 | Missing taxon?: N | % Missing data: 99.6870498236551
Taxon: hipposideros_pelingensis | Num gaps: 80275 | Missing taxon?: N | % Missing data: 99.6907754209925
Taxon: hipposideros_pomona | Num gaps: 77820 | Missing taxon?: N | % Missing data: 96.6419949331876
Taxon: hipposideros_pratti | Num gaps: 77063 | Missing taxon?: N | % Missing data: 95.7019025383737
Taxon: hipposideros_pygmaeus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_ridleyi | Num gaps: 80271 | Missing taxon?: N | % Missing data: 99.6858079578759
Taxon: hipposideros_rotalis | Num gaps: 80272 | Missing taxon?: N | % Missing data: 99.6870498236551
Taxon: hipposideros_ruber | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_scutinares | Num gaps: 80271 | Missing taxon?: N | % Missing data: 99.6858079578759
Taxon: hipposideros_speoris | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_terasensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_pendleburyi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_turpis_turpis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_vittatus | Num gaps: 79532 | Missing taxon?: N | % Missing data: 98.7680691470866
Taxon: hypsignathus_monstrosus | Num gaps: 79057 | Missing taxon?: N | % Missing data: 98.1781829019919
Taxon: latidens_salimalii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: macroderma_gigas | Num gaps: 78745 | Missing taxon?: N | % Missing data: 97.7907207788982
Taxon: macroglossus_minimus | Num gaps: 78900 | Missing taxon?: N | % Missing data: 97.9832099746659
Taxon: macroglossus_sobrinus | Num gaps: 79059 | Missing taxon?: N | % Missing data: 98.1806666335502
Taxon: megaderma_lyra | Num gaps: 70996 | Missing taxon?: N | % Missing data: 88.1675028562913
Taxon: megaderma_spasma | Num gaps: 77650 | Missing taxon?: N | % Missing data: 96.4308777507327
Taxon: megaerops_ecaudatus | Num gaps: 79074 | Missing taxon?: N | % Missing data: 98.1992946202374
Taxon: megaerops_kusnotoi | Num gaps: 79068 | Missing taxon?: N | % Missing data: 98.1918434255626
Taxon: megaerops_wetmorei | Num gaps: 79508 | Missing taxon?: N | % Missing data: 98.7382643683871
Taxon: megaloglossus_azagnyi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: megaloglossus_woermanni | Num gaps: 78910 | Missing taxon?: N | % Missing data: 97.9956286324574
Taxon: melonycteris_fardoulisi | Num gaps: 78901 | Missing taxon?: N | % Missing data: 97.9844518404451
Taxon: melonycteris_melanops | Num gaps: 78896 | Missing taxon?: N | % Missing data: 97.9782425115494
Taxon: micropteropus_pusillus | Num gaps: 79059 | Missing taxon?: N | % Missing data: 98.1806666335502
Taxon: mirimiri_acrodonta | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_angolensis | Num gaps: 79077 | Missing taxon?: N | % Missing data: 98.2030202175749
Taxon: myonycteris_angolensis_ruwenzorii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_angolensis_smithii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_brachycephala | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_leptodon | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_relicta | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_torquata | Num gaps: 78908 | Missing taxon?: N | % Missing data: 97.9931449008991
Taxon: nanonycteris_veldkampii | Num gaps: 79059 | Missing taxon?: N | % Missing data: 98.1806666335502
Taxon: notopteris_macdonaldi | Num gaps: 80362 | Missing taxon?: N | % Missing data: 99.7988177437783
Taxon: nyctimene_aello | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_albiventer | Num gaps: 74015 | Missing taxon?: N | % Missing data: 91.9166956435349
Taxon: nyctimene_cephalotes | Num gaps: 78549 | Missing taxon?: N | % Missing data: 97.5473150861855
Taxon: nyctimene_certans | Num gaps: 80372 | Missing taxon?: N | % Missing data: 99.8112364015697
Taxon: nyctimene_major | Num gaps: 80377 | Missing taxon?: N | % Missing data: 99.8174457304655
Taxon: nyctimene_robinsoni | Num gaps: 78898 | Missing taxon?: N | % Missing data: 97.9807262431076
Taxon: nyctimene_vizcaccia | Num gaps: 78895 | Missing taxon?: N | % Missing data: 97.9770006457702
Taxon: otopteropus_cartilagonodus | Num gaps: 79064 | Missing taxon?: N | % Missing data: 98.186875962446
Taxon: paranyctimene_raptor | Num gaps: 80368 | Missing taxon?: N | % Missing data: 99.8062689384531
Taxon: paratriaenops_auritus | Num gaps: 79750 | Missing taxon?: N | % Missing data: 99.0387958869405
Taxon: paratriaenops_furculus | Num gaps: 79764 | Missing taxon?: N | % Missing data: 99.0561820078486
Taxon: penthetor_lucasi | Num gaps: 78998 | Missing taxon?: N | % Missing data: 98.1049128210223
Taxon: ptenochirus_jagori | Num gaps: 79062 | Missing taxon?: N | % Missing data: 98.1843922308877
Taxon: pteralopex_atrata | Num gaps: 80373 | Missing taxon?: N | % Missing data: 99.8124782673489
Taxon: pteralopex_taki | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_admiralitatum | Num gaps: 80362 | Missing taxon?: N | % Missing data: 99.7988177437783
Taxon: pteropus_aldabrensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_alecto | Num gaps: 72753 | Missing taxon?: N | % Missing data: 90.3494610302518
Taxon: pteropus_anetianus | Num gaps: 79357 | Missing taxon?: N | % Missing data: 98.5507426357359
Taxon: pteropus_capistratus_ennisae | Num gaps: 80363 | Missing taxon?: N | % Missing data: 99.8000596095574
Taxon: pteropus_conspicillatus | Num gaps: 80165 | Missing taxon?: N | % Missing data: 99.5541701852864
Taxon: pteropus_dasymallus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_faunulus | Num gaps: 80368 | Missing taxon?: N | % Missing data: 99.8062689384531
Taxon: pteropus_giganteus | Num gaps: 74443 | Missing taxon?: N | % Missing data: 92.4482141970096
Taxon: pteropus_gilliardorum | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_griseus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_hypomelanus | Num gaps: 78791 | Missing taxon?: N | % Missing data: 97.847846604739
Taxon: pteropus_livingstonii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_lombocensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_lylei | Num gaps: 79508 | Missing taxon?: N | % Missing data: 98.7382643683871
Taxon: pteropus_macrotis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mahaganus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mariannus | Num gaps: 79505 | Missing taxon?: N | % Missing data: 98.7345387710496
Taxon: pteropus_molossinus | Num gaps: 79502 | Missing taxon?: N | % Missing data: 98.7308131737122
Taxon: pteropus_neohibernicus | Num gaps: 79357 | Missing taxon?: N | % Missing data: 98.5507426357359
Taxon: pteropus_niger | Num gaps: 80365 | Missing taxon?: N | % Missing data: 99.8025433411157
Taxon: pteropus_ornatus | Num gaps: 80366 | Missing taxon?: N | % Missing data: 99.8037852068948
Taxon: pteropus_pelagicus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pelewensis_pelewensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_personatus~ | Num gaps: 80362 | Missing taxon?: N | % Missing data: 99.7988177437783
Taxon: pteropus_pohlei | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_poliocephalus | Num gaps: 79507 | Missing taxon?: N | % Missing data: 98.7370225026079
Taxon: pteropus_pumilus | Num gaps: 79218 | Missing taxon?: N | % Missing data: 98.3781232924346
Taxon: pteropus_rayneri | Num gaps: 79511 | Missing taxon?: N | % Missing data: 98.7419899657245
Taxon: pteropus_rodricensis | Num gaps: 80238 | Missing taxon?: N | % Missing data: 99.6448263871641
Taxon: pteropus_rufus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_samoensis | Num gaps: 79354 | Missing taxon?: N | % Missing data: 98.5470170383985
Taxon: pteropus_samoensis_nawaiensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_scapulatus | Num gaps: 80009 | Missing taxon?: N | % Missing data: 99.3604391237395
