Parsing alignment lchiroptera_subt2_mt12cp ... ... 
Length alignment: 7240
Number of taxa: 634
Taxon: ametrida_centurio | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: anoura_caudifer | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: anoura_cultrata | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: anoura_geoffroyi | Num gaps: 5932 | Missing taxon?: N | % Missing data: 81.9337016574586
Taxon: anoura_latidens | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: antrozous_dubiaquercus | Num gaps: 6488 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: antrozous_pallidus | Num gaps: 5204 | Missing taxon?: N | % Missing data: 71.878453038674
Taxon: ardops_nichollsi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: arielulus_aureocollaris | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: arielulus_cuprosus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: ariteus_flavescens | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_amplus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_anderseni | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_aztecus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_bogotensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_cinereus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_concolor | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_fimbriatus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_fraterculus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_glaucus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_gnomus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_watsoni | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: enchisthenes_hartii | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_hirsutus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_inopinatus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_intermedius | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_jamaicensis | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: artibeus_jamaicensis_aequatorialis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_jamaicensis_parvipes | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_jamaicensis_paulus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_jamaicensis_richardsoni | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_jamaicensis_triomylus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_jamaicensis_yucatanicus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_lituratus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: artibeus_obscurus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_phaeotis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_planirostris | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_planirostris_fallax | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_planirostris_grenadensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_planirostris_hercules | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_planirostris_trinitatis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_schwartzi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
