Parsing alignment lchiroptera_subt2_nt12cp ... ... 
Length alignment: 234986
Number of taxa: 634
Taxon: ametrida_centurio | Num gaps: 233630 | Missing taxon?: N | % Missing data: 99.4229443456206
Taxon: anoura_caudifer | Num gaps: 232274 | Missing taxon?: N | % Missing data: 98.8458886912412
Taxon: anoura_cultrata | Num gaps: 234216 | Missing taxon?: N | % Missing data: 99.6723209042241
Taxon: anoura_geoffroyi | Num gaps: 229292 | Missing taxon?: N | % Missing data: 97.5768769203272
Taxon: anoura_latidens | Num gaps: 233858 | Missing taxon?: N | % Missing data: 99.5199714025516
Taxon: antrozous_dubiaquercus | Num gaps: 233618 | Missing taxon?: N | % Missing data: 99.4178376584137
Taxon: antrozous_pallidus | Num gaps: 229070 | Missing taxon?: N | % Missing data: 97.4824032069996
Taxon: ardops_nichollsi | Num gaps: 234082 | Missing taxon?: N | % Missing data: 99.6152962304137
Taxon: arielulus_aureocollaris | Num gaps: 233508 | Missing taxon?: N | % Missing data: 99.3710263590171
Taxon: arielulus_cuprosus | Num gaps: 234572 | Missing taxon?: N | % Missing data: 99.823819291362
Taxon: ariteus_flavescens | Num gaps: 233632 | Missing taxon?: N | % Missing data: 99.4237954601551
Taxon: artibeus_amplus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_anderseni | Num gaps: 234632 | Missing taxon?: N | % Missing data: 99.8493527273965
Taxon: artibeus_aztecus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_bogotensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_cinereus | Num gaps: 233274 | Missing taxon?: N | % Missing data: 99.2714459584826
Taxon: artibeus_concolor | Num gaps: 233276 | Missing taxon?: N | % Missing data: 99.2722970730171
Taxon: artibeus_fimbriatus | Num gaps: 233670 | Missing taxon?: N | % Missing data: 99.4399666363102
Taxon: artibeus_fraterculus | Num gaps: 233860 | Missing taxon?: N | % Missing data: 99.5208225170861
Taxon: artibeus_glaucus | Num gaps: 233866 | Missing taxon?: N | % Missing data: 99.5233758606896
Taxon: artibeus_gnomus | Num gaps: 233870 | Missing taxon?: N | % Missing data: 99.5250780897585
Taxon: artibeus_watsoni | Num gaps: 233862 | Missing taxon?: N | % Missing data: 99.5216736316206
Taxon: enchisthenes_hartii | Num gaps: 233274 | Missing taxon?: N | % Missing data: 99.2714459584826
Taxon: artibeus_hirsutus | Num gaps: 234080 | Missing taxon?: N | % Missing data: 99.6144451158792
Taxon: artibeus_inopinatus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_intermedius | Num gaps: 233130 | Missing taxon?: N | % Missing data: 99.2101657119999
Taxon: artibeus_jamaicensis | Num gaps: 220080 | Missing taxon?: N | % Missing data: 93.6566433744989
Taxon: artibeus_jamaicensis_aequatorialis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_jamaicensis_parvipes | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_jamaicensis_paulus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_jamaicensis_richardsoni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_jamaicensis_triomylus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_jamaicensis_yucatanicus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_lituratus | Num gaps: 225694 | Missing taxon?: N | % Missing data: 96.0457218727924
Taxon: artibeus_obscurus | Num gaps: 234634 | Missing taxon?: N | % Missing data: 99.850203841931
Taxon: artibeus_phaeotis | Num gaps: 233886 | Missing taxon?: N | % Missing data: 99.5318870060344
Taxon: artibeus_planirostris | Num gaps: 234384 | Missing taxon?: N | % Missing data: 99.7438145251206
Taxon: artibeus_planirostris_fallax | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_planirostris_grenadensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_planirostris_hercules | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_planirostris_trinitatis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_schwartzi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
