Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
ametrida_centurio	234986	233630	N	99.4229443456206
anoura_caudifer	234986	232274	N	98.8458886912412
anoura_cultrata	234986	234216	N	99.6723209042241
anoura_geoffroyi	234986	229292	N	97.5768769203272
anoura_latidens	234986	233858	N	99.5199714025516
antrozous_dubiaquercus	234986	233618	N	99.4178376584137
antrozous_pallidus	234986	229070	N	97.4824032069996
ardops_nichollsi	234986	234082	N	99.6152962304137
arielulus_aureocollaris	234986	233508	N	99.3710263590171
arielulus_cuprosus	234986	234572	N	99.823819291362
ariteus_flavescens	234986	233632	N	99.4237954601551
artibeus_amplus	234986	234986	Y	100
artibeus_anderseni	234986	234632	N	99.8493527273965
artibeus_aztecus	234986	234986	Y	100
artibeus_bogotensis	234986	234986	Y	100
artibeus_cinereus	234986	233274	N	99.2714459584826
artibeus_concolor	234986	233276	N	99.2722970730171
artibeus_fimbriatus	234986	233670	N	99.4399666363102
artibeus_fraterculus	234986	233860	N	99.5208225170861
artibeus_glaucus	234986	233866	N	99.5233758606896
artibeus_gnomus	234986	233870	N	99.5250780897585
artibeus_watsoni	234986	233862	N	99.5216736316206
enchisthenes_hartii	234986	233274	N	99.2714459584826
artibeus_hirsutus	234986	234080	N	99.6144451158792
artibeus_inopinatus	234986	234986	Y	100
artibeus_intermedius	234986	233130	N	99.2101657119999
artibeus_jamaicensis	234986	220080	N	93.6566433744989
artibeus_jamaicensis_aequatorialis	234986	234986	Y	100
artibeus_jamaicensis_parvipes	234986	234986	Y	100
artibeus_jamaicensis_paulus	234986	234986	Y	100
artibeus_jamaicensis_richardsoni	234986	234986	Y	100
artibeus_jamaicensis_triomylus	234986	234986	Y	100
artibeus_jamaicensis_yucatanicus	234986	234986	Y	100
artibeus_lituratus	234986	225694	N	96.0457218727924
artibeus_obscurus	234986	234634	N	99.850203841931
artibeus_phaeotis	234986	233886	N	99.5318870060344
artibeus_planirostris	234986	234384	N	99.7438145251206
artibeus_planirostris_fallax	234986	234986	Y	100
artibeus_planirostris_grenadensis	234986	234986	Y	100
artibeus_planirostris_hercules	234986	234986	Y	100
artibeus_planirostris_trinitatis	234986	234986	Y	100
artibeus_schwartzi	234986	234986	Y	100
artibeus_toltecus	234986	234986	Y	100
balantiopteryx_infusca	234986	234986	Y	100
balantiopteryx_io	234986	234986	Y	100
balantiopteryx_plicata	234986	234986	Y	100
