Parsing alignment marsupialia_mt3cp ... ... 
Length alignment: 3639
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 975 | Missing taxon?: N | % Missing data: 26.7930750206101
Taxon: aepyprymnus_rufescens | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: ailurops_ursinus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: antechinomys_laniger | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: antechinus_agilis | Num gaps: 3361 | Missing taxon?: N | % Missing data: 92.3605386095081
Taxon: antechinus_bellus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: antechinus_flavipes | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: antechinus_godmani | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: antechinus_leo | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: antechinus_minimus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: antechinus_stuartii | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: antechinus_swainsonii | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: bettongia_gaimardi | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: bettongia_lesueur | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: bettongia_penicillata | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: bettongia_penicillata_ogilbyi | Num gaps: 3273 | Missing taxon?: N | % Missing data: 89.9422918384171
Taxon: bettongia_tropica | Num gaps: 3198 | Missing taxon?: N | % Missing data: 87.881286067601
Taxon: burramys_parvus | Num gaps: 308 | Missing taxon?: N | % Missing data: 8.46386369881836
Taxon: caenolestes_caniventer | Num gaps: 3364 | Missing taxon?: N | % Missing data: 92.4429788403408
Taxon: caenolestes_fuliginosus | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: caenolestes_sangay | Num gaps: 3364 | Missing taxon?: N | % Missing data: 92.4429788403408
Taxon: caluromys_derbianus | Num gaps: 3240 | Missing taxon?: N | % Missing data: 89.035449299258
Taxon: caluromys_lanatus | Num gaps: 296 | Missing taxon?: N | % Missing data: 8.13410277548777
Taxon: caluromys_philander | Num gaps: 3256 | Missing taxon?: N | % Missing data: 89.4751305303655
Taxon: caluromysiops_irrupta | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: cercartetus_caudatus | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: cercartetus_caudatus_macrurus | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: cercartetus_concinnus | Num gaps: 307 | Missing taxon?: N | % Missing data: 8.43638362187414
Taxon: cercartetus_lepidus | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: cercartetus_nanus | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: chironectes_minimus | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: cryptonanus_agricolai | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: cryptonanus_chacoensis | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptonanus_unduaviensis | Num gaps: 2744 | Missing taxon?: N | % Missing data: 75.4053311349272
Taxon: dactylopsila_palpator | Num gaps: 306 | Missing taxon?: N | % Missing data: 8.40890354492993
Taxon: dactylopsila_trivirgata | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: dasycercus_cristicauda | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: dasykaluta_rosamondae | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: dasyuridae_sp_jmz_2005 | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: dasyuroides_byrnei | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: dasyurus_albopunctatus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: dasyurus_geoffroii | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: dasyurus_hallucatus | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: dasyurus_maculatus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: dasyurus_spartacus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: dasyurus_viverrinus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: dendrolagus_dorianus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: dendrolagus_goodfellowi | Num gaps: 2825 | Missing taxon?: N | % Missing data: 77.6312173674086
Taxon: dendrolagus_lumholtzi | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: dendrolagus_matschiei | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: didelphis_albiventris | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: didelphis_marsupialis | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: didelphis_virginiana | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: distoechurus_pennatus | Num gaps: 41 | Missing taxon?: N | % Missing data: 1.12668315471283
Taxon: dorcopsis_hageni | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: dorcopsis_veterum | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: dorcopsulus_vanheurni | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: dromiciops_gliroides | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: echymipera_clara | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
