Parsing alignment marsupialia_nt12cp ... ... 
Length alignment: 171898
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 160430 | Missing taxon?: N | % Missing data: 93.3286018452803
Taxon: aepyprymnus_rufescens | Num gaps: 160560 | Missing taxon?: N | % Missing data: 93.4042280887503
Taxon: ailurops_ursinus | Num gaps: 168034 | Missing taxon?: N | % Missing data: 97.7521553479389
Taxon: antechinomys_laniger | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: antechinus_agilis | Num gaps: 171154 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: antechinus_bellus | Num gaps: 171154 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: antechinus_flavipes | Num gaps: 168976 | Missing taxon?: N | % Missing data: 98.300154742929
Taxon: antechinus_godmani | Num gaps: 171154 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: antechinus_leo | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: antechinus_minimus | Num gaps: 169606 | Missing taxon?: N | % Missing data: 98.6666511535911
Taxon: antechinus_stuartii | Num gaps: 170384 | Missing taxon?: N | % Missing data: 99.1192451337421
Taxon: antechinus_swainsonii | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: bettongia_gaimardi | Num gaps: 168746 | Missing taxon?: N | % Missing data: 98.1663544660206
Taxon: bettongia_lesueur | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: bettongia_penicillata | Num gaps: 168334 | Missing taxon?: N | % Missing data: 97.9266774482542
Taxon: bettongia_penicillata_ogilbyi | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: bettongia_tropica | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: burramys_parvus | Num gaps: 168822 | Missing taxon?: N | % Missing data: 98.2105667314338
Taxon: caenolestes_caniventer | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: caenolestes_fuliginosus | Num gaps: 161854 | Missing taxon?: N | % Missing data: 94.1570000814436
Taxon: caenolestes_sangay | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: caluromys_derbianus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: caluromys_lanatus | Num gaps: 166506 | Missing taxon?: N | % Missing data: 96.8632561169996
Taxon: caluromys_philander | Num gaps: 157946 | Missing taxon?: N | % Missing data: 91.8835588546696
Taxon: caluromysiops_irrupta | Num gaps: 171126 | Missing taxon?: N | % Missing data: 99.5508964618553
Taxon: cercartetus_caudatus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: cercartetus_caudatus_macrurus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: cercartetus_concinnus | Num gaps: 167174 | Missing taxon?: N | % Missing data: 97.2518586603684
Taxon: cercartetus_lepidus | Num gaps: 168800 | Missing taxon?: N | % Missing data: 98.1977684440773
Taxon: cercartetus_nanus | Num gaps: 159624 | Missing taxon?: N | % Missing data: 92.8597191357666
Taxon: chironectes_minimus | Num gaps: 166538 | Missing taxon?: N | % Missing data: 96.8818718076999
Taxon: cryptonanus_agricolai | Num gaps: 171322 | Missing taxon?: N | % Missing data: 99.6649175673946
Taxon: cryptonanus_chacoensis | Num gaps: 166728 | Missing taxon?: N | % Missing data: 96.9924024712329
Taxon: cryptonanus_unduaviensis | Num gaps: 166498 | Missing taxon?: N | % Missing data: 96.8586021943245
Taxon: dactylopsila_palpator | Num gaps: 168812 | Missing taxon?: N | % Missing data: 98.2047493280899
Taxon: dactylopsila_trivirgata | Num gaps: 168766 | Missing taxon?: N | % Missing data: 98.1779892727082
Taxon: dasycercus_cristicauda | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasykaluta_rosamondae | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyuridae_sp_jmz_2005 | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: dasyuroides_byrnei | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyurus_albopunctatus | Num gaps: 161344 | Missing taxon?: N | % Missing data: 93.8603125109076
Taxon: dasyurus_geoffroii | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyurus_hallucatus | Num gaps: 170228 | Missing taxon?: N | % Missing data: 99.0284936415782
Taxon: dasyurus_maculatus | Num gaps: 170364 | Missing taxon?: N | % Missing data: 99.1076103270544
Taxon: dasyurus_spartacus | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyurus_viverrinus | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dendrolagus_dorianus | Num gaps: 168760 | Missing taxon?: N | % Missing data: 98.1744988307019
Taxon: dendrolagus_goodfellowi | Num gaps: 168716 | Missing taxon?: N | % Missing data: 98.148902255989
Taxon: dendrolagus_lumholtzi | Num gaps: 171210 | Missing taxon?: N | % Missing data: 99.5997626499436
Taxon: dendrolagus_matschiei | Num gaps: 170632 | Missing taxon?: N | % Missing data: 99.2635167366694
Taxon: didelphis_albiventris | Num gaps: 166550 | Missing taxon?: N | % Missing data: 96.8888526917125
Taxon: didelphis_marsupialis | Num gaps: 165400 | Missing taxon?: N | % Missing data: 96.2198513071705
Taxon: didelphis_virginiana | Num gaps: 153492 | Missing taxon?: N | % Missing data: 89.2924874053218
Taxon: distoechurus_pennatus | Num gaps: 168810 | Missing taxon?: N | % Missing data: 98.2035858474211
Taxon: dorcopsis_hageni | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: dorcopsis_veterum | Num gaps: 168748 | Missing taxon?: N | % Missing data: 98.1675179466893
Taxon: dorcopsulus_vanheurni | Num gaps: 168788 | Missing taxon?: N | % Missing data: 98.1907875600647
Taxon: dromiciops_gliroides | Num gaps: 159048 | Missing taxon?: N | % Missing data: 92.5246367031612
Taxon: echymipera_clara | Num gaps: 168778 | Missing taxon?: N | % Missing data: 98.1849701567209
Taxon: echymipera_kalubu | Num gaps: 164154 | Missing taxon?: N | % Missing data: 95.4950028505276
Taxon: echymipera_kalubu_cockerelli | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_kalubu_oriomo | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_rufescens | Num gaps: 168776 | Missing taxon?: N | % Missing data: 98.1838066760521
Taxon: echymipera_rufescens_australis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: glironia_venusta | Num gaps: 159014 | Missing taxon?: N | % Missing data: 92.5048575317921
Taxon: gracilinanus_aceramarcae | Num gaps: 166494 | Missing taxon?: N | % Missing data: 96.856275232987
Taxon: gracilinanus_agilis | Num gaps: 166528 | Missing taxon?: N | % Missing data: 96.8760544043561
Taxon: gracilinanus_emiliae | Num gaps: 166528 | Missing taxon?: N | % Missing data: 96.8760544043561
Taxon: gracilinanus_microtarsus | Num gaps: 166802 | Missing taxon?: N | % Missing data: 97.0354512559774
Taxon: gymnobelideus_leadbeateri | Num gaps: 168784 | Missing taxon?: N | % Missing data: 98.1884605987271
Taxon: hemibelideus_lemuroides | Num gaps: 168756 | Missing taxon?: N | % Missing data: 98.1721718693644
Taxon: hyladelphys_kalinowskii | Num gaps: 166500 | Missing taxon?: N | % Missing data: 96.8597656749933
Taxon: hypsiprymnodon_moschatus | Num gaps: 160488 | Missing taxon?: N | % Missing data: 93.3623427846746
Taxon: isoodon_auratus | Num gaps: 168804 | Missing taxon?: N | % Missing data: 98.2000954054148
Taxon: isoodon_auratus_barrowensis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_macrourus | Num gaps: 160536 | Missing taxon?: N | % Missing data: 93.3902663207251
Taxon: isoodon_macrourus_moresbyensis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus | Num gaps: 168104 | Missing taxon?: N | % Missing data: 97.7928771713458
Taxon: isoodon_obesulus_affinis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_fusciventer | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_nautica | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_peninsulae | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: lagorchestes_conspicillatus | Num gaps: 168780 | Missing taxon?: N | % Missing data: 98.1861336373896
Taxon: lagorchestes_hirsutus | Num gaps: 168762 | Missing taxon?: N | % Missing data: 98.1756623113707
Taxon: lagostrophus_fasciatus | Num gaps: 168810 | Missing taxon?: N | % Missing data: 98.2035858474211
Taxon: lasiorhinus_krefftii | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: lasiorhinus_latifrons | Num gaps: 168754 | Missing taxon?: N | % Missing data: 98.1710083886956
Taxon: lestodelphys_halli | Num gaps: 169836 | Missing taxon?: N | % Missing data: 98.8004514304995
Taxon: lestoros_inca | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: lutreolina_crassicaudata | Num gaps: 166490 | Missing taxon?: N | % Missing data: 96.8539482716495
Taxon: macropus_agilis | Num gaps: 168308 | Missing taxon?: N | % Missing data: 97.9115521995602
Taxon: macropus_antilopinus | Num gaps: 168772 | Missing taxon?: N | % Missing data: 98.1814797147145
Taxon: macropus_dorsalis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: macropus_eugenii | Num gaps: 51936 | Missing taxon?: N | % Missing data: 30.2132660065853
Taxon: macropus_fuliginosus | Num gaps: 168768 | Missing taxon?: N | % Missing data: 98.179152753377
Taxon: macropus_giganteus | Num gaps: 168278 | Missing taxon?: N | % Missing data: 97.8940999895287
Taxon: macropus_irma | Num gaps: 168848 | Missing taxon?: N | % Missing data: 98.2256919801277
Taxon: macropus_parma | Num gaps: 168574 | Missing taxon?: N | % Missing data: 98.0662951285064
Taxon: macropus_parryi | Num gaps: 168794 | Missing taxon?: N | % Missing data: 98.194278002071
Taxon: macropus_robustus | Num gaps: 168374 | Missing taxon?: N | % Missing data: 97.9499470616296
Taxon: macropus_rufogriseus | Num gaps: 167980 | Missing taxon?: N | % Missing data: 97.7207413698821
Taxon: macropus_rufogriseus_banksianus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: macropus_rufus | Num gaps: 164682 | Missing taxon?: N | % Missing data: 95.8021617470826
Taxon: macrotis_lagotis | Num gaps: 160962 | Missing taxon?: N | % Missing data: 93.6380877031728
Taxon: marmosa_lepida | Num gaps: 166478 | Missing taxon?: N | % Missing data: 96.8469673876369
Taxon: marmosa_mexicana | Num gaps: 166538 | Missing taxon?: N | % Missing data: 96.8818718076999
Taxon: marmosa_mexicana_zeledoni | Num gaps: 171310 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_murina | Num gaps: 166598 | Missing taxon?: N | % Missing data: 96.916776227763
Taxon: marmosa_macrotarsus | Num gaps: 171310 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_waterhousei | Num gaps: 171318 | Missing taxon?: N | % Missing data: 99.6625906060571
Taxon: marmosa_robinsoni | Num gaps: 166554 | Missing taxon?: N | % Missing data: 96.8911796530501
Taxon: marmosa_isthmica | Num gaps: 171310 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_simonsi | Num gaps: 171310 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_rubra | Num gaps: 166512 | Missing taxon?: N | % Missing data: 96.8667465590059
Taxon: marmosa_tyleriana | Num gaps: 171310 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_xerophila | Num gaps: 171322 | Missing taxon?: N | % Missing data: 99.6649175673946
Taxon: marmosops_dorothea | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosops_impavidus | Num gaps: 166624 | Missing taxon?: N | % Missing data: 96.931901476457
Taxon: marmosops_incanus | Num gaps: 166524 | Missing taxon?: N | % Missing data: 96.8737274430185
Taxon: marmosops_noctivagus | Num gaps: 166508 | Missing taxon?: N | % Missing data: 96.8644195976684
Taxon: marmosops_pakaraimae | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosops_parvidens | Num gaps: 166572 | Missing taxon?: N | % Missing data: 96.901650979069
Taxon: marmosops_paulensis | Num gaps: 171320 | Missing taxon?: N | % Missing data: 99.6637540867258
Taxon: marmosops_pinheiroi | Num gaps: 167280 | Missing taxon?: N | % Missing data: 97.3135231358131
Taxon: metachirus_nudicaudatus | Num gaps: 166610 | Missing taxon?: N | % Missing data: 96.9237571117756
Taxon: marmosa_micoureus_constantiae | Num gaps: 171318 | Missing taxon?: N | % Missing data: 99.6625906060571
Taxon: marmosa_micoureus_demerarae | Num gaps: 166540 | Missing taxon?: N | % Missing data: 96.8830352883687
Taxon: marmosa_micoureus_paraguayana | Num gaps: 166734 | Missing taxon?: N | % Missing data: 96.9958929132392
Taxon: marmosa_micoureus_regina | Num gaps: 166504 | Missing taxon?: N | % Missing data: 96.8620926363308
Taxon: micromurexia_habbema | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: microperoryctes_aplini | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: microperoryctes_longicauda | Num gaps: 167994 | Missing taxon?: N | % Missing data: 97.7288857345635
Taxon: microperoryctes_longicauda_magnus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: microperoryctes_longicauda_ornatus | Num gaps: 169226 | Missing taxon?: N | % Missing data: 98.445589826525
Taxon: microperoryctes_papuensis | Num gaps: 168806 | Missing taxon?: N | % Missing data: 98.2012588860836
Taxon: monodelphis_adusta | Num gaps: 167870 | Missing taxon?: N | % Missing data: 97.6567499330999
Taxon: monodelphis_americana | Num gaps: 170496 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_arlindoi | Num gaps: 170498 | Missing taxon?: N | % Missing data: 99.1855635318619
Taxon: monodelphis_brevicaudata | Num gaps: 166500 | Missing taxon?: N | % Missing data: 96.8597656749933
Taxon: monodelphis_dimidiata | Num gaps: 170478 | Missing taxon?: N | % Missing data: 99.1739287251742
Taxon: monodelphis_domestica | Num gaps: 11282 | Missing taxon?: N | % Missing data: 6.56319445252417
Taxon: monodelphis_emiliae | Num gaps: 166478 | Missing taxon?: N | % Missing data: 96.8469673876369
Taxon: monodelphis_gardneri | Num gaps: 170496 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_glirina | Num gaps: 170500 | Missing taxon?: N | % Missing data: 99.1867270125307
Taxon: monodelphis_handleyi | Num gaps: 170496 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_iheringi | Num gaps: 170496 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_kunsi | Num gaps: 169708 | Missing taxon?: N | % Missing data: 98.7259886676983
Taxon: monodelphis_osgoodi | Num gaps: 170564 | Missing taxon?: N | % Missing data: 99.2239583939313
Taxon: monodelphis_palliolata | Num gaps: 170502 | Missing taxon?: N | % Missing data: 99.1878904931995
Taxon: monodelphis_peruviana | Num gaps: 169122 | Missing taxon?: N | % Missing data: 98.3850888317491
Taxon: monodelphis_reigi | Num gaps: 170518 | Missing taxon?: N | % Missing data: 99.1971983385496
Taxon: monodelphis_sanctaerosae | Num gaps: 170560 | Missing taxon?: N | % Missing data: 99.2216314325938
Taxon: monodelphis_scalops | Num gaps: 170506 | Missing taxon?: N | % Missing data: 99.190217454537
Taxon: monodelphis_theresa | Num gaps: 166482 | Missing taxon?: N | % Missing data: 96.8492943489744
Taxon: monodelphis_touan | Num gaps: 170498 | Missing taxon?: N | % Missing data: 99.1855635318619
Taxon: monodelphis_umbristriata | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: murexchinus_melanurus | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: murexia_longicaudata | Num gaps: 169178 | Missing taxon?: N | % Missing data: 98.4176662904746
Taxon: murexia_longicaudata_aspera | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: myoictis_leucura | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: myoictis_melas | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: myoictis_wallacei | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: myoictis_wavicus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: myrmecobius_fasciatus | Num gaps: 160290 | Missing taxon?: N | % Missing data: 93.2471581984665
Taxon: neophascogale_lorentzii | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: ningaui_ridei | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: ningaui_timealeyi | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: ningaui_yvonnae | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: notoryctes_caurinus | Num gaps: 171470 | Missing taxon?: N | % Missing data: 99.7510151368835
Taxon: notoryctes_typhlops | Num gaps: 160320 | Missing taxon?: N | % Missing data: 93.2646104084981
Taxon: onychogalea_fraenata | Num gaps: 168782 | Missing taxon?: N | % Missing data: 98.1872971180584
Taxon: onychogalea_unguifera | Num gaps: 168840 | Missing taxon?: N | % Missing data: 98.2210380574527
Taxon: paramurexia_rothschildi | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: parantechinus_apicalis | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: perameles_bougainville | Num gaps: 168792 | Missing taxon?: N | % Missing data: 98.1931145214022
Taxon: perameles_bougainville_notina | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: perameles_eremiana | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: perameles_gunnii | Num gaps: 168752 | Missing taxon?: N | % Missing data: 98.1698449080268
Taxon: perameles_nasuta | Num gaps: 168778 | Missing taxon?: N | % Missing data: 98.1849701567209
Taxon: perameles_nasuta_pallescens | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: peroryctes_broadbenti | Num gaps: 168816 | Missing taxon?: N | % Missing data: 98.2070762894274
Taxon: peroryctes_raffrayana | Num gaps: 168800 | Missing taxon?: N | % Missing data: 98.1977684440773
Taxon: petauroides_volans | Num gaps: 168960 | Missing taxon?: N | % Missing data: 98.2908468975788
Taxon: petaurus_abidi | Num gaps: 168872 | Missing taxon?: N | % Missing data: 98.239653748153
Taxon: petaurus_breviceps | Num gaps: 159764 | Missing taxon?: N | % Missing data: 92.9411627825804
Taxon: petaurus_norfolcensis | Num gaps: 168918 | Missing taxon?: N | % Missing data: 98.2664138035347
Taxon: petrogale_assimilis | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_brachyotis | Num gaps: 171202 | Missing taxon?: N | % Missing data: 99.5951087272685
Taxon: petrogale_brachyotis_victoriae | Num gaps: 171204 | Missing taxon?: N | % Missing data: 99.5962722079373
Taxon: petrogale_burbidgei | Num gaps: 171202 | Missing taxon?: N | % Missing data: 99.5951087272685
Taxon: petrogale_concinna | Num gaps: 168748 | Missing taxon?: N | % Missing data: 98.1675179466893
Taxon: petrogale_herberti | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_inornata | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_lateralis | Num gaps: 169086 | Missing taxon?: N | % Missing data: 98.3641461797112
Taxon: petrogale_lateralis_pearsoni | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_mareeba | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: petrogale_penicillata | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_persephone | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_purpureicollis | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_rothschildi | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_xanthopus | Num gaps: 168774 | Missing taxon?: N | % Missing data: 98.1826431953833
Taxon: petrogale_xanthopus_celeris | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petropseudes_dahli | Num gaps: 168754 | Missing taxon?: N | % Missing data: 98.1710083886956
Taxon: phalanger_carmelitae | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: phalanger_gymnotis | Num gaps: 168864 | Missing taxon?: N | % Missing data: 98.2349998254779
Taxon: phalanger_lullulae | Num gaps: 170334 | Missing taxon?: N | % Missing data: 99.0901581170229
Taxon: phalanger_orientalis | Num gaps: 168664 | Missing taxon?: N | % Missing data: 98.118651758601
Taxon: phalanger_sericeus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
