Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
acrobates_pygmaeus	85949	80215	N	93.3286018452803
aepyprymnus_rufescens	85949	80280	N	93.4042280887503
ailurops_ursinus	85949	84017	N	97.7521553479389
antechinomys_laniger	85949	85594	N	99.5869643625871
antechinus_agilis	85949	85577	N	99.567185191218
antechinus_bellus	85949	85577	N	99.567185191218
antechinus_flavipes	85949	84488	N	98.300154742929
antechinus_godmani	85949	85577	N	99.567185191218
antechinus_leo	85949	85576	N	99.5660217105493
antechinus_minimus	85949	84803	N	98.6666511535911
antechinus_stuartii	85949	85192	N	99.1192451337421
antechinus_swainsonii	85949	85576	N	99.5660217105493
bettongia_gaimardi	85949	84373	N	98.1663544660206
bettongia_lesueur	85949	85949	Y	100
bettongia_penicillata	85949	84167	N	97.9266774482542
bettongia_penicillata_ogilbyi	85949	85949	Y	100
bettongia_tropica	85949	85949	Y	100
burramys_parvus	85949	84411	N	98.2105667314338
caenolestes_caniventer	85949	85949	Y	100
caenolestes_fuliginosus	85949	80927	N	94.1570000814436
caenolestes_sangay	85949	85949	Y	100
caluromys_derbianus	85949	85949	Y	100
caluromys_lanatus	85949	83253	N	96.8632561169996
caluromys_philander	85949	78973	N	91.8835588546696
caluromysiops_irrupta	85949	85563	N	99.5508964618553
cercartetus_caudatus	85949	85949	Y	100
cercartetus_caudatus_macrurus	85949	85949	Y	100
cercartetus_concinnus	85949	83587	N	97.2518586603684
cercartetus_lepidus	85949	84400	N	98.1977684440773
cercartetus_nanus	85949	79812	N	92.8597191357666
chironectes_minimus	85949	83269	N	96.8818718076999
cryptonanus_agricolai	85949	85661	N	99.6649175673946
cryptonanus_chacoensis	85949	83364	N	96.9924024712329
cryptonanus_unduaviensis	85949	83249	N	96.8586021943245
dactylopsila_palpator	85949	84406	N	98.2047493280899
dactylopsila_trivirgata	85949	84383	N	98.1779892727082
dasycercus_cristicauda	85949	85576	N	99.5660217105493
dasykaluta_rosamondae	85949	85576	N	99.5660217105493
dasyuridae_sp_jmz_2005	85949	85949	Y	100
dasyuroides_byrnei	85949	85576	N	99.5660217105493
dasyurus_albopunctatus	85949	80672	N	93.8603125109076
