Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
acomys_cahirinus	7366	168	N	2.28074938908499
acomys_chudeaui	7366	6638	N	90.1167526472984
acomys_cilicicus	7366	6606	N	89.6823241922346
acomys_dimidiatus	7366	6606	N	89.6823241922346
acomys_ignitus	7366	6152	N	83.5188704860168
acomys_johannis	7366	6608	N	89.7094759706761
acomys_minous	7366	6606	N	89.6823241922346
acomys_nesiotes	7366	6606	N	89.6823241922346
acomys_ngurui	7366	6606	N	89.6823241922346
acomys_percivali	7366	6606	N	89.6823241922346
acomys_russatus	7366	6608	N	89.7094759706761
acomys_spinosissimus	7366	6606	N	89.6823241922346
acomys_wilsoni	7366	6152	N	83.5188704860168
allactaga_balikunica	7366	6622	N	89.8995384197665
allactaga_bullata	7366	6622	N	89.8995384197665
allactaga_elater	7366	6608	N	89.7094759706761
allactaga_euphratica	7366	6632	N	90.0352973119739
allactaga_firouzi	7366	6770	N	91.9087700244366
allactaga_hotsoni	7366	6768	N	91.8816182459951
allactaga_major	7366	7366	Y	100
allactaga_sibirica	7366	6616	N	89.818083084442
allactaga_toussi	7366	6766	N	91.8544664675536
allactaga_williamsi	7366	6632	N	90.0352973119739
allactodipus_bobrinskii	7366	6622	N	89.8995384197665
allocricetulus_eversmanni	7366	858	N	11.6481129513983
alticola_albicaudus	7366	6606	N	89.6823241922346
alticola_argentatus	7366	6606	N	89.6823241922346
alticola_barakshin	7366	6606	N	89.6823241922346
alticola_lemminus	7366	6606	N	89.6823241922346
alticola_macrotis	7366	6606	N	89.6823241922346
alticola_macrotis_vinogradovi~	7366	6606	N	89.6823241922346
alticola_montosa	7366	6632	N	90.0352973119739
alticola_olchonensis	7366	7366	Y	100
alticola_semicanus	7366	6608	N	89.7094759706761
alticola_strelzowi	7366	6608	N	89.7094759706761
alticola_strelzowi_desertorum	7366	6792	N	92.207439587293
alticola_tuvinicus	7366	7366	Y	100
anomalurus	7366	170	N	2.30790116752647
arvicola_amphibius	7366	6606	N	89.6823241922346
arvicola_sapidus	7366	6608	N	89.7094759706761
arvicola_scherman	7366	6614	N	89.7909313060005
baiomys_musculus	7366	6604	N	89.6551724137931
baiomys_taylori	7366	6610	N	89.7366277491176
beamys_hindei	7366	6606	N	89.6823241922346
blanfordimys_afghanus	7366	6610	N	89.7366277491176
blanfordimys_bucharensis	7366	6606	N	89.6823241922346
brachytarsomys_albicauda	7366	6608	N	89.7094759706761
brachyuromys_betsileoensis	7366	6606	N	89.6823241922346
brachyuromys_ramirohitra	7366	6606	N	89.6823241922346
calomyscus_bailwardi	7366	6604	N	89.6551724137931
calomyscus_baluchi	7366	6604	N	89.6551724137931
calomyscus_hotsoni	7366	6604	N	89.6551724137931
cannomys_badius	7366	7366	Y	100
cardiocranius_paradoxus	7366	6622	N	89.8995384197665
castor_canadensis	7366	700	N	9.50312245452077
castor_fiber	7366	190	N	2.57941895194135
castor_fiber_albicus	7366	6608	N	89.7094759706761
castor_fiber_birulai	7366	6608	N	89.7094759706761
castor_fiber_pohlei	7366	6608	N	89.7094759706761
chaetodipus_arenarius	7366	6142	N	83.3831115938094
chaetodipus_siccus	7366	6156	N	83.5731740428998
chaetodipus_artus	7366	6146	N	83.4374151506924
chaetodipus_baileyi	7366	4412	N	59.8968232419223
chaetodipus_californicus	7366	5120	N	69.5085528102091
chaetodipus_dalquesti	7366	6158	N	83.6003258213413
chaetodipus_eremicus	7366	5114	N	69.4270974748846
chaetodipus_fallax	7366	6142	N	83.3831115938094
chaetodipus_formosus	7366	4470	N	60.6842248167255
chaetodipus_goldmani	7366	6142	N	83.3831115938094
chaetodipus_hispidus	7366	4468	N	60.657073038284
chaetodipus_intermedius	7366	5058	N	68.6668476785229
chaetodipus_nelsoni	7366	6146	N	83.4374151506924
chaetodipus_penicillatus	7366	5056	N	68.6396959000814
chaetodipus_pernix	7366	6146	N	83.4374151506924
chaetodipus_rudinoris	7366	6608	N	89.7094759706761
chaetodipus_spinatus	7366	5110	N	69.3727939180016
chionomys_gud	7366	6606	N	89.6823241922346
chionomys_nivalis	7366	6606	N	89.6823241922346
chionomys_roberti	7366	6606	N	89.6823241922346
cratogeomys_castanops	7366	5122	N	69.5357045886506
cratogeomys_fulvescens	7366	5576	N	75.6991582948683
cratogeomys_fumosus	7366	5576	N	75.6991582948683
cratogeomys_fumosus_angustirostris~	7366	6608	N	89.7094759706761
cratogeomys_fumosus_imparilis~	7366	6608	N	89.7094759706761
cratogeomys_goldmani	7366	5576	N	75.6991582948683
cratogeomys_goldmani_rubellus	7366	6608	N	89.7094759706761
cratogeomys_gymnurus	7366	5584	N	75.8077654086343
cratogeomys_merriami	7366	5578	N	75.7263100733098
cratogeomys_neglectus	7366	5576	N	75.6991582948683
cratogeomys_perotensis	7366	5576	N	75.6991582948683
cratogeomys_planiceps	7366	6608	N	89.7094759706761
cratogeomys_tylorhinus	7366	5584	N	75.8077654086343
cratogeomys_zinseri	7366	5576	N	75.6991582948683
cricetomys_ansorgei	7366	6680	N	90.6869399945696
cricetomys_emini	7366	6606	N	89.6823241922346
cricetomys_gambianus	7366	6608	N	89.7094759706761
cricetulus_barabensis	7366	6606	N	89.6823241922346
cricetulus_griseus	7366	168	N	2.28074938908499
urocricetus_kamensis	7366	168	N	2.28074938908499
