Parsing alignment rod_subt1_mt3cp ... ... 
Length alignment: 3694
Number of taxa: 630
Taxon: acomys_cahirinus | Num gaps: 95 | Missing taxon?: N | % Missing data: 2.57173795343801
Taxon: acomys_chudeaui | Num gaps: 3330 | Missing taxon?: N | % Missing data: 90.1461829994586
Taxon: acomys_cilicicus | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_dimidiatus | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_ignitus | Num gaps: 3087 | Missing taxon?: N | % Missing data: 83.5679480238224
Taxon: acomys_johannis | Num gaps: 3315 | Missing taxon?: N | % Missing data: 89.7401191120736
Taxon: acomys_minous | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_nesiotes | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_ngurui | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_percivali | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_russatus | Num gaps: 3315 | Missing taxon?: N | % Missing data: 89.7401191120736
Taxon: acomys_spinosissimus | Num gaps: 3314 | Missing taxon?: N | % Missing data: 89.713048186248
Taxon: acomys_wilsoni | Num gaps: 3087 | Missing taxon?: N | % Missing data: 83.5679480238224
Taxon: allactaga_balikunica | Num gaps: 3322 | Missing taxon?: N | % Missing data: 89.9296155928533
Taxon: allactaga_bullata | Num gaps: 3322 | Missing taxon?: N | % Missing data: 89.9296155928533
Taxon: allactaga_elater | Num gaps: 3315 | Missing taxon?: N | % Missing data: 89.7401191120736
Taxon: allactaga_euphratica | Num gaps: 3327 | Missing taxon?: N | % Missing data: 90.0649702219816
Taxon: allactaga_firouzi | Num gaps: 3396 | Missing taxon?: N | % Missing data: 91.9328641039524
Taxon: allactaga_hotsoni | Num gaps: 3395 | Missing taxon?: N | % Missing data: 91.9057931781267
Taxon: allactaga_major | Num gaps: 3694 | Missing taxon?: Y | % Missing data: 100
