Parsing alignment rod_subt1_nt3cp ... ... 
Length alignment: 94825
Number of taxa: 630
Taxon: acomys_cahirinus | Num gaps: 92977 | Missing taxon?: N | % Missing data: 98.0511468494595
Taxon: acomys_chudeaui | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_cilicicus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_dimidiatus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_ignitus | Num gaps: 93114 | Missing taxon?: N | % Missing data: 98.195623517005
Taxon: acomys_johannis | Num gaps: 94633 | Missing taxon?: N | % Missing data: 99.7975217505932
Taxon: acomys_minous | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_nesiotes | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_ngurui | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_percivali | Num gaps: 94403 | Missing taxon?: N | % Missing data: 99.5549696809913
Taxon: acomys_russatus | Num gaps: 93111 | Missing taxon?: N | % Missing data: 98.192459794358
Taxon: acomys_spinosissimus | Num gaps: 94414 | Missing taxon?: N | % Missing data: 99.5665699973636
Taxon: acomys_wilsoni | Num gaps: 94402 | Missing taxon?: N | % Missing data: 99.5539151067756
Taxon: allactaga_balikunica | Num gaps: 93656 | Missing taxon?: N | % Missing data: 98.767202741893
Taxon: allactaga_bullata | Num gaps: 93402 | Missing taxon?: N | % Missing data: 98.4993408911152
Taxon: allactaga_elater | Num gaps: 92983 | Missing taxon?: N | % Missing data: 98.0574742947535
Taxon: allactaga_euphratica | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_firouzi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_hotsoni | Num gaps: 94501 | Missing taxon?: N | % Missing data: 99.658317954126
Taxon: allactaga_major | Num gaps: 93426 | Missing taxon?: N | % Missing data: 98.5246506722911
Taxon: allactaga_sibirica | Num gaps: 93278 | Missing taxon?: N | % Missing data: 98.3685736883733
Taxon: allactaga_toussi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_williamsi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: allactodipus_bobrinskii | Num gaps: 93437 | Missing taxon?: N | % Missing data: 98.5362509886633
Taxon: allocricetulus_eversmanni | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_albicaudus | Num gaps: 94472 | Missing taxon?: N | % Missing data: 99.6277353018719
Taxon: alticola_argentatus | Num gaps: 94417 | Missing taxon?: N | % Missing data: 99.5697337200105
Taxon: alticola_barakshin | Num gaps: 94472 | Missing taxon?: N | % Missing data: 99.6277353018719
Taxon: alticola_lemminus | Num gaps: 94415 | Missing taxon?: N | % Missing data: 99.5676245715792
Taxon: alticola_macrotis | Num gaps: 94413 | Missing taxon?: N | % Missing data: 99.5655154231479
Taxon: alticola_macrotis_vinogradovi~ | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_montosa | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_olchonensis | Num gaps: 94412 | Missing taxon?: N | % Missing data: 99.5644608489322
Taxon: alticola_semicanus | Num gaps: 93828 | Missing taxon?: N | % Missing data: 98.9485895069866
