Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
abeomelomys_sevia	206736	205224	N	99.268632458788
abrawayaomys_ruschii	206736	205910	N	99.6004566210046
abrothrix_andinus	206736	203872	N	98.6146583081805
abrothrix_hershkovitzi	206736	206736	Y	100
abrothrix_illuteus	206736	205968	N	99.6285117250987
abrothrix_jelskii	206736	203994	N	98.6736707685164
abrothrix_lanosus	206736	206736	Y	100
abrothrix_longipilis	206736	205896	N	99.5936846993267
abrothrix_longipilis_moerens	206736	203176	N	98.2779970590512
abrothrix_markhami	206736	206736	Y	100
abrothrix_olivaceus	206736	205200	N	99.2570234501974
abrothrix_olivaceus_beatus	206736	206736	Y	100
abrothrix_olivaceus_brachiotis	206736	206736	Y	100
abrothrix_olivaceus_canescens	206736	206736	Y	100
abrothrix_olivaceus_pencanus	206736	206736	Y	100
abrothrix_xanthorhinus	206736	205046	N	99.1825323117406
aegialomys_galapagoensis	206736	205892	N	99.5917498645616
aegialomys_xanthaeolus	206736	204508	N	98.9222970358331
aepeomys_lugens	206736	205978	N	99.6333488120114
aethomys_chrysophilus	206736	205374	N	99.3411887624797
aethomys_kaiseri	206736	206736	Y	100
akodon_aerosus	206736	205988	N	99.6381858989242
akodon_aff_cursor	206736	206736	Y	100
akodon_affinis	206736	206736	Y	100
akodon_albiventer	206736	205996	N	99.6420555684545
akodon_azarae	206736	205898	N	99.5946521167092
akodon_baliolus	206736	203826	N	98.5924077083817
akodon_boliviensis	206736	203708	N	98.5353300828109
akodon_budini	206736	206736	Y	100
akodon_caenosus	206736	205992	N	99.6401207336893
akodon_cursor	206736	204376	N	98.8584474885845
akodon_dayi	206736	206042	N	99.6643061682532
akodon_dolores	206736	205994	N	99.6410881510719
akodon_fumeus	206736	205992	N	99.6401207336893
akodon_glaucinus	206736	205998	N	99.643022985837
akodon_iniscatus	206736	205998	N	99.643022985837
akodon_iniscatus_nucus	206736	206736	Y	100
akodon_juninensis	206736	205994	N	99.6410881510719
akodon_kofordi	206736	203996	N	98.6746381858989
neomicroxus_latebricola	206736	206736	Y	100
akodon_lindberghi	206736	206736	Y	100
akodon_lutescens	206736	206736	Y	100
akodon_lutescens_puer	206736	205998	N	99.643022985837
akodon_mimus	206736	204816	N	99.0712793127467
akodon_molinae	206736	206736	Y	100
akodon_mollis	206736	206736	Y	100
akodon_mollis_altorum	206736	205986	N	99.6372184815417
akodon_montensis	206736	204678	N	99.0045275133504
akodon_mystax	206736	206736	Y	100
akodon_orophilus	206736	205988	N	99.6381858989242
akodon_paranaensis	206736	205894	N	99.5927172819441
akodon_philipmyersi	206736	206736	Y	100
akodon_polopi	206736	205992	N	99.6401207336893
akodon_reigi	206736	206736	Y	100
akodon_serrensis	206736	206048	N	99.6672084204009
akodon_siberiae	206736	206736	Y	100
akodon_simulator	206736	205996	N	99.6420555684545
akodon_spegazzinii	206736	206002	N	99.6449578206021
akodon_subfuscus	206736	206736	Y	100
akodon_sylvanus	206736	206736	Y	100
akodon_tartareus	206736	205992	N	99.6401207336893
akodon_toba	206736	205998	N	99.643022985837
akodon_torques	206736	203130	N	98.2557464592524
akodon_varius	206736	205996	N	99.6420555684545
akodon_viridescens	206736	206736	Y	100
amphinectomys_savamis	206736	205892	N	99.5917498645616
andalgalomys_pearsoni	206736	204360	N	98.850708149524
andalgalomys_pearsoni_dorbignyi	206736	206240	N	99.7600804891262
andalgalomys_roigi	206736	206736	Y	100
andinomys_edax	206736	204182	N	98.7646080024766
anisomys_imitator	206736	205314	N	99.312166241003
apodemus_agrarius	206736	202420	N	97.9123132884452
apodemus_agrarius_coreae	206736	206736	Y	100
apodemus_alpicola	206736	203624	N	98.4946985527436
apodemus_argenteus	206736	205176	N	99.2454144416067
apodemus_chejuensis	206736	206736	Y	100
apodemus_chevrieri	206736	205190	N	99.2521863632846
apodemus_draco	206736	205196	N	99.2550886154322
apodemus_flavicollis	206736	202636	N	98.0167943657612
apodemus_gurkha	206736	205176	N	99.2454144416067
apodemus_hermonensis	206736	205186	N	99.2502515285195
apodemus_ilex	206736	205988	N	99.6381858989242
apodemus_latronum	206736	204676	N	99.0035600959678
apodemus_mystacinus	206736	201136	N	97.2912313288445
apodemus_pallipes	206736	206736	Y	100
apodemus_peninsulae	206736	205192	N	99.2531537806671
apodemus_ponticus	206736	205944	N	99.616902716508
apodemus_semotus	206736	204634	N	98.9832443309341
apodemus_speciosus	206736	202802	N	98.0970900085133
apodemus_sylvaticus	206736	202004	N	97.7110904728736
apodemus_uralensis	206736	205182	N	99.2483166937543
apodemus_wardi	206736	205182	N	99.2483166937543
apomys_abrae	206736	205950	N	99.6198049686557
apomys_camiguinensis	206736	205954	N	99.6217398034208
apomys_datae	206736	204342	N	98.842001393081
apomys_gracilirostris	206736	205948	N	99.6188375512731
apomys_hylocoetes	206736	203104	N	98.2431700332792
apomys_insignis	206736	205156	N	99.2357402677811
apomys_iridensis	206736	206006	N	99.6468926553672
apomys_lubangensis	206736	205948	N	99.6188375512731
apomys_microdon	206736	204594	N	98.963895983283
apomys_musculus	206736	204742	N	99.0354848695921
apomys_sacobianus	206736	205958	N	99.6236746381859
