Parsing alignment rodentia_squirrel_nt12cp ... ... 
Length alignment: 24890
Number of taxa: 267
Taxon: aeretes_melanopterus | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: aeromys_tephromelas | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ammospermophilus_harrisii | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ammospermophilus_insularis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: ammospermophilus_interpres | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: ammospermophilus_leucurus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: aplodontia_rufa | Num gaps: 12984 | Missing taxon?: N | % Missing data: 52.1655283246284
Taxon: aplodontia_rufa_californica | Num gaps: 24398 | Missing taxon?: N | % Missing data: 98.023302531137
Taxon: aplodontia_rufa_humboldtiana | Num gaps: 24444 | Missing taxon?: N | % Missing data: 98.2081157091201
Taxon: aplodontia_rufa_nigra | Num gaps: 24408 | Missing taxon?: N | % Missing data: 98.0634793089594
Taxon: aplodontia_rufa_olympica | Num gaps: 24392 | Missing taxon?: N | % Missing data: 97.9991964644436
Taxon: aplodontia_rufa_pacifica | Num gaps: 24392 | Missing taxon?: N | % Missing data: 97.9991964644436
Taxon: aplodontia_rufa_phaea | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: atlantoxerus_getulus | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: belomys_pearsonii | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: callosciurus_caniceps | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_erythraeus | Num gaps: 22700 | Missing taxon?: N | % Missing data: 91.2012856568903
Taxon: callosciurus_erythraeus_griseimanus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_finlaysonii~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_inornatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_nigrovittatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_notatus | Num gaps: 23276 | Missing taxon?: N | % Missing data: 93.5154680594616
Taxon: callosciurus_prevostii | Num gaps: 23722 | Missing taxon?: N | % Missing data: 95.3073523503415
Taxon: callospermophilus_lateralis | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: callospermophilus_madrensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: callospermophilus_saturatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_gunnisoni | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_leucurus | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: cynomys_ludovicianus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_mexicanus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_parvidens | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_gularis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_lokriah | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_pernyi | Num gaps: 23592 | Missing taxon?: N | % Missing data: 94.7850542386501
Taxon: dremomys_pernyi_owstoni~ | Num gaps: 23244 | Missing taxon?: N | % Missing data: 93.3869023704299
Taxon: dremomys_pyrrhomerus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_rufigenis | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: dryomys_laniger | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: dryomys_nitedula | Num gaps: 21630 | Missing taxon?: N | % Missing data: 86.9023704298915
Taxon: dryomys_nitedula_tichomirowi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: eliomys_melanurus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: eliomys_quercinus | Num gaps: 21164 | Missing taxon?: N | % Missing data: 85.0301325833668
Taxon: eoglaucomys_fimbriatus | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: epixerus_wilsoni | Num gaps: 24108 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: eupetaurus_cinereus | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: exilisciurus_concinnus | Num gaps: 23310 | Missing taxon?: N | % Missing data: 93.6520691040579
Taxon: exilisciurus_exilis | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: funambulus_layardi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: funambulus_palmarum | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: funambulus_pennantii | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: funambulus_sublineatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: funisciurus~ | Num gaps: 22684 | Missing taxon?: N | % Missing data: 91.1370028123744
Taxon: glaucomys_sabrinus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: glaucomys_sabrinus_griseifrons | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: glaucomys_volans | Num gaps: 19424 | Missing taxon?: N | % Missing data: 78.039373242266
Taxon: glirulus_japonicus | Num gaps: 24098 | Missing taxon?: N | % Missing data: 96.8179991964644
Taxon: glis_glis | Num gaps: 21074 | Missing taxon?: N | % Missing data: 84.668541582965
Taxon: graphiurus_kelleni | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_lorraineus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_microtis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_murinus | Num gaps: 13618 | Missing taxon?: N | % Missing data: 54.7127360385697
Taxon: graphiurus_ocularis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_parvus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_platyops | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: heliosciurus_ruwenzorii | Num gaps: 23314 | Missing taxon?: N | % Missing data: 93.6681398151868
Taxon: heliosciurus_undulatus | Num gaps: 23518 | Missing taxon?: N | % Missing data: 94.4877460827642
Taxon: hylopetes_alboniger | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: hylopetes_lepidus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: hylopetes_nigripes | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: hylopetes_phayrei | Num gaps: 24108 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: hylopetes_spadiceus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: hyosciurus_heinrichi | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ictidomys_mexicanus_mexicanus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: ictidomys_parvidens | Num gaps: 24292 | Missing taxon?: N | % Missing data: 97.5974286862194
Taxon: ictidomys_tridecemlineatus | Num gaps: 1084 | Missing taxon?: N | % Missing data: 4.35516271595018
Taxon: ictidomys_tridecemlineatus_arenicola | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: iomys_horsfieldi~ | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: lariscus_insignis | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: marmota_baibacina | Num gaps: 23490 | Missing taxon?: N | % Missing data: 94.3752511048614
Taxon: marmota_bobak | Num gaps: 23466 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_broweri | Num gaps: 23466 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_caligata | Num gaps: 23466 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_camtschatica | Num gaps: 23466 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_caudata | Num gaps: 23470 | Missing taxon?: N | % Missing data: 94.2948975492166
Taxon: marmota_flaviventris | Num gaps: 23466 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_himalayana | Num gaps: 21744 | Missing taxon?: N | % Missing data: 87.3603856970671
Taxon: marmota_marmota | Num gaps: 23492 | Missing taxon?: N | % Missing data: 94.3832864604259
Taxon: marmota_menzbieri | Num gaps: 23468 | Missing taxon?: N | % Missing data: 94.2868621936521
Taxon: marmota_monax | Num gaps: 14704 | Missing taxon?: N | % Missing data: 59.0759341100844
Taxon: marmota_olympus | Num gaps: 23736 | Missing taxon?: N | % Missing data: 95.3635998392929
Taxon: marmota_sibirica | Num gaps: 23466 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_vancouverensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: menetes_berdmorei | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: microsciurus_alfari~ | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: microsciurus_flaviventer~ | Num gaps: 22684 | Missing taxon?: N | % Missing data: 91.1370028123744
Taxon: muscardinus_avellanarius | Num gaps: 22768 | Missing taxon?: N | % Missing data: 91.4744877460828
Taxon: myomimus_roachi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: myosciurus_pumilio | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: nannosciurus_melanotis | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: notocitellus_adocetus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: notocitellus_annulatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_atricapillus~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi | Num gaps: 23710 | Missing taxon?: N | % Missing data: 95.2591402169546
Taxon: otospermophilus_beecheyi_douglasii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_fisheri | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_nudipes | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_parvulus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_rupinarum | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_sierrae | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_variegatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_variegatus_utah | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: paraxerus_alexandri | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: paraxerus_cepapi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: paraxerus_ochraceus | Num gaps: 23476 | Missing taxon?: N | % Missing data: 94.31900361591
Taxon: paraxerus_vexillarius | Num gaps: 23788 | Missing taxon?: N | % Missing data: 95.5725190839695
Taxon: petaurillus_kinlochii~ | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: petaurista_albiventer | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_alborufus | Num gaps: 23174 | Missing taxon?: N | % Missing data: 93.105664925673
Taxon: petaurista_alborufus_castaneus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_alborufus_lena | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_elegans | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_elegans_caniceps | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_elegans_sybilla | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_hainana | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_leucogenys | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_leucogenys_nikkonis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_petaurista | Num gaps: 23758 | Missing taxon?: N | % Missing data: 95.4519887505022
Taxon: petaurista_petaurista_melanotus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_philippensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_philippensis_grandis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_xanthotis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_yunanensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: petinomys_setosus~ | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: poliocitellus_franklinii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: prosciurillus_murinus | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: protoxerus_stangeri | Num gaps: 22706 | Missing taxon?: N | % Missing data: 91.2253917235838
Taxon: pteromys_momonga | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: pteromys_volans | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: pteromyscus_pulverulentus | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ratufa_affinis | Num gaps: 24110 | Missing taxon?: N | % Missing data: 96.8662113298513
Taxon: ratufa_bicolor | Num gaps: 22758 | Missing taxon?: N | % Missing data: 91.4343109682603
Taxon: rheithrosciurus_macrotis~ | Num gaps: 24108 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: rhinosciurus_laticaudatus | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: rubrisciurus_rubriventer | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurillus_pusillus | Num gaps: 22692 | Missing taxon?: N | % Missing data: 91.1691442346324
Taxon: sciurillus_pusillus_kuhlii | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurotamias_davidianus | Num gaps: 22710 | Missing taxon?: N | % Missing data: 91.2414624347127
Taxon: sciurus_aberti | Num gaps: 24108 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: sciurus_aestuans | Num gaps: 20928 | Missing taxon?: N | % Missing data: 84.0819606267577
Taxon: sciurus_anomalus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_aureogaster | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_carolinensis | Num gaps: 23224 | Missing taxon?: N | % Missing data: 93.3065488147851
Taxon: sciurus_colliaei~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_deppei | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_gilvigularis | Num gaps: 24068 | Missing taxon?: N | % Missing data: 96.6974688629972
Taxon: sciurus_granatensis | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurus_granatensis_hoffmanni | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_griseus | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurus_ignitus | Num gaps: 23016 | Missing taxon?: N | % Missing data: 92.4708718360787
Taxon: sciurus_igniventris | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_lis | Num gaps: 24370 | Missing taxon?: N | % Missing data: 97.9108075532342
Taxon: sciurus_niger | Num gaps: 20928 | Missing taxon?: N | % Missing data: 84.0819606267577
Taxon: sciurus_oculatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_pyrrhinus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_spadiceus | Num gaps: 24074 | Missing taxon?: N | % Missing data: 96.7215749296906
Taxon: sciurus_stramineus | Num gaps: 22900 | Missing taxon?: N | % Missing data: 92.0048212133387
Taxon: sciurus_variegatoides | Num gaps: 24106 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurus_variegatoides_rigidus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_variegatoides_thomasi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_vulgaris | Num gaps: 21610 | Missing taxon?: N | % Missing data: 86.8220168742467
Taxon: spermophilopsis_leptodactylus | Num gaps: 22688 | Missing taxon?: N | % Missing data: 91.1530735235034
Taxon: spermophilus_alashanicus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_citellus | Num gaps: 24396 | Missing taxon?: N | % Missing data: 98.0152671755725
Taxon: urocitellus_elegans_elegans | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_erythrogenys | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_fulvus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
