Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
aeretes_melanopterus	12445	12052	N	96.8421052631579
aeromys_tephromelas	12445	12053	N	96.8501406187224
ammospermophilus_harrisii	12445	12053	N	96.8501406187224
ammospermophilus_insularis	12445	12445	Y	100
ammospermophilus_interpres	12445	12445	Y	100
ammospermophilus_leucurus	12445	12445	Y	100
aplodontia_rufa	12445	6492	N	52.1655283246284
aplodontia_rufa_californica	12445	12199	N	98.023302531137
aplodontia_rufa_humboldtiana	12445	12222	N	98.2081157091201
aplodontia_rufa_nigra	12445	12204	N	98.0634793089594
aplodontia_rufa_olympica	12445	12196	N	97.9991964644436
aplodontia_rufa_pacifica	12445	12196	N	97.9991964644436
aplodontia_rufa_phaea	12445	12445	Y	100
atlantoxerus_getulus	12445	12053	N	96.8501406187224
belomys_pearsonii	12445	12053	N	96.8501406187224
callosciurus_caniceps	12445	12445	Y	100
callosciurus_erythraeus	12445	11350	N	91.2012856568903
callosciurus_erythraeus_griseimanus	12445	12445	Y	100
callosciurus_finlaysonii~	12445	12445	Y	100
callosciurus_inornatus	12445	12445	Y	100
callosciurus_nigrovittatus	12445	12445	Y	100
callosciurus_notatus	12445	11638	N	93.5154680594616
callosciurus_prevostii	12445	11861	N	95.3073523503415
callospermophilus_lateralis	12445	12052	N	96.8421052631579
callospermophilus_madrensis	12445	12445	Y	100
callospermophilus_saturatus	12445	12445	Y	100
cynomys_gunnisoni	12445	12445	Y	100
cynomys_leucurus	12445	12053	N	96.8501406187224
cynomys_ludovicianus	12445	12445	Y	100
cynomys_mexicanus	12445	12445	Y	100
cynomys_parvidens	12445	12445	Y	100
dremomys_gularis	12445	12445	Y	100
dremomys_lokriah	12445	12445	Y	100
dremomys_pernyi	12445	11796	N	94.7850542386501
dremomys_pernyi_owstoni~	12445	11622	N	93.3869023704299
dremomys_pyrrhomerus	12445	12445	Y	100
dremomys_rufigenis	12445	12052	N	96.8421052631579
dryomys_laniger	12445	12445	Y	100
dryomys_nitedula	12445	10815	N	86.9023704298915
dryomys_nitedula_tichomirowi	12445	12445	Y	100
eliomys_melanurus	12445	12445	Y	100
eliomys_quercinus	12445	10582	N	85.0301325833668
eoglaucomys_fimbriatus	12445	12052	N	96.8421052631579
epixerus_wilsoni	12445	12054	N	96.8581759742869
eupetaurus_cinereus	12445	12052	N	96.8421052631579
exilisciurus_concinnus	12445	11655	N	93.6520691040579
