Mean_time	Mean_qlow	Mean_qup	Priors
t_n61_Mammalia	191.614	164.55	237.31	ST(1.642,0.425,12.652,1714.565)
t_n62_Afrotheria	71.037	66.35	78.6	ST(0.653,0.017,0.302,11.274)
t_n63_Aadvark-Afrosoricida	67.199	62.35	74.39	NA
t_n64	65.119	60.28	72.07	0
t_n65_Afrosoricida	60.261	55.4	66.8	NA
t_n66_Chrysochloridae	24.613	19.43	29.62	B(0.036,0.339)
t_n67	19.622	15.03	24.37	0
t_n68	15.316	11.42	19.55	0
t_n69	10.504	6.4	14.82	0
t_n70	5.192	2.29	8.98	0
t_n71	3.848	1.35	7.18	0
t_n72	2.855	0.74	5.81	0
t_n73	1.809	0.18	4.5	0
t_n74	6.827	3.29	11.49	0
t_n75	2.429	0.47	5.43	0
t_n76	13.978	9.68	18.37	0
t_n77	9.335	4.68	14.62	0
t_n78	5.954	2.47	11.11	0
t_n79	2.462	0.16	6.7	0
t_n80	15.986	9.93	22.32	0
t_n81	9.304	3.22	16.44	0
t_n82_Tenrecidae	47.66	41.97	54.02	NA
t_n83	33.072	28.01	38.88	0
t_n84	26.539	21.68	32.24	0
t_n85	24.737	19.94	30.4	0
t_n86	16.085	12.07	21.05	0
t_n87	8.991	5.89	12.99	0
t_n88	6.793	4.35	10.16	0
t_n89	2.904	1.73	4.58	0
t_n90	13.808	9.88	18.33	0
t_n91	10.354	7.09	14.25	0
t_n92	25.098	20.51	30.4	0
t_n93	20.434	15.36	25.98	0
t_n94	12.81	8.29	17.85	0
t_n95	16.14	8.69	24.98	0
t_n96_Macroscelidea	49.968	44.22	55.76	B(0.204,0.56)
t_n97	26.78	21.86	32.14	0
t_n98	22.792	18.37	27.69	0
t_n99	18.393	14.47	22.78	0
t_n100	3.669	2.39	5.27	0
t_n101	12.96	8.7	17.56	0
t_n102	15.062	11.64	19.05	0
t_n103	1.609	0.77	2.94	0
t_n104	23.177	18.67	28.21	0
t_n105	18.346	14.4	22.83	0
t_n106	5.522	3.95	7.61	0
t_n107	15.753	12.17	19.98	0
t_n108	1.889	0.8	3.68	0
t_n109	0.57	0.1	1.48	0
t_n110_Paenungulata	60.635	56.53	66.87	ST(0.55,0.028,1.247,14.653)
t_n111	57.096	52.96	63.04	0
t_n112_Proboscidea	5.804	4.95	7.39	B(0.05333,0.1162)
t_n113	4.523	3.72	5.82	0
t_n114	1.417	0.76	2.32	0
t_n115_Sirenia	34.45	29.5	39.8	B(0.412,0.66)
t_n116_Hyracoidea	13.198	8.94	17.83	B(0.05333,0.339)
t_n117	10.154	6.39	14.54	0
t_n118	70.989	41.41	119.25	0
t_n119	16.202	8.06	29.77	0
