t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run1	2.3589196	0.7900649	0.7482364	0.7241804	0.6709363	0.2977315	0.2447723	0.1961723	0.1484195	0.0891234	0.0709855	0.0574823	0.0445595	0.1149093	0.054016	0.1841295	0.1461575	0.1099907	0.0673729	0.2236111	0.1655995	0.5423554	0.3896904	0.3224116	0.3046413	0.2119257	0.130271	0.1019734	0.0461295	0.1839796	0.1428372	0.3046929	0.26089	0.1776959	0.2507355	0.5587179	0.3217442	0.2772508	0.2284541	0.052482	0.1756858	0.1903479	0.0290525	0.2833048	0.2295986	0.0761251	0.1998731	0.0363389	0.01461	0.6728392	0.6341547	0.0737946	0.0580841	0.0233687	0.3990189	0.1782997	0.1449311	1.1732374	0.2914357
run2	2.3419275	0.7896942	0.7469444	0.7223503	0.6699146	0.298188	0.2454197	0.1965885	0.1489027	0.0905185	0.0720043	0.0586255	0.0449552	0.1158737	0.0546455	0.1848204	0.1471786	0.1124045	0.0664688	0.2243863	0.165049	0.5418205	0.3898816	0.3233069	0.3039971	0.2106457	0.1297772	0.1021591	0.0457703	0.1836146	0.1426919	0.3048705	0.2598975	0.1792355	0.2501357	0.5579799	0.3219664	0.277567	0.229048	0.0528494	0.1759632	0.190478	0.0294945	0.2829262	0.2286412	0.0760764	0.200484	0.036558	0.014787	0.6705658	0.6322769	0.0735546	0.0581246	0.023057	0.3987041	0.1797582	0.145778	1.1680727	0.2932499
run3	2.4161694	0.7838182	0.7428977	0.719838	0.6680188	0.2958584	0.2434778	0.1954821	0.1485145	0.0900237	0.0723267	0.0582314	0.0451678	0.1149245	0.0534376	0.1836318	0.1462314	0.1114266	0.0663146	0.2229474	0.164531	0.5394766	0.3878115	0.3217759	0.3037066	0.210079	0.1292908	0.1004731	0.0453168	0.1829961	0.1418887	0.3047637	0.2598283	0.1780797	0.2498984	0.5579114	0.3222058	0.2774412	0.2279544	0.0526671	0.1761138	0.1910869	0.0294155	0.2826549	0.228521	0.0765398	0.2005518	0.0367547	0.0150457	0.6673709	0.6292247	0.0738951	0.0582902	0.0231811	0.3974717	0.1781961	0.1448995	1.1998957	0.300017
run4	2.3871808	0.7839167	0.7421892	0.7186979	0.6667379	0.295008	0.2429526	0.1956247	0.1482812	0.0896271	0.0722911	0.0584051	0.0454648	0.1142205	0.0539639	0.1839481	0.1463649	0.1118556	0.0669541	0.2226483	0.1631983	0.5396826	0.3885568	0.3222307	0.3035969	0.2098351	0.1294801	0.1008822	0.0454265	0.182493	0.142334	0.3035159	0.2591179	0.1778784	0.2479216	0.5567929	0.3204859	0.2758017	0.2269393	0.0527126	0.1756177	0.1902953	0.0290873	0.2813856	0.2277735	0.075972	0.2002016	0.0367783	0.0148018	0.6674031	0.629237	0.0742301	0.0580278	0.0231349	0.3978284	0.1786961	0.1460595	1.201486	0.2983249
run5	2.3799493	0.7774132	0.7345282	0.7123082	0.6605738	0.2949222	0.2419519	0.1942209	0.1472659	0.0885388	0.0715489	0.057513	0.0445635	0.1141939	0.0544996	0.1827525	0.1457821	0.1103758	0.0670261	0.2223496	0.1634321	0.5351016	0.3846675	0.3196802	0.301288	0.2090408	0.1293274	0.1009743	0.0456026	0.1822861	0.1424269	0.3011686	0.25793	0.1779495	0.2484741	0.5556768	0.3202039	0.2756393	0.2268931	0.0524546	0.1745259	0.1897116	0.0291859	0.2802145	0.2267178	0.0755181	0.1987154	0.0366836	0.0146026	0.6612481	0.6238763	0.0741474	0.0583175	0.0230652	0.3958141	0.1780818	0.1457882	1.2062445	0.3007791
run6	2.3788759	0.7961679	0.7529943	0.7291522	0.6758797	0.2989631	0.2465236	0.1976965	0.1493902	0.0909187	0.0729752	0.0589857	0.0453261	0.115623	0.0546549	0.1859385	0.1473114	0.1114126	0.0674331	0.2248077	0.1654862	0.545801	0.3915942	0.3243516	0.3058457	0.2119596	0.1305444	0.1022289	0.0456823	0.1844839	0.1429515	0.305509	0.2611237	0.1788934	0.252964	0.5596132	0.323752	0.2791694	0.2296216	0.0530294	0.17649	0.1920894	0.0297342	0.2847129	0.2301875	0.0770497	0.2010453	0.0367678	0.0146095	0.6768338	0.637263	0.0740831	0.0583863	0.0233667	0.4008645	0.1802229	0.1462841	1.2023667	0.2975627
run7	2.353216	0.7874603	0.7438347	0.7208527	0.6673527	0.2950329	0.2421444	0.1950509	0.1479561	0.0901046	0.0713214	0.0577603	0.0452602	0.1143165	0.0538796	0.1834201	0.1468967	0.1117446	0.0676856	0.2231707	0.1631441	0.5396742	0.3887333	0.322618	0.3045853	0.2110881	0.1314554	0.1023868	0.0461598	0.1839101	0.1432262	0.3051062	0.2609045	0.1784665	0.2479789	0.5577179	0.3217502	0.2768799	0.2272943	0.0524998	0.1758874	0.1895241	0.0295294	0.2822729	0.2287014	0.0759783	0.1995611	0.0362503	0.0146473	0.6688133	0.6310168	0.0740621	0.0581531	0.0231775	0.3974197	0.1796938	0.1457327	1.197155	0.297898
run8	2.3511366	0.7898467	0.7463871	0.7235218	0.6709959	0.2974265	0.2444648	0.1956008	0.148461	0.0900049	0.0721208	0.0584878	0.0450261	0.1153073	0.0542543	0.1840068	0.1460202	0.1099221	0.0660582	0.2238062	0.1653128	0.5417207	0.389841	0.3229982	0.3038722	0.2109739	0.129787	0.1016034	0.0459648	0.1831122	0.1425952	0.3046957	0.2606589	0.1786451	0.2492474	0.5584275	0.3209047	0.276666	0.2274474	0.0528873	0.1749835	0.1905838	0.029238	0.2818957	0.2283529	0.0761722	0.1997933	0.0367652	0.014832	0.6726381	0.6336036	0.073635	0.0579277	0.0232742	0.3993939	0.1785957	0.1458983	1.1928995	0.2929482
run9	2.3610219	0.784321	0.7415645	0.7183174	0.6665014	0.295037	0.2422823	0.1946624	0.1483996	0.0894908	0.0716644	0.0579983	0.0446201	0.1148944	0.05404	0.1828639	0.1454933	0.1107053	0.0659861	0.2231982	0.1643304	0.5391144	0.3883671	0.3221694	0.3038439	0.2103929	0.1292753	0.1016266	0.0459275	0.1830088	0.1427014	0.3029107	0.2593763	0.1776346	0.249706	0.5576663	0.320358	0.2757352	0.2272261	0.0526373	0.1753505	0.1895021	0.029492	0.2811675	0.2279432	0.0760993	0.1995375	0.0367413	0.0146562	0.6673218	0.6289755	0.0738754	0.0579881	0.0234291	0.3981683	0.1781435	0.1450164	1.1840298	0.2957132
run10	2.3943058	0.7844519	0.7426043	0.719265	0.666227	0.2957925	0.2434899	0.1954706	0.1478438	0.0895066	0.0718691	0.058305	0.0451775	0.1151372	0.0544231	0.1831837	0.1458386	0.1113966	0.0663138	0.2225588	0.1648323	0.5386355	0.387772	0.3217446	0.3027455	0.2101279	0.1298146	0.1015874	0.045804	0.1826971	0.1422242	0.3023191	0.2592354	0.1787286	0.250052	0.557213	0.3223506	0.277785	0.2288671	0.0525431	0.1758589	0.1911536	0.0296869	0.2835858	0.2291526	0.0765856	0.2004526	0.0371559	0.0148636	0.6668083	0.6285964	0.0735213	0.0581585	0.0231907	0.3978167	0.1774298	0.1456889	1.2027167	0.3012783
run11	2.3820201	0.7865362	0.7438451	0.7206965	0.6683982	0.2967055	0.2441886	0.1962528	0.1482764	0.0902521	0.0714401	0.0582925	0.0448319	0.1147973	0.054539	0.1845129	0.1458875	0.1105022	0.0670412	0.2236729	0.1643736	0.5406619	0.389341	0.3227616	0.3044071	0.2106167	0.1307092	0.101353	0.0457295	0.1829852	0.1420978	0.3052452	0.2594744	0.1796889	0.2491625	0.5578806	0.3210497	0.2761744	0.22746	0.0529596	0.1756651	0.1906192	0.0292126	0.2813824	0.227439	0.0760967	0.1995219	0.036931	0.014794	0.6695973	0.6310389	0.0741239	0.0583984	0.0232238	0.3979131	0.1769027	0.1452623	1.1900879	0.3021105
run12	2.3797999	0.7854737	0.7432989	0.7201376	0.6675694	0.2952921	0.242824	0.1945669	0.1479266	0.0891263	0.0713953	0.0580194	0.0451664	0.1140581	0.0540908	0.1825589	0.1455335	0.1111855	0.0671447	0.2231597	0.1649478	0.5401752	0.3885533	0.3227069	0.3046681	0.210502	0.1304501	0.1021302	0.0458285	0.1835539	0.1426398	0.3041588	0.260453	0.1787669	0.2509347	0.5571562	0.3213654	0.2773817	0.2282688	0.0527783	0.1760665	0.1902439	0.0291284	0.2819591	0.2278577	0.0755298	0.1999964	0.0371016	0.0149167	0.6684528	0.6300365	0.073866	0.0579937	0.0230797	0.3976262	0.1785047	0.1455002	1.1939961	0.2968001
run13	2.3575155	0.7816436	0.7403736	0.7174137	0.6653483	0.2949961	0.2426267	0.1945707	0.1474067	0.0893107	0.0719925	0.0583778	0.0451364	0.1142459	0.0536622	0.1833766	0.1462193	0.1103938	0.067506	0.2217088	0.1631368	0.5391747	0.3892208	0.3238326	0.3044224	0.2104668	0.1305305	0.1014541	0.0460026	0.184165	0.1426251	0.3037691	0.2600452	0.1788526	0.2501603	0.556549	0.3197424	0.2756306	0.2262553	0.0524928	0.1749495	0.1899397	0.0296084	0.2809498	0.2276609	0.0757522	0.1988963	0.0368375	0.0149522	0.6645509	0.6265636	0.0732523	0.0577699	0.0230328	0.3972442	0.1766736	0.144477	1.1678911	0.2914106
run14	2.3862663	0.7864733	0.744589	0.7210988	0.6679371	0.2952742	0.2429375	0.1946298	0.1481744	0.0902957	0.0718264	0.0579934	0.0450324	0.1138348	0.0546136	0.1828612	0.1452492	0.1105591	0.0668216	0.2231	0.1650954	0.5410687	0.3894443	0.3232134	0.3044622	0.2099621	0.1295973	0.1014867	0.0456515	0.1839935	0.1427804	0.303906	0.2604034	0.1787538	0.2499882	0.5578643	0.3218428	0.277198	0.228143	0.0529043	0.1762496	0.1913003	0.0291058	0.2827519	0.2285087	0.0762543	0.2001552	0.0368007	0.0148959	0.6689674	0.6311209	0.0741899	0.0584682	0.023344	0.3977954	0.1784228	0.1451715	1.2118526	0.3060869
run15	2.3554201	0.7839303	0.7422425	0.718777	0.6660845	0.297348	0.2440988	0.1960154	0.1486484	0.0900565	0.0722011	0.0579768	0.0444704	0.1160703	0.0543243	0.1840418	0.1465958	0.1110692	0.0681597	0.2237087	0.1651932	0.5395643	0.3883351	0.3215295	0.3031692	0.209362	0.1293284	0.1014586	0.0455443	0.1833935	0.1423741	0.3046753	0.2596954	0.1784239	0.2498941	0.5570369	0.3209021	0.2769901	0.2281074	0.0526428	0.1744856	0.1901954	0.029501	0.2814551	0.2279127	0.0761609	0.1993597	0.0367125	0.0146406	0.6678166	0.6291973	0.0740587	0.0583632	0.02327	0.3985088	0.1783008	0.145672	1.1959001	0.3012541
run16	2.3831816	0.7839075	0.7428645	0.7192487	0.6666334	0.2942343	0.2436203	0.1946319	0.1476344	0.0897023	0.0712653	0.0576168	0.0448427	0.1148449	0.0552336	0.1825903	0.1461286	0.1118882	0.0666199	0.2217796	0.1626	0.5384225	0.3871396	0.3216108	0.3032297	0.2091522	0.1292774	0.1011458	0.0455894	0.1817695	0.1416481	0.3023949	0.2573316	0.177594	0.2484084	0.5566593	0.3201186	0.2757956	0.2268062	0.0527106	0.1752247	0.189911	0.0294847	0.2812264	0.2279329	0.0756255	0.1986989	0.0366068	0.0147456	0.6665773	0.6284124	0.0736035	0.0583205	0.0231601	0.3967165	0.1771283	0.1444533	1.1850282	0.2927014
