Calib;node;Prior
MAMMALIA;432;ST(1.652,0.408,12.652,1714.565)
ARTIODACTYLA;433;ST(0.577,0.007,-0.634,7.509)
ARTIOFABULA;434;ST(0.554,0.008,-0.964,7.343)
CETRUMINANTIA;435;ST(0.507,0.009,-1.513,6.294)
Ruminantia;436;NA
PECORA;437;B(0.173,0.281)
PAN.MOSCHIDAE;439;B(0.2452,0.281)
BOVIDAE;440;ST(0.152,0.022,5.863,624.148)
Aegodontia;441;NA
CAPRINAE;445;B(0.08995,0.12995)
OVIS_ARIES-CAPRA_HIRCUS;446;ST(0.065,0.018,3.225,169.672)
HIPPOTRAGINI-ALCELAPHINI;510;B(0.0648,0.1163)
Hippotraginae;511;NA
ALCELAPHINI;518;B(0.0505,0.0711)
Antilopinae;526;NA
REDUNCINI;560;B(0.05111,0.0708)
Cephalophinae;573;NA
Bovinae;595;NA
BOVINI;597;B(0.102,0.12)
Bovina;598;NA
Bubalina;609;NA
TRAGELAPHINI;615;B(0.0417,0.0717)
Boselaphini;623;NA
CERVIDAE;625;B(0.17235,0.284)
Cervinae;626;NA
Cervini;627;NA
Muntiacini;671;NA
Capreolinae;686;NA
Rangiferini;688;NA
Capreolini;715;NA
Hydropotinae;717;NA
Alceini;718;NA
GIRAFFIDAE;727;B(0.1597,0.173)
Antilocapridae;736;NA
Tragulina;737;NA
WHIPPOMORPHA;741;B(0.3746,0.5)
CETACEA.NEOCETI;742;B(0.3613,0.3746)
ODONTOCETI;743;B(0.2293,0.339)
DELPHINIDA;745;B(0.184,0.256)
Delphinoidea;746;NA
Delphinidae;747;NA
PHOCO.MONO;785;B(0.112,0.184)
Phocoenidae;786;NA
Monodontidae;792;NA
Inioidea;794;NA
Iniidae;795;NA
Zipioidea;798;NA
Platanistoidea;809;NA
PHYSETEROIDEA;810;B(0.1382,0.2903)
Kogiidae;811;NA
MYSTICETI;812;B(0.1597,0.2044)
NEOBALA-BALAENOP;813;B(0.2303,0.339)
BALAENOPTERIDAE;814;B(0.073,0.1382)
Balaenidae;823;NA
HIPPOPOTOAMIDAE;826;B(0.08,0.3746)
SUINA;827;B(0.347,0.554)
Suidae;828;NA
Tayassuidae;844;NA
Tylopoda;846;NA
Lamini;847;NA
Camelini;857;NA

