Mean_time	Mean_qlow	Mean_qup	Priors
t_n660_MAMMALIA	181.752	162.25	219.11	ST(1.642,0.425,12.652,1714.565)
t_n661_LAURASIATHERIA	73.874	71.65	76.27	ST(0.694,0.006,0.431,4.953)
t_n662_SCROTIFERA	70.168	68.56	71.79	ST(0.678,0.006,0.37,4.464)
t_n663	68.599	67.19	69.93	0
t_n664_FEREUNGULATA	66.836	65.64	67.73	ST(0.671,0.005,0.355,4.329)
t_n665_CARNIVORA	50.47	48.21	52.62	ST(0.538,0.027,-2.115,70.375)
t_n666_CANIFORMIA	44.868	42.91	46.82	ST(0.467,0.031,-1.966,117.012)
t_n667_ARCTOIDEA	38.357	36.76	39.92	ST(0.397,0.031,-1.415,427.391)
t_n668	33.257	31.81	34.43	0
t_n669_Mustelidae-Procyonidae	30.375	29.03	31.03	B(0.276,0.309)
t_n670	21.773	19.94	23.42	0
t_n671	18.924	17.15	20.58	0
t_n672	17.789	16.06	19.41	0
t_n673	16.485	14.78	18.11	0
t_n674	15.216	13.6	16.79	0
t_n675	14.437	12.83	15.99	0
t_n676	13.832	12.26	15.39	0
t_n677	13.608	12.02	15.18	0
t_n678	11.663	10.22	13.12	0
t_n679	9.278	8	10.66	0
t_n680	8.674	7.29	10.13	0
t_n681	6.695	5.4	8.06	0
t_n682	5.094	3.75	6.57	0
t_n683	2.567	1.61	3.75	0
t_n684	2.746	1.76	3.91	0
t_n685	0.024	0	0.08	0
t_n686	4.975	3.79	6.28	0
t_n687	2.607	1.68	3.71	0
t_n688	1.047	0.41	1.9	0
t_n689	5.395	3.7	7.25	0
t_n690	5.019	3.41	6.84	0
t_n691	8.837	7	10.82	0
t_n692	7.952	6.16	9.88	0
t_n693	6.764	4.92	8.72	0
t_n694	10.978	9.59	12.39	0
t_n695	9.228	7.98	10.57	0
t_n696	6.926	5.87	8.08	0
t_n697	5.118	4.26	6.07	0
t_n698	2.673	2.09	3.35	0
t_n699	1.705	1.33	2.16	0
t_n700	0.983	0.74	1.28	0
t_n701	0.669	0.5	0.89	0
t_n702	0.607	0.44	0.82	0
t_n703	0.055	0.02	0.11	0
t_n704	3.593	2.92	4.35	0
t_n705	8.527	7.2	9.95	0
t_n706	5.132	3.93	6.45	0
t_n707	6.457	5.33	7.68	0
t_n708	4.38	2.96	5.88	0
t_n709	3.149	1.79	4.75	0
t_n710	4.289	2.76	6.19	0
t_n711	2.004	1.38	2.8	0
t_n712	13.483	11.85	15.09	0
