Calib;node;Prior
MAMMALIA;308;ST(1.642,0.425,12.652,1714.565)
DIDELPHIMORPHIA-AUSTRALIDELPHIA;310;ST(0.562,0.08,0.035,299.837)
MARSUPIALIA;309;B(0.476,1.313)
Australidelphia;311;NA
EOMETATHERIA;312;ST(0.459,0.068,0.025,623.433)
Polyprotodontia;313;NA
PERAMELEMORPHIA;315;B(0.0436,0.238) 
Peramelidae;316;NA
DASYUROMORPHIA;344;B(0.1597,0.3)
Dasyuridae;345;NA
Notoryctemorphia;419;NA
Diprotodontia;420;NA
Phalangerida;421;NA
Macropodiformes;422;NA
MACROPODOIDEA;423;B(0.247,0.3)
Macropodidae;425;NA
Potoridae;475;NA
Petauroidea;485;NA
PETAURIDAE;487;B(0.255,0.3)
Pseudocheiridae;498;NA
Acrobatidae;505;NA
PHALANGERIFORMES;506;B(0.25,0.3)
Phalangeridae;507;NA
Burramyidae;522;NA
VOMBATIFORMES;527;B(0.255,0.3)
Vombatidae;528;NA
DIDELPHIMORPHIA;530;B(0.11608,0.281)
Didelphinae;533;NA
Caluromyinae;605;NA
PAUCITUBERCULATA;608;B(0,0.1597)
