Mean_time	Mean_qlow	Mean_qup	Priors
t_n308_MAMMALIA	174.782	160.37	203.42	ST(1.642,0.425,12.652,1714.565)
t_n309_MARSUPIALIA	48.886	45.34	53.44	B(0.476,1.313)
t_n310_DIDELPHIMORPHIA-AUSTRALIDELPHIA	43.503	40.97	46.51	ST(0.562,0.08,0.035,299.837)
t_n311_Australidelphia	38.605	36.84	40.68	NA
t_n312_EOMETATHERIA	37.462	35.87	39.34	ST(0.459,0.068,0.025,623.433)
t_n313_Polyprotodontia	36.96	35.39	38.82	NA
t_n314	36.187	34.61	37.98	0
t_n315_PERAMELEMORPHIA	23.317	21.49	25.28	B(0.0436,0.238) 
t_n316_Peramelidae	16.176	14.01	18.27	NA
t_n317	9.937	8.11	11.8	0
t_n318	8.077	6.47	9.78	0
t_n319	3.273	2.45	4.27	0
t_n320	1.667	0.77	2.96	0
t_n321	0.688	0.41	1.08	0
t_n322	0.582	0.34	0.92	0
t_n323	0.441	0.17	0.78	0
t_n324	0.267	0.05	0.59	0
t_n325	0.424	0.21	0.7	0
t_n326	1.516	0.61	2.63	0
t_n327	6.504	4.36	8.61	0
t_n328	4.963	2.8	7.21	0
t_n329	5.565	4.04	7.26	0
t_n330	3.612	2.65	4.71	0
t_n331	14.665	12.53	16.77	0
t_n332	10.614	8.82	12.39	0
t_n333	8.577	7.01	10.23	0
t_n334	6.812	5.19	8.58	0
t_n335	6.101	4.63	7.77	0
t_n336	4.949	3.76	6.3	0
t_n337	0.603	0.09	1.49	0
t_n338	3.898	1.9	5.63	0
t_n339	7.019	5.04	9.21	0
t_n340	4.616	3.36	6.07	0
t_n341	1.299	0.8	1.94	0
t_n342	0.691	0.29	1.25	0
t_n343	6.872	5.03	8.94	0
t_n344_DASYUROMORPHIA	25.418	22.57	27.71	B(0.1597,0.3)
t_n345_Dasyuridae	20.197	17.8	22.38	NA
t_n346	16.851	14.72	18.93	0
t_n347	12.241	10.54	13.96	0
t_n348	11.522	9.86	13.17	0
t_n349	10.278	8.72	11.82	0
t_n350	9.625	8.13	11.13	0
t_n351	8.506	7.15	9.91	0
t_n352	4.443	3.36	5.63	0
t_n353	2.148	1.43	3.01	0
t_n354	1.142	0.71	1.71	0
t_n355	8.616	7.19	10.07	0
t_n356	10.593	9	12.18	0
t_n357	8.058	6.53	9.65	0
t_n358	5.926	4.59	7.39	0
t_n359	2.461	1.72	3.36	0
t_n360	1.106	0.69	1.64	0
t_n361	10.725	9.15	12.32	0
t_n362	9.26	7.83	10.72	0
t_n363	7.655	6.36	8.99	0
t_n364	5.984	4.82	7.22	0
t_n365	5.137	4.05	6.3	0
t_n366	4.49	3.49	5.59	0
t_n367	1.684	1.15	2.34	0
t_n368	0.072	0.01	0.19	0
t_n369	6.307	5.1	7.6	0
t_n370	12.146	10.39	13.96	0
t_n371	9.112	7.62	10.7	0
t_n372	7.214	5.95	8.61	0
t_n373	6.426	5.21	7.75	0
t_n374	5.794	4.62	7.08	0
t_n375	4.379	3.41	5.49	0
t_n376	3.928	3.04	4.99	0
t_n377	5.22	3.84	6.76	0
t_n378	11.354	9.67	13.1	0
t_n379	8.645	7.22	10.14	0
t_n380	6.563	5.39	7.85	0
t_n381	4.087	3.22	5.08	0
t_n382	3.101	1.99	4.25	0
t_n383	7.886	6.51	9.37	0
t_n384	7.061	5.69	8.55	0
t_n385	17.393	15.21	19.48	0
t_n386	14.275	12.4	16.15	0
t_n387	13.224	11.44	15.03	0
t_n388	11.702	9.99	13.46	0
t_n389	10.996	9.35	12.7	0
t_n390	7.002	5.58	8.53	0
t_n391	5.735	4.4	7.19	0
t_n392	5.017	3.85	6.33	0
t_n393	4.714	3.55	6.02	0
t_n394	3.665	2.66	4.81	0
t_n395	2.914	1.66	4.22	0
t_n396	1.559	0.87	2.48	0
t_n397	9.629	8.04	11.34	0
t_n398	8.159	6.4	10	0
t_n399	5.763	4.46	7.27	0
t_n400	12.289	10.6	14.02	0
t_n401	11.913	10.24	13.69	0
t_n402	4.886	3.4	6.57	0
t_n403	10.538	8.74	12.39	0
t_n404	9.006	7.36	10.75	0
t_n405	6.853	5.31	8.54	0
t_n406	12.144	10.42	13.92	0
t_n407	8.587	6.94	10.3	0
t_n408	6.254	4.89	7.71	0
t_n409	5.693	4.37	7.13	0
t_n410	3.357	2.18	4.76	0
t_n411	1.552	0.99	2.28	0
t_n412	4.399	2.77	6.16	0
t_n413	2.679	1.34	4.44	0
t_n414	9.575	7.42	11.82	0
t_n415	7.43	5.51	9.55	0
t_n416	6.651	4.86	8.67	0
t_n417	2.514	0.95	4.71	0
t_n418	1.406	0.38	3.04	0
t_n419_Notoryctemorphia	3.623	2	5.97	NA
t_n420_Diprotodontia	33.587	32.46	34.8	NA
t_n421_Phalangerida	31.553	30.67	32.43	NA
t_n422_Macropodiformes	30.999	30.15	31.84	NA
t_n423_MACROPODOIDEA	25.458	24.58	26.68	B(0.247,0.3)
t_n424	19.895	18.33	21.43	0
t_n425_Macropodidae	17.571	15.94	19.18	NA
t_n426	13.209	11.7	14.76	0
t_n427	12.103	10.68	13.55	0
t_n428	11.132	9.76	12.54	0
t_n429	9.47	8.23	10.77	0
t_n430	7.587	6.41	8.84	0
t_n431	7.016	5.95	8.17	0
t_n432	6.389	5.27	7.59	0
t_n433	3.735	2.84	4.74	0
t_n434	3.425	2.58	4.38	0
t_n435	3.139	2.33	4.06	0
t_n436	1.915	1.32	2.63	0
t_n437	0.98	0.61	1.46	0
t_n438	0.8	0.46	1.24	0
t_n439	1.005	0.61	1.54	0
t_n440	1.182	0.72	1.79	0
t_n441	0.336	0.15	0.63	0
t_n442	3.845	2.98	4.83	0
t_n443	3.388	2.61	4.29	0
t_n444	2.563	1.2	3.8	0
t_n445	7.496	6.37	8.68	0
t_n446	5.355	4.17	6.7	0
t_n447	4.717	3.76	5.78	0
