Mean_time	Mean_qlow	Mean_qup	Priors
t_n631_MAMMALIA	173.364	160.04	201.49	ST(1.642,0.425,12.652,1714.565)
t_n632_dipodomys_ordi-MYOMORPHA	53.65	50.79	55.3	ST(0.55,0.006,-0.171,6.759)
t_n633_MYOMORPHA	48.146	46.15	49.98	ST(0.473,0.017,-1.282,13.044)
t_n634	44.695	42.3	46.94	0
t_n635_nannospalax_galili-MURIDAE	39.494	37.16	41.76	ST(0.382,0.022,-0.67,36.812)
t_n636_MURIDAE	27.738	25.24	30.12	ST(0.174,0.035,3.117,381.97)
t_n637	26.163	23.71	28.49	0
t_n638_Pmaniculatus-Mochrogaster	22.182	20	24.25	ST(0.128,0.029,3.532,404.416)
t_n639	21.806	19.63	23.87	0
t_n640	19.514	17.44	21.5	0
t_n641	19.013	16.96	21	0
t_n642	18.352	16.29	20.31	0
t_n643	16.516	14.55	18.4	0
t_n644	14.907	13.01	16.73	0
t_n645	12.558	10.8	14.31	0
t_n646	12.015	10.32	13.7	0
t_n647	11.555	9.93	13.17	0
t_n648	10.893	9.31	12.49	0
t_n649	8.822	7.34	10.35	0
t_n650	8.091	6.7	9.56	0
t_n651	7.543	6.17	8.99	0
t_n652	7.035	5.68	8.5	0
t_n653	5.335	3.89	7.06	0
t_n654	2.124	1.14	3.42	0
t_n655	1.308	0.63	2.29	0
t_n656	0.812	0.33	1.53	0
t_n657	0.184	0.02	0.51	0
t_n658	2.267	1.14	3.76	0
t_n659	0.903	0.3	1.85	0
t_n660	0.388	0.07	0.95	0
t_n661	0.333	0.04	0.89	0
t_n662	5.064	3.79	6.56	0
t_n663	4.516	3.34	5.81	0
t_n664	3.913	2.82	5.12	0
t_n665	1.707	0.87	2.81	0
t_n666	2.088	0.64	4.12	0
t_n667	5.613	4.32	7.2	0
t_n668	5.007	3.77	6.45	0
t_n669	3.791	2.44	5.22	0
t_n670	1.446	0.68	2.54	0
t_n671	0.067	0	0.24	0
t_n672	1.759	0.73	3.21	0
t_n673	0.245	0.02	0.8	0
t_n674	4.064	2.84	5.39	0
t_n675	3.348	2.26	4.59	0
t_n676	2.563	1.49	3.8	0
t_n677	0.219	0.04	0.56	0
t_n678	0.147	0.01	0.42	0
t_n679	2.912	1.52	4.59	0
t_n680	7.826	6.41	9.29	0
t_n681	7.131	5.53	8.76	0
t_n682	6.142	4.8	7.64	0
t_n683	5.151	3.91	6.62	0
t_n684	3.347	2.06	4.88	0
t_n685	2.544	1.52	3.82	0
t_n686	2.4	1.41	3.64	0
t_n687	2.035	1.06	3.26	0
t_n688	1.229	0.51	2.26	0
t_n689	1.643	0.07	3.83	0
t_n690	3.734	2.6	5.02	0
t_n691	3.389	2.25	4.68	0
t_n692	1.47	0.7	2.51	0
t_n693	4.961	3.73	6.31	0
t_n694	3.719	2.52	5.03	0
t_n695	0.096	0	0.38	0
t_n696	4.661	3.4	5.96	0
