Mean_time	Mean_qlow	Mean_qup	Priors
t_n34_Mammalia	204.735	168.62	254.11	ST(1.642,0.425,12.652,1714.565)
t_n35_Xenarthra	63.427	60.52	66.55	ST(0.628,0.019,-0.389,4.88)
t_n36_Cingulata	43.184	40.11	46.44	B(0.3485,0.595)
t_n37_Chlamyphoridae	33.727	31.22	36.51	B(0.335,0.595)
t_n38	30.549	27.99	33.35	0
t_n39	25.041	22.51	27.73	0
t_n40	22.813	20.34	25.45	0
t_n41	11.486	9.41	13.74	0
t_n42	9	7.23	10.97	0
t_n43	1.705	1.21	2.32	0
t_n44	16.026	13.64	18.57	0
t_n45	19.117	16.33	22.01	0
t_n46	8.948	6.97	11.19	0
t_n47	7.616	5.89	9.59	0
t_n48	6.415	4.91	8.17	0
t_n49_Dasypodidae	14.229	11.24	17.56	NA
t_n50	5.562	4.15	7.27	0
t_n51	5.204	3.89	6.8	0
t_n52	4.397	3.24	5.82	0
t_n53	0.955	0.64	1.37	0
t_n54	0.035	0.01	0.07	0
t_n55_Pilosa	55.063	51.97	57.39	B(0.3117,0.56)
t_n56_Folivora	28.599	24.23	33.03	B(0.1597,0.56)
t_n57	19.561	15.92	23.44	0
t_n58	9.134	6.94	11.66	0
t_n59	0.132	0.01	0.39	0
t_n60	9.301	6.79	12.27	0
t_n61_Vermilingua	37.597	33.29	41.41	B(0.1736,0.56)
t_n62	14.168	11.17	17.48	0
t_n63	1.694	1.15	2.41	0
t_n64	73.31	44.47	114.38	0
t_n65	15.746	9.08	25.68	0
