t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run1	2.04939072278386	0.634102133063347	0.43186246300685	0.33729110900455	0.305497948347583	0.25040022299385	0.228108520283986	0.114787288575571	0.0899181746662667	0.0170212745262737	0.160183243082846	0.191201704764762	0.0894460324733763	0.0761064156942153	0.064099099580021	0.1421599640018	0.055510204259787	0.0519334275036248	0.0439045194840258	0.00953082553872306	0.00034925604219789	0.550550246967652	0.285908880535973	0.195483829343533	0.0911942818259087	0.00131500667466627	0.0929389976501175	0.375953919524024	0.141592288260587	0.0169276794110294	0.733215134293285	0.157752450552472
run2	2.04894595147743	0.634356403749813	0.432034572826359	0.337335452322384	0.305573695765212	0.250425900469976	0.2281431320084	0.11485708780561	0.0899555638118094	0.0170511316434178	0.160336364096795	0.191192607629619	0.089563390460477	0.0762141569621519	0.0642115861856907	0.142742967811609	0.0558508553872306	0.0522683229538523	0.0441498438628069	0.00957873616319184	0.000353661446927654	0.550791303104845	0.28611676919654	0.195716296335183	0.0914581517524124	0.00132754877756112	0.0931691879906005	0.376419963011849	0.142097678786061	0.0170099614169292	0.734378238743063	0.15798344059297
run3	2.04866597263637	0.63429000260487	0.431886751572421	0.337330731838408	0.305556938733063	0.250422921648918	0.228113136083196	0.11489454339283	0.0900401463776811	0.0170699087695615	0.160264864096795	0.191038049052547	0.0894714625468727	0.0761628059747013	0.0641638228488576	0.142106201099945	0.0555780728163592	0.0519908478426079	0.0439445375981201	0.00956124632768362	0.000351892950352482	0.550443362111894	0.285809795095245	0.195541878556072	0.091291087520624	0.00131355673716314	0.0929940236688166	0.375504960231988	0.141469280050997	0.0168961001049947	0.734831884665767	0.157813046892655
run4	2.04632014617769	0.634380360136993	0.431900969716514	0.337334439828009	0.305450539078046	0.250349818949053	0.228091083080846	0.114891336768162	0.09003720959952	0.017075294940253	0.160257062366882	0.191143843422829	0.0895010313534323	0.0762172343032848	0.064227685580721	0.142343258517074	0.055648012679366	0.0520751676166192	0.0439814247187641	0.0095567182140893	0.000351699445027749	0.550615764716764	0.285960166576671	0.195572711909405	0.0913590220338983	0.00131967984100795	0.0930188468676566	0.375708915989201	0.141542294555272	0.0169169887255637	0.733886390900455	0.157587317474126
run5	2.0442736659567	0.634230712054397	0.431911359217039	0.337288099230038	0.305504879926004	0.250423633553322	0.228128023643818	0.114843311179441	0.089991795560222	0.017048995380231	0.160334714939253	0.191083664846758	0.0895404437878106	0.0762152136693165	0.0642077978351082	0.1424611079996	0.0557130143842808	0.0521252423928804	0.0440684502724864	0.00957295679216039	0.000351052602369881	0.550714582515874	0.286267405129744	0.195823667041648	0.091491006139693	0.00131605082745863	0.0931271967851607	0.376116589525524	0.141846726703665	0.0169705270486476	0.732308807184641	0.157425412309385
run6	2.04693279088546	0.63433112620869	0.431913659882006	0.337282098815059	0.305478246627669	0.250337329663517	0.228116897615119	0.114812877016149	0.0899611140542973	0.0170373054547273	0.16023719440528	0.191165275516224	0.0894712534523274	0.0761604547522624	0.0641375800459977	0.142417104709765	0.0556562837058147	0.0520639577771111	0.043981789640518	0.00954299586020699	0.000351508349582521	0.550656689510524	0.286214624698765	0.195756369496525	0.0914301677266137	0.00130460203489826	0.0930899449827509	0.375986245132743	0.141739710414479	0.0169356522323884	0.732715263331833	0.157337082905855
run7	2.04617993079846	0.634166315674216	0.431521330823459	0.337162890950452	0.30539007360632	0.250342966811659	0.228046923958802	0.114877364456777	0.0900177781710914	0.0170335270736463	0.160192885650717	0.191024612704365	0.0894391325883706	0.0761489664366782	0.0641582914554272	0.14219401299435	0.0555973803509825	0.0520105891905405	0.0439389455327234	0.00955206928153592	0.000349233298335083	0.550509999945003	0.2859722179941	0.195649215554222	0.0913122111494425	0.00131195413229339	0.0929521030548473	0.37590769861007	0.141555820238988	0.0169696329333533	0.733332435728214	0.157389054227289
run8	2.04452490660467	0.634424831828409	0.431875646297685	0.337362963371831	0.305611701564922	0.250531209564522	0.228244342502875	0.114954376676166	0.0900612716664167	0.0170602685165742	0.160349061316934	0.191453815389231	0.0895598214539273	0.0762217187690615	0.064195907739613	0.142385727463627	0.0556449785810709	0.0520523328883556	0.0439591380880956	0.00954114080295985	0.000352485210739463	0.550828882640868	0.28611857119644	0.195566595715214	0.0913457553022349	0.00131355348232588	0.0931933745812709	0.376130532123394	0.141784883850807	0.0169536628868557	0.730658980105995	0.15720187499125
run9	2.04965064243288	0.634005028243588	0.431668290925454	0.337153679226039	0.305421433483326	0.250378770956452	0.228091877071146	0.114885784925754	0.0900117613469327	0.0170484123543823	0.160211850292485	0.191283349752512	0.0895084212139393	0.0761942825508725	0.0641630847907605	0.142136390125494	0.0555867045147743	0.0520237294885256	0.0439474339033048	0.00954920409479526	0.000350487665616719	0.550519151567422	0.285919805954702	0.195651023128844	0.0913582420728964	0.00131501403429829	0.0929510423178841	0.376007032913354	0.14155215920704	0.0169135265386731	0.733987523888806	0.157272894085296
run10	2.04863216065697	0.634315580545973	0.431985380625969	0.337341124168792	0.305544167091645	0.250484570426479	0.228214677081146	0.114873990220489	0.0900307310234488	0.0170389614469277	0.160275559572021	0.191160932748363	0.0893532246087696	0.076055504739763	0.0640699805109745	0.142328638348083	0.0556494746712664	0.0520780457877106	0.0440094759112044	0.00956332718364082	0.000351063666816659	0.550658017694115	0.285755721983901	0.195402066096695	0.0912532145942703	0.0013271201439928	0.0929576766011699	0.375868971066447	0.141606182580871	0.0169414788160592	0.731978231613419	0.157441660421979
run11	2.04824455782711	0.634329780055997	0.431705844342783	0.337101928018599	0.305366255727214	0.25034476100695	0.228098318319084	0.114813336108195	0.0900189247587621	0.0170601766361682	0.160206294520274	0.191092047257637	0.0893468536523174	0.0760843239388031	0.0640763645017749	0.142012170481476	0.055471086340683	0.0518828934903255	0.043840794960252	0.00950716945652717	0.000348486520673966	0.550616615314234	0.285933362011899	0.195471635028249	0.0912753418079096	0.00132328551572421	0.0928819531673416	0.37590686339683	0.141594156487176	0.0169229393430329	0.732942779171041	0.157197574986251
run12	2.04643818627069	0.634272471746413	0.431791785635718	0.337275781715914	0.305468478351082	0.250452446317684	0.228165103869807	0.114867503509825	0.089970195580221	0.0170245290035498	0.160286683535823	0.19117113039348	0.0895244279136043	0.0761663835258237	0.0641483208689566	0.142158217694115	0.0555455520273986	0.0519797568971551	0.0439300581170941	0.00953187601119944	0.000351105074746263	0.550698336283186	0.28595675019749	0.195639554962252	0.0912816245837708	0.0013256598520074	0.0928569221688916	0.376154153642318	0.141829900744963	0.0169763444527774	0.732985031823409	0.157164579506025
