t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run1	1.6883571	0.6048201	0.4013476	0.3117272	0.2798655	0.2251639	0.2036752	0.0940752	0.0721338	0.0121392	0.1365913	0.163196	0.0697266	0.0589153	0.0491214	0.1126346	0.0415867	0.038867	0.0323427	0.0064305	0.000128	0.5195628	0.2419006	0.1592824	0.0693478	0.000104	0.0677284	0.3333537	0.1116411	0.0115317	0.4436274	0.0904079
run2	1.6877675	0.6053373	0.40127	0.3121518	0.2798324	0.2250206	0.203217	0.0940428	0.072336	0.0121543	0.1364844	0.1632752	0.0698839	0.0592391	0.0494644	0.1127323	0.0416892	0.0390635	0.0325256	0.0064783	0.0001309	0.5197964	0.2423802	0.1590922	0.0695251	0.0000964000000000001	0.0682917	0.3344676	0.1119008	0.0115264	0.445142	0.0907826
run3	1.6873111	0.6050575	0.4010103	0.3121657	0.2797969	0.2250352	0.2034058	0.0943961	0.072442	0.0121539	0.1363036	0.163325	0.0700032	0.059156	0.0492201	0.1122343	0.04154	0.0388684	0.0323497	0.0064108	0.0001303	0.5193842	0.2424522	0.1590377	0.0694928	0.0000943000000000001	0.0675626	0.3324851	0.1112074	0.0114394	0.4445428	0.0911762
run4	1.6837508	0.6053487	0.4014248	0.3128663	0.2802042	0.2255641	0.2037103	0.0939925	0.0721441	0.0121625	0.1361974	0.1636485	0.0697753	0.0588909	0.0491409	0.1125562	0.0417189	0.0391335	0.0324469	0.0064441	0.0001291	0.5197901	0.2420954	0.1591021	0.0692676	0.0001014	0.0679709	0.3322373	0.1115648	0.0115213	0.4466923	0.0906764
run5	1.6861594	0.6055201	0.401777	0.3123394	0.2794486	0.2248667	0.2031647	0.0940398	0.0723219	0.0121232	0.1365571	0.1630357	0.0695448	0.0587186	0.0492134	0.1126174	0.0417423	0.0390577	0.0325918	0.0065179	0.0001298	0.5201889	0.2421883	0.158958	0.0694288	0.0000986000000000001	0.0678158	0.333106	0.1120153	0.011488	0.4431419	0.0915182
run6	1.6868869	0.6052089	0.4009877	0.3123274	0.2798549	0.2251712	0.203504	0.0944416	0.0725002	0.0121824	0.1364672	0.1628557	0.0695671	0.0588702	0.0490274	0.1124816	0.0415092	0.038894	0.032333	0.0064144	0.0001303	0.5195904	0.2426762	0.1595048	0.0693601	0.0000897000000000002	0.0679872	0.3323478	0.1117246	0.0114892	0.4470319	0.0906786
run7	1.6838219	0.6047173	0.400473	0.312073	0.2795013	0.2248597	0.2030087	0.0939404	0.0723396	0.0120727	0.1359605	0.1628124	0.0695447	0.0590049	0.049067	0.1124248	0.0414891	0.0388938	0.0323186	0.0064526	0.0001309	0.5198119	0.2417474	0.158846	0.0690124	0.0000962000000000001	0.0679945	0.3334742	0.1117345	0.0115058	0.4463267	0.0911369
run8	1.6817426	0.6052137	0.400706	0.3122952	0.2804251	0.2255249	0.2036035	0.0940638	0.0721392	0.0121107	0.136349	0.1637197	0.0697735	0.0588875	0.0491019	0.1123442	0.0414237	0.0388523	0.0322793	0.0064059	0.0001312	0.5198882	0.2424495	0.1598003	0.0693498	0.0000964	0.0681442	0.3326251	0.1119129	0.0115057	0.4445113	0.0907873
run9	1.6872638	0.6049857	0.4009396	0.3116685	0.2799414	0.225085	0.2031473	0.0942315	0.0724802	0.0121873	0.1365929	0.1637586	0.0696288	0.0589084	0.0490367	0.1119235	0.0414928	0.0387705	0.0323021	0.006426	0.0001305	0.5196621	0.2428055	0.1595828	0.0694716	0.0000948000000000001	0.0680594	0.3331642	0.1120318	0.0114766	0.4453755	0.0908929
run10	1.6901225	0.6051761	0.4013184	0.3124542	0.2799369	0.2248338	0.2033478	0.094276	0.0725114	0.0121452	0.1369247	0.1630676	0.0692334	0.0585633	0.0488815	0.1123575	0.04148	0.0389738	0.0323862	0.0064383	0.0001295	0.5200509	0.2414068	0.1589121	0.0694519	0.0001032	0.0679802	0.3320228	0.1115236	0.0115027	0.443314	0.0911422
run11	1.6853091	0.6052362	0.4005877	0.311911	0.2798643	0.2250833	0.2032147	0.093939	0.0722581	0.0122113	0.1359074	0.163369	0.0695969	0.0587874	0.0490642	0.1118879	0.0413085	0.0386895	0.0322228	0.0064064	0.0001289	0.5193739	0.2423732	0.1589698	0.0693519	0.0001039	0.0676897	0.3330726	0.1116575	0.011448	0.4440495	0.0904392
run12	1.6867118	0.6052001	0.4010189	0.3123109	0.2802503	0.2252745	0.2037131	0.0941891	0.072133	0.0121109	0.1366058	0.1631676	0.0696449	0.0587575	0.0489075	0.1123061	0.0414155	0.0388677	0.0323018	0.0064207	0.0001309	0.5198076	0.242882	0.159265	0.0697951	0.0000976000000000001	0.0679445	0.3325075	0.1117729	0.0115135	0.4439935	0.0907447
