t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run1	1.91324583351332	0.707928624958752	0.669535447707615	0.648870575016249	0.600193562826859	0.244613171756412	0.195099100644968	0.152336820533973	0.104334724588771	0.0506402779011049	0.0374603167441628	0.0277007135843208	0.017650601059947	0.06801028500075	0.02393221479926	0.139199188320584	0.0931179595420229	0.0593146811959402	0.0241224092245388	0.159182198820059	0.0931468878256087	0.474974963426829	0.330085290825459	0.26505608839058	0.247086052722364	0.160923742307885	0.090143882360882	0.0681999118844058	0.029153516959152	0.13812474100295	0.103662029448528	0.250837096785161	0.204271493355332	0.128332690705465	0.161231963836808	0.498184910444478	0.267481120183991	0.227622927358632	0.183608626013699	0.0364392091545423	0.129335410929454	0.150492900904955	0.015973909259537	0.231570276121194	0.183434406189691	0.0551201909154542	0.157442338063097	0.0189372837308135	0.00573228879056047	0.603509414244288	0.56774837980601	0.0542572055747213	0.0423166857307135	0.0132536248887556	0.340457021503925	0.131702566706665	0.101280683275836	0.706516956642168	0.160301942712864
run2	1.92107688542073	0.707065450902455	0.668913596550172	0.648188946347683	0.599629131968402	0.243483968456577	0.194034356017199	0.151569753947303	0.103949523588821	0.0505311263336833	0.0372668982750862	0.0275940890555472	0.0174738518674066	0.0677200606219689	0.0240904586170691	0.13840388379581	0.0927556454777261	0.059228901779911	0.0242424517674116	0.158247603564822	0.0920713246587671	0.474490238578071	0.330044428103595	0.265338692635368	0.247407896970152	0.161096270926454	0.0901920373131343	0.0682111552822359	0.0290763972751362	0.138218764466777	0.103788802934853	0.25088927620119	0.204111726938653	0.12828895519724	0.160420357327134	0.498052298960052	0.267522280470976	0.227749469911504	0.183730462431878	0.0364806520073996	0.129478702504875	0.150707473216339	0.0159437671566422	0.231551877451127	0.18338484180291	0.0551993903304835	0.157518952562372	0.0188548390030498	0.00564093745312734	0.602592850907455	0.566941189320534	0.0543922352682366	0.0424476450127494	0.01324329380031	0.339806710109495	0.131281880720964	0.100963361491925	0.71191556919654	0.162132196145193
run3	1.90531882961852	0.707168017494125	0.66885337279136	0.648121625623719	0.599622861691915	0.244275283920804	0.194783529828509	0.152106198380081	0.104054079786011	0.0506560685365732	0.0374689108944553	0.0277328601919904	0.0176098224738763	0.0675890940902955	0.0238516458927054	0.138867191775411	0.0930733320933953	0.059206398300085	0.0242073051247438	0.158548579991	0.0923096242737863	0.474465619539023	0.32959728499575	0.264712130953452	0.246949899750012	0.16069115740213	0.0898797813059347	0.0679940868456577	0.0290864621418929	0.137740758242088	0.103322259292035	0.250244492710364	0.203693913354332	0.12772448779561	0.160668006179691	0.497885727523624	0.267716080550972	0.227961945917704	0.183823055252237	0.0364988693465327	0.129411736638168	0.150658034143293	0.0159377975101245	0.231819690920454	0.183574453662317	0.0553431619269037	0.157571289840508	0.018756400119994	0.00565930329983501	0.602801778176091	0.567070996845158	0.0542837559572021	0.0423453021548923	0.0132790703164842	0.339774002544873	0.13153021899405	0.10112657059647	0.711861207814609	0.161570083300835
run4	1.91438629527024	0.706779122973851	0.668583340502975	0.647870665171741	0.599399253272336	0.243851044987751	0.194587113119344	0.151881986910654	0.104079075086246	0.0506486485675716	0.0375151717964102	0.0278940304034798	0.0176358749962502	0.0679741152042398	0.0241774243237838	0.138608741977901	0.0926539534573271	0.0589674281085946	0.0242464179091045	0.158434110589471	0.0924019666416679	0.474405994085296	0.329829736093195	0.265028252252387	0.247075935963202	0.16068465540723	0.0898304474826259	0.0679885692815359	0.0290081287185641	0.137702673026349	0.103303119224039	0.25065288239588	0.204105196515174	0.127930146372681	0.160894121703915	0.497775012109395	0.268155991435428	0.228245793320334	0.184122417759112	0.036566683840808	0.129546605154742	0.150845550112494	0.0160135539073046	0.232122759747013	0.183858728183591	0.0553770790910454	0.157798098695065	0.0188263473276336	0.0057103191640418	0.602554433043348	0.566810557937103	0.05439380039998	0.0424703490475476	0.0133076421828909	0.339655121558922	0.130934414574271	0.100824280430978	0.708710443927804	0.161016720773961
run5	1.9114918180841	0.70800769360532	0.669703080865957	0.648916362901855	0.600280344282786	0.243868526643668	0.194484571851407	0.151766415384231	0.104053162456877	0.0507357824858757	0.0373699074846258	0.0278302150692465	0.0175351850657467	0.0677752049347533	0.0239378306834658	0.138626711024449	0.0926743688865557	0.0590770771111444	0.0242801137843108	0.158384814429279	0.0921479227088646	0.474709582620869	0.329885025903705	0.264940140187991	0.246864684630768	0.160837105289736	0.090171482780861	0.0681990697715114	0.0291402629518524	0.137798697125144	0.103192384385781	0.25076225620719	0.203958681545923	0.127793153087346	0.161301593440328	0.498118638628069	0.267653684180791	0.227781542702865	0.183752174731263	0.0365410958252087	0.129407110494475	0.150593263981801	0.0160064862156892	0.231689587425629	0.183474075336233	0.0552646034498275	0.157524730778461	0.0188773998550072	0.00571827039648018	0.60346650279986	0.567750633918304	0.0544205126943653	0.0424564351282436	0.0132908833058347	0.340414473371331	0.1311011440028	0.100869094260287	0.705340837438128	0.160106488150592
run6	1.92207334979751	0.707975073926304	0.669634041422929	0.648848882380881	0.600174743937803	0.243904650987451	0.194514204269787	0.151841065371731	0.103891711774411	0.050672283060847	0.0374171452427379	0.0277717395330233	0.0176167711364432	0.0677212008749563	0.0240631379081046	0.138603933118344	0.092860302479876	0.0592282388530573	0.0241048186140693	0.158441790135493	0.0926051150442478	0.474524068221589	0.329560725618719	0.264565030578471	0.246569656037198	0.160550636918154	0.0898347669516524	0.0680103547272636	0.0290410963301835	0.137716908214589	0.103083102544873	0.250510546742663	0.204178466736663	0.127764347557622	0.160771646962652	0.498409366286686	0.26791415519724	0.228109571966402	0.184026298455077	0.0365852093045348	0.129476086625669	0.150857855702215	0.0159899384530773	0.232009204869757	0.183643501239938	0.0553146205839708	0.157686104269787	0.0189366633868307	0.00572619596520174	0.603635776046198	0.567943380865957	0.0543446298885056	0.0424186030848458	0.0132379447427629	0.340682664516774	0.131385444472776	0.101036392830358	0.71175825239738	0.162296960546973
run7	1.90720704457777	0.708145804964752	0.669688299355032	0.648928056612169	0.600362357977101	0.244650581815909	0.195045359257037	0.152215766256687	0.104368857362132	0.0506514283385831	0.0373563649967502	0.0276730760911954	0.0175771219139043	0.067765595660217	0.0239081902154892	0.138900323283836	0.0929164655367232	0.059161806019699	0.0242797392880356	0.158854702219889	0.0926240085545723	0.474810346277686	0.330005787125644	0.265041361361932	0.247116832513374	0.160893290170491	0.0900312693065347	0.0682423202139893	0.0291939630268487	0.138024127263637	0.103536985145743	0.250698745427729	0.204074886380681	0.128125179236038	0.160946405239738	0.497941560821959	0.267037694325284	0.227242912089396	0.183375540367982	0.0364116784360782	0.129075161081946	0.150238105319734	0.0159218404379781	0.231196582090895	0.183061267421629	0.0549981041697915	0.157306911494425	0.0188415400129993	0.00570587675116244	0.603734300769961	0.567982810449478	0.0543365773711314	0.042395813039348	0.0132754800259987	0.340659309894505	0.131946898290085	0.101488964241788	0.706302033888306	0.160497988860557
run8	1.91553960116494	0.708902925118744	0.670467387290635	0.649682058112094	0.601027145252737	0.245014566376681	0.195341364516774	0.152550422763862	0.104526242497875	0.0508774723263837	0.037629210539473	0.0277955586370681	0.0176830781810909	0.068070680860957	0.0241634949652517	0.139189293680316	0.0931409424078796	0.0593620488175591	0.0242349403229839	0.159502948902555	0.0929318363931803	0.475351469386531	0.330110316704165	0.265028737443128	0.247016395615219	0.16095494739763	0.0901828556972151	0.0682285343882806	0.0291477566021699	0.137970518444078	0.103458458977051	0.250823219879006	0.204274646217689	0.127924639428029	0.160953654522274	0.498472174896255	0.267376546627669	0.227531996860157	0.183588992555372	0.0364930784610769	0.129040071466427	0.150427828788561	0.0159296904904755	0.231512476611169	0.183317647677616	0.055154295220239	0.157448437093145	0.0188117630068497	0.00563495167241638	0.604243813014349	0.568441974276286	0.0544607394580271	0.0424983725813709	0.0132415104644768	0.340784108534573	0.131064861561922	0.100818256122194	0.708611564676766	0.161156623018849
run9	1.92742296449178	0.708671688020599	0.670288663081846	0.649523885105745	0.600964241482926	0.24506291779911	0.195432240212989	0.152731854227289	0.104223199015049	0.0508496748962552	0.0374750451027449	0.0278099415329234	0.0176491768511574	0.0679536121843908	0.0241175836758162	0.139616632668367	0.0936894314634268	0.0594030271436428	0.0242943071096445	0.159312987745613	0.0927107316284186	0.475683464916754	0.330246020693965	0.265116360621969	0.247265905699715	0.160662963766812	0.0900088734663267	0.0681417620468977	0.0291390005549723	0.137814458912054	0.103428550637468	0.250825646097695	0.204219583670816	0.128001787015649	0.160693606074696	0.498572797330133	0.267819802974851	0.227967648532573	0.183858708579571	0.0365204113544323	0.129285457102145	0.1506204499925	0.0159174135843208	0.231890891775411	0.18353710560972	0.0552291280435978	0.157766051907405	0.0186531819509025	0.00564875747212639	0.603997189650518	0.568233316824159	0.0543148206439678	0.0423866421428929	0.0131946959052047	0.340730316899155	0.131466345157742	0.101070132678366	0.718858431823409	0.163312912289386
run10	1.92433631093945	0.709173488565572	0.670852053927304	0.650079067561622	0.601466162931853	0.244922278356082	0.195351938223089	0.152522030853457	0.104239669496525	0.050552902659867	0.037338186920654	0.0276835141892905	0.0175032175291235	0.0678472906654667	0.0239580084645768	0.139159112299385	0.0933778643567822	0.0594765283085846	0.0243347903304835	0.159260663711814	0.092845803159842	0.476099869961502	0.331075350112494	0.26599589380031	0.247904237503125	0.16132233239838	0.0903190181740913	0.0683561112844358	0.0292209379781011	0.138467460061997	0.103935777881106	0.251598036378181	0.204806548277586	0.128575197525124	0.161468323528824	0.499102202469877	0.268075550172491	0.228129702744863	0.184101608284586	0.0365523814159292	0.129606309384531	0.15069918159092	0.0160588716314184	0.232171535813209	0.183825304339783	0.0553352139493025	0.157756795155242	0.0190188822708865	0.0057615618219089	0.604428222278886	0.568634215779211	0.0543988786860657	0.0424598886755662	0.0132647342932853	0.340986551532423	0.131657750147493	0.101244315069247	0.714213657172141	0.162077812554372
