t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run1	1.6441438	0.6622309	0.6218039	0.6012859	0.5520338	0.1935621	0.1504686	0.1141037	0.0634783	0.0222887	0.0128686	0.0070294	0.0017635	0.0325263	0.0045796	0.0963099	0.0461751	0.0245154	0.0015751	0.0987065	0.031759	0.4187347	0.2804335	0.2168056	0.1990657	0.1211338	0.0594571	0.0435861	0.0173467	0.099434	0.0713631	0.2049424	0.1535661	0.0830951	0.0864432	0.4407821	0.2176087	0.182964	0.1439205	0.0239572	0.0865785	0.1159614	0.0076964	0.1856134	0.1433095	0.0391972	0.1212189	0.0079423	0.0010799	0.5634057	0.5269404	0.0408272	0.03151	0.0069872	0.2912137	0.0895388	0.0644235	0.4087362	0.0793883
run2	1.6466647	0.6625156	0.6225785	0.6017167	0.5523823	0.1916899	0.1476402	0.1121675	0.0632174	0.0219845	0.0130371	0.0073466	0.0017986	0.0320678	0.0045142	0.0956356	0.0458298	0.0247555	0.0015625	0.0985114	0.0319354	0.4187509	0.2804493	0.2168393	0.1996875	0.1206787	0.0593053	0.043674	0.0172971	0.0991742	0.0716529	0.2050837	0.1537766	0.0833877	0.0867179	0.4418714	0.2187998	0.1835407	0.1450104	0.0240417	0.0873296	0.116657	0.0076466	0.1865627	0.1441512	0.0394743	0.121517	0.0078658	0.0009488	0.5633387	0.5269928	0.040963	0.0314526	0.0068929	0.2911389	0.0901411	0.0645386	0.4058731	0.0792975
run3	1.6444497	0.6620075	0.6226192	0.6017553	0.5523931	0.1924935	0.1487304	0.1129354	0.0633205	0.0220536	0.0132669	0.0072079	0.0017456	0.0319291	0.0045746	0.0964583	0.0460586	0.0242602	0.0015853	0.0982706	0.0311957	0.4189119	0.2817963	0.2176138	0.1998645	0.1218285	0.0595535	0.0437862	0.0174628	0.0989747	0.0712398	0.2057717	0.1532147	0.0830777	0.0867993	0.442142	0.218804	0.1837017	0.1448121	0.0239878	0.0871722	0.1165879	0.0076749	0.1868475	0.1442893	0.039415	0.1216339	0.0079938	0.000994800000000001	0.5632257	0.5272315	0.0407249	0.031348	0.0069626	0.2903116	0.0903645	0.0650353	0.4173835	0.0812024
run4	1.6468722	0.6617265	0.6217651	0.6009428	0.551799	0.1931214	0.1498153	0.1136279	0.063759	0.0222321	0.0131642	0.0073595	0.0017772	0.0322202	0.0046927	0.0966044	0.0456584	0.0242539	0.0017098	0.0989164000000001	0.0317052	0.4189197	0.2802309	0.2174259	0.1997025	0.1206103	0.059334	0.0437417	0.0174545	0.0990171	0.0712281	0.2056122	0.1535002	0.0822816	0.0870975	0.4421172	0.2192183	0.1840527	0.1451821	0.0239344	0.0873351	0.1167553	0.0076529	0.1868915	0.1442947	0.0393593	0.1219347	0.0079873	0.0010235	0.5630333	0.5268203	0.0407837	0.0313839	0.0069011	0.2896944	0.0893565	0.0642695	0.4076836	0.0786638
run5	1.6434358	0.6623942	0.6220882	0.6016151	0.5522142	0.1934618	0.1499995	0.1137658	0.0635243	0.0221814	0.0129783	0.00754420000000001	0.0018507	0.0321829	0.0046974	0.0964624	0.0460862	0.0235566	0.001531	0.0984264	0.031529	0.4194989	0.2794544	0.2164815	0.199332	0.1207469	0.0595322	0.0435936	0.0175218	0.0987576	0.0713455	0.2053668	0.1532453	0.0832769	0.0876612	0.4416132	0.2192138	0.1843535	0.144685	0.0240192	0.0866391	0.1175139	0.007658	0.1868963	0.144441	0.0393531	0.1217444	0.0078302	0.0010122	0.5631458	0.5270537	0.0408633	0.0314603	0.0069484	0.2917721	0.0894216	0.0640002	0.4150386	0.0797214
run6	1.648174	0.662239	0.622241	0.601388	0.5525181	0.1925364	0.1496955	0.1137177	0.0639182	0.0222891	0.0133401	0.0072801	0.0018475	0.0323774	0.0046962	0.0961664	0.0454034	0.0242839	0.0015108	0.0986036	0.0313136	0.4185493	0.2798119	0.2164958	0.199	0.1205438	0.0593693	0.0435698	0.0173404	0.0980213	0.0707945	0.2051879	0.1541013	0.0827334	0.086931	0.4421288	0.2193017	0.1837487	0.1447518	0.0238986	0.0870096	0.1165785	0.007583	0.186706	0.1435526	0.0395577	0.1217722	0.0080601	0.0009963	0.5635763	0.5274505	0.0409615	0.0315448	0.0069127	0.291706	0.0903467	0.0647196	0.4004777	0.078491
run7	1.6437141	0.6621078	0.6214798	0.6006519	0.5517508	0.1927512	0.1497009	0.1139071	0.0635361	0.0221201	0.0129469	0.0072824	0.0017436	0.0322325	0.0046694	0.0964457	0.0454621	0.0242349	0.0016033	0.0980321000000001	0.0314768	0.4178272	0.2794594	0.2165888	0.1992491	0.1205459	0.0587171	0.0432218	0.0173269	0.0986449	0.0714212	0.2046823	0.1530801	0.0830814	0.08681	0.4401362	0.2174662	0.1824289	0.1439668	0.02373	0.0865486	0.1158421	0.0076267	0.1854223	0.1424319	0.039271	0.120933	0.0081198	0.0010344	0.5628638	0.5264907	0.0407622	0.0314196	0.0068501	0.2914314	0.0900579	0.0640849	0.4195311	0.0821245
run8	1.6433218	0.6628791	0.6230699	0.6019391	0.5526819	0.1943308	0.1503058	0.1144561	0.0644226	0.0221904	0.0133627	0.007179	0.0018887	0.0327184	0.0046549	0.0970335	0.045907	0.0245744	0.001485	0.0993564	0.0312464	0.419684	0.2800798	0.2167406	0.1994237	0.1209895	0.0593649	0.043625	0.0172449	0.0983367	0.0707182	0.2054691	0.1542802	0.0829551	0.0871611	0.4416083	0.2181439	0.183071	0.1445868	0.0238815	0.086712	0.1165137	0.0076019	0.186367	0.143428	0.0393571	0.1212758	0.0080861	0.0009993	0.5636639	0.5275879	0.041061	0.0317955	0.0069197	0.2914827	0.089139	0.0637837	0.4123303	0.0800017
run9	1.6466911	0.6627035	0.6223528	0.6019675	0.5530406	0.1924912	0.1492203	0.1138855	0.0635454	0.0224645	0.0131255	0.0073507	0.0017907	0.0325768	0.0044786	0.0970493	0.0458956	0.0239896	0.0016998	0.0993294	0.0308786	0.4207749	0.2807077	0.2175375	0.2000148	0.1213815	0.0594793	0.0435586	0.0173072	0.0980902	0.0712305	0.2057101	0.1535001	0.0838562	0.0863724	0.4415069	0.219124	0.1844421	0.145234	0.0239123	0.0871524	0.1170052	0.0077295	0.1870991	0.1441908	0.0394155	0.1217398	0.0078775	0.0010079	0.5634979	0.5269756	0.0404115	0.0312421	0.0069121	0.2909755	0.0896993	0.0638866	0.4267908	0.0823672
run10	1.6452228	0.662919	0.6222977	0.601406	0.5529236	0.1920263	0.1489723	0.1136133	0.0630444	0.0219836	0.0129715	0.0071849	0.0017224	0.0322826	0.0044481	0.0964635	0.0465243	0.0248933	0.0016941	0.0986679	0.0320661	0.4204248	0.280642	0.2175744	0.1998222	0.120812	0.059469	0.0437194	0.0173713	0.0986445	0.0715826	0.205748	0.1539595	0.0839757	0.0868148	0.4433325	0.2185706	0.1839212	0.1446758	0.0239982	0.0873751	0.116269	0.007665	0.1870668	0.1438892	0.0394844	0.1217859	0.0079733	0.0010128	0.5642042	0.5274333	0.0408694	0.0315473	0.006974	0.2911468	0.0895324	0.0643689	0.4166055	0.0813359
run11	1.6454836	0.6626355	0.6219109	0.6015848	0.5520768	0.1914018	0.1479792	0.1121341	0.0628347	0.0220729	0.0128724	0.0071743	0.0017051	0.0323696	0.0046829	0.0947902	0.0460793	0.0243862	0.0014985	0.0985009	0.0307829	0.4185628	0.2800941	0.2163433	0.1989276	0.1213975	0.0592481	0.0434215	0.0174277	0.0989956	0.0712979	0.2049414	0.1534728	0.082387	0.0869659	0.4416523	0.2192751	0.1836441	0.1447167	0.0239611	0.0874681	0.1170422	0.0076868	0.1869308	0.1441987	0.0393466	0.1219972	0.0080691	0.0010095	0.5635223	0.5275225	0.0412123	0.0316373	0.0068396	0.290623	0.0891391	0.0640764	0.414114	0.0797193
run12	1.6472503	0.6626003	0.6227277	0.6023296	0.5531908	0.1928551	0.149216	0.1128739	0.064251	0.0220045	0.0131556	0.0072248	0.001878	0.0322629	0.0047406	0.0961967	0.0459043	0.0246677	0.0015241	0.0997491	0.0316793	0.4206834	0.2813005	0.2176464	0.2007121	0.1210072	0.0598513	0.0438172	0.0174233	0.099308	0.0708976	0.2061893	0.1544283	0.0835304	0.0869057	0.4423946	0.2195325	0.1846888	0.1455211	0.0240799	0.0866994	0.1167578	0.0076107	0.1875257	0.1448839	0.0394155	0.1222631	0.0080785	0.0010198	0.5635822	0.5272217	0.0408229	0.0314508	0.0069302	0.2909716	0.0895506	0.0643102	0.4121432	0.0798254
run13	1.6481952	0.6624339	0.6224438	0.6016385	0.5521818	0.1937125	0.1505731	0.113793	0.0634412	0.022253	0.0129608	0.00714820000000001	0.0017785	0.0318409	0.0044855	0.0968337	0.0465438	0.0248803	0.0014688	0.0988389	0.031567	0.4185819	0.2804404	0.2167009	0.1991578	0.1207364	0.0589229	0.0433641	0.0173445	0.0983132	0.0709272	0.205453	0.153514	0.0838617	0.087341	0.4414281	0.2179994	0.1834578	0.1444041	0.023851	0.0862199	0.1166571	0.0076462	0.1860399	0.1434665	0.0392069	0.1214476	0.0077426	0.0009534	0.5633494	0.5266335	0.0406985	0.031404	0.0068336	0.2908456	0.0896205	0.0642037	0.408826	0.0800692
run14	1.6436593	0.6625084	0.6216054	0.6009498	0.5517943	0.1929174	0.1487508	0.1128906	0.0632734	0.0220472	0.0131952	0.0071406	0.0018369	0.0321504	0.0048186	0.0962691	0.045135	0.0238513	0.0016326	0.098072	0.0309575	0.4179926	0.2796649	0.2163315	0.1984739	0.1209194	0.0595408	0.0434544	0.0174055	0.0987976	0.0711769	0.2052719	0.1532404	0.0828256	0.0871248	0.4406769	0.217528	0.1825261	0.1434731	0.0238834	0.086546	0.1159773	0.0076685	0.1855893	0.1429483	0.0388858	0.1212024	0.0079615	0.0010012	0.563005	0.5272598	0.0410739	0.0316864	0.0068823	0.2917636	0.0889743	0.0642662	0.4040681	0.078361
run15	1.6445041	0.6622427	0.6220913	0.6013884	0.551816	0.1914629	0.1487446	0.1134421	0.0635266	0.0221119	0.0131433	0.0073958	0.00182	0.0318511	0.0046161	0.0959212	0.0456773	0.024546	0.0016544	0.098054	0.0310009	0.4186121	0.279716	0.2168597	0.1992415	0.1206765	0.0587542	0.0433866	0.0173805	0.0982627	0.0711109	0.204937	0.1533313	0.0825522	0.0863383	0.4413521	0.2192289	0.1838568	0.1445726	0.0239571	0.0863108	0.116896	0.0076557	0.1869583	0.1442159	0.039237	0.1218418	0.0079699	0.0010061	0.562703	0.5264686	0.0409101	0.0314232	0.0069916	0.2911166	0.0894731	0.0644108	0.4105224	0.0789228
run16	1.6450162	0.6619174	0.6225643	0.601608	0.5529136	0.1906784	0.1476365	0.1125554	0.0628547	0.0225091	0.0131247	0.0073441	0.0018598	0.0325604	0.0044159	0.0957403	0.0457164	0.0240742	0.0014903	0.0981071	0.0317658	0.4186418	0.2800087	0.2167796	0.1994334	0.1205933	0.0593794	0.0434417	0.0173296	0.0989997	0.071697	0.2052009	0.1536509	0.0830308	0.0872685	0.4410852	0.2178597	0.1830976	0.1440624	0.0238867	0.0864596	0.116229	0.0075777	0.1862057	0.1435224	0.0392943	0.1214195	0.0078968	0.0009954	0.5634542	0.5268192	0.0408586	0.0313236	0.0068842	0.2905122	0.0899044	0.0643177	0.4105619	0.0800197
run17	1.646436	0.6631204	0.6230717	0.602388	0.5534862	0.193595	0.1495091	0.1137731	0.0636887	0.0224509	0.0134477	0.0074515	0.001789	0.0324607	0.004554	0.0967246	0.0455964	0.0244881	0.0015401	0.0996407	0.0315758	0.4200685	0.2808727	0.2178432	0.1998039	0.1213303	0.0591607	0.043688	0.0173197	0.0991259	0.0712507	0.2050954	0.15419	0.0831966	0.086695	0.4421889	0.2188063	0.1831309	0.1445843	0.0240521	0.0876804	0.1166967	0.0076619	0.1869744	0.1441242	0.0393393	0.1221215	0.0081377	0.0010069	0.563552	0.527499	0.0410257	0.0314925	0.0069979	0.2915114	0.0900611	0.0647169	0.4201484	0.0818753
run18	1.6462522	0.6624487	0.6223509	0.6011568	0.5523672	0.1925295	0.1489924	0.1130962	0.0635172	0.0220384	0.012872	0.00710990000000001	0.0017805	0.032325	0.0045486	0.0960761	0.0454554	0.0247949	0.0015687	0.097966	0.0315201	0.4183303	0.2800271	0.2162511	0.1992046	0.1207487	0.0592316	0.0433906	0.0173915	0.0984412	0.0709552	0.2049154	0.1542998	0.0835903	0.0862164	0.4406376	0.2183169	0.1831421	0.1443065	0.0238527	0.0870774	0.1165076	0.0077155	0.1864451	0.143456	0.0392026	0.1217686	0.0078938	0.0009794	0.5630277	0.5269955	0.0409382	0.0316541	0.0069436	0.2899566	0.0894478	0.0640247	0.4196221	0.0812946
run19	1.6485263	0.6617565	0.6215104	0.6009105	0.5515344	0.1905089	0.1477039	0.1126863	0.062895	0.0221527	0.012761	0.007228	0.001807	0.0322224	0.0045605	0.0947061	0.0456379	0.0242216	0.0014846	0.0984148	0.0315678	0.4180479	0.2796714	0.2158435	0.1981812	0.1202165	0.0591003	0.0433746	0.0172903	0.0985948	0.0710388	0.2050131	0.1526854	0.0821397	0.085681	0.4399904	0.2170557	0.182476	0.1432692	0.0239219	0.0862913	0.1160353	0.0075985	0.1853031	0.1433445	0.0387295	0.1211794	0.0079475	0.0010032	0.5631284	0.5267516	0.0408915	0.0315832	0.0069562	0.2905249	0.0898541	0.0646313	0.414888	0.0800077
run20	1.6443607	0.6628351	0.6219493	0.6012554	0.5529123	0.1935058	0.1497883	0.1140527	0.0633475	0.0221917	0.0131532	0.0073819	0.0017889	0.0323359	0.0045016	0.0971605	0.0458685	0.0245242	0.0015118	0.0985883	0.0314791	0.4184875	0.2798618	0.2163894	0.199652	0.1209175	0.0594656	0.043368	0.0172268	0.0983285	0.0709967	0.2047605	0.1529615	0.0831843	0.0859306	0.4416285	0.2187564	0.1834678	0.1442765	0.0237441	0.0862358	0.1166672	0.0076016	0.1866848	0.1440528	0.0393632	0.1214355	0.007975	0.0009935	0.5633977	0.5272697	0.040892	0.0314825	0.0068821	0.2903371	0.0897826	0.0649265	0.4095904	0.0790735
