Mean_time	Mean_qlow	Mean_qup	Priors
t_n211_Mammalia	172.418	159.84	196.59	ST(1.642,0.425,12.652,1714.565)
t_n212_Rodentia	60.659	59.5	61.79	ST(0.606,0.005,0.178,5.22)
t_n213	53.886	50	57.19	0
t_n214_Caviomorpha-Phiomorpha	42.4	40.64	44.27	ST(0.414,0.014,-0.164,18.225)
t_n215_Caviomorpha	37.763	36.16	39.47	ST(0.356,0.014,0.022,18.214)
t_n216	37.073	35.45	38.79	0
t_n217_C.lanigera-O.degus	33.957	32.16	35.79	ST(0.317,0.014,0.203,19.215)
t_n218	23.271	20.39	26.01	0
t_n219	22.421	19.59	25.12	0
t_n220	17.89	15.1	20.67	0
t_n221	17.51	14.79	20.21	0
t_n222	16.28	13.69	18.9	0
t_n223	15.636	13.11	18.23	0
t_n224	14.786	12.33	17.33	0
t_n225	14.066	11.67	16.56	0
t_n226	10.993	8.76	13.31	0
t_n227	10.52	8.35	12.77	0
t_n228	9.534	7.45	11.71	0
t_n229	5.64	4.15	7.24	0
t_n230	5.313	3.89	6.86	0
t_n231	4.652	3.33	6.12	0
t_n232	4.309	3.08	5.69	0
t_n233	3.263	2.2	4.53	0
t_n234	1.032	0.53	1.74	0
t_n235	0.047	0	0.18	0
t_n236	2.726	1.78	3.89	0
t_n237	1.908	1.17	2.85	0
t_n238	0.8	0.42	1.34	0
t_n239	5.033	3.46	6.79	0
t_n240	8.612	5.95	11.4	0
t_n241	7.627	5.18	10.42	0
t_n242	3.272	1.83	5.19	0
t_n243	12.827	10.41	15.35	0
t_n244	11.537	9.17	13.99	0
t_n245	10.989	8.62	13.45	0
t_n246	2.441	1.42	3.82	0
t_n247	4.993	2.71	7.56	0
t_n248	9.954	7.26	12.78	0
t_n249	6.244	4.51	8.36	0
t_n250	5.478	3.87	7.36	0
t_n251	4.69	3.01	6.62	0
t_n252	4.063	2.51	5.9	0
t_n253	0.41	0.04	1.21	0
t_n254	1.471	0.55	2.87	0
t_n255	15.513	12.93	18.2	0
t_n256	14.286	11.9	16.78	0
t_n257	12.749	10.33	15.31	0
t_n258	8.947	6.89	11.16	0
t_n259	6.823	5.1	9.2	0
t_n260	5.934	4.5	7.56	0
t_n261	4.836	3.38	6.46	0
t_n262	2.768	1.85	3.89	0
t_n263	5.197	3.81	6.75	0
t_n264	4.409	2.91	6.04	0
t_n265	5.051	3.09	7.25	0
t_n266	3.477	1.94	5.42	0
t_n267	2.445	1.3	4.01	0
t_n268	1.935	1	3.25	0
t_n269	1.659	0.83	2.84	0
t_n270	0.612	0.18	1.36	0
t_n271	17.041	14.34	19.74	0
t_n272	15.906	13.2	18.67	0
t_n273	12.079	9.6	14.74	0
t_n274	10.959	8.55	13.62	0
t_n275	6.656	4.84	9.05	0
t_n276	2.477	1.37	4.02	0
t_n277	4.601	2.56	6.81	0
t_n278	7.437	5.35	9.99	0
t_n279	4.494	2.81	6.45	0
t_n280	0.471	0.16	1.01	0
t_n281	6.049	4.11	8.54	0
t_n282	11.818	9.06	14.62	0
t_n283	8.135	5.64	10.81	0
t_n284	4.443	2.63	6.54	0
t_n285	3.31	1.68	5.31	0
t_n286	2.125	1	3.64	0
t_n287	1.328	0.5	2.48	0
t_n288	2.419	1.29	3.99	0
t_n289	19.964	17.26	22.6	0
t_n290	10.091	8.16	12.21	0
t_n291	6.546	5.24	8.08	0
t_n292	6.44	5.15	7.95	0
t_n293	6.282	5.01	7.77	0
t_n294	5.123	3.91	6.53	0
t_n295	3.732	2.62	5.05	0
t_n296	3.073	2.09	4.26	0
t_n297	2.022	1.18	3.09	0
t_n298	1.352	0.64	2.3	0
t_n299	1.336	0.62	2.3	0
t_n300	2.306	1.39	3.44	0
t_n301	4.437	3.22	5.83	0
t_n302	2.498	1.58	3.64	0
t_n303	2.06	1.25	3.09	0
t_n304	1.399	0.75	2.27	0
t_n305	0.777	0.32	1.44	0
t_n306	1.586	0.81	2.62	0
t_n307	5.385	4.24	6.73	0
t_n308	4.86	3.64	6.23	0
t_n309	3.784	2.74	5.01	0
t_n310	2.562	1.68	3.63	0
t_n311	1.471	0.84	2.3	0
t_n312	5.87	4.57	7.37	0
t_n313	4.717	3.45	6.18	0
t_n314	3.404	2.32	4.71	0
t_n315	1.112	0.48	2.02	0
t_n316	0.749	0.25	1.5	0
t_n317	0.521	0.14	1.16	0
t_n318	4.277	3.09	5.66	0
t_n319	0.962	0.49	1.63	0
t_n320	0.725	0.33	1.3	0
t_n321	6.067	4.55	7.69	0
t_n322	3.997	2.6	5.58	0
t_n323	0.636	0.18	1.39	0
t_n324	0.418	0.09	0.98	0
t_n325	6.093	3.89	9.12	0
t_n326	4.321	2.78	6.15	0
t_n327	3.28	1.97	4.92	0
t_n328	1.249	0.6	2.2	0
t_n329	12.698	10.01	15.38	0
t_n330	10.312	7.74	12.91	0
t_n331	8.291	6.15	10.49	0
t_n332	4.628	3.16	6.3	0
t_n333	1.607	0.85	2.66	0
t_n334	4.082	2.62	5.75	0
t_n335	5.604	3.9	7.47	0
t_n336	1.692	0.72	3.09	0
t_n337	7.48	4.82	10.78	0
t_n338	3.89	2.08	6.27	0
t_n339	1.164	0.52	2.15	0
t_n340_Abrocomidae	7.133	5.05	12.85	B(0.01778,0.1382)
t_n341	4.992	2.96	8.66	0
t_n342	24.913	17.7	29.39	0
t_n343	20.183	12.14	26.81	0
t_n344	4.952	1.57	10.74	0
t_n345	28.132	22.05	32.55	0
t_n346	14.882	10.24	19.76	0
t_n347	10.473	6.56	14.66	0
t_n348	7.093	4.31	10.76	0
t_n349	4.721	2.63	7.29	0
t_n350	3.32	1.63	5.56	0
t_n351	0.711	0.21	1.64	0
t_n352	9.051	5.55	13.01	0
t_n353	2.183	0.88	4.24	0
t_n354	0.735	0.21	1.68	0
t_n355	5.611	3.18	9.01	0
t_n356	31.713	29.38	33.99	0
t_n357	26.217	23.51	28.82	0
t_n358	20.698	17.72	23.62	0
t_n359	12.709	10.36	15.18	0
t_n360_C.porcellus-C.aperea	8.193	6.67	9.69	ST(0.086,0.01,0.671,36.22)
t_n361	5.612	4.28	6.99	0
t_n362	5.239	3.98	6.53	0
t_n363	3.599	2.57	4.75	0
t_n364	1.648	0.93	2.55	0
t_n365	0.6	0.24	1.14	0
t_n366	0.623	0.19	1.3	0
t_n367	2.421	1.57	3.43	0
t_n368	0.647	0.02	2.23	0
t_n369	24.105	20.98	27.03	0
t_n370	19.93	16.02	23.52	0
t_n371	13.677	9.93	17.56	0
t_n372	7.604	4.32	12.26	0
t_n373	12.048	8.04	15.98	0
t_n374	2.079	0.75	4.26	0
t_n375	10.92	6.77	14.82	0
t_n376	3.952	1.87	6.48	0
t_n377	30.096	27.47	32.6	0
t_n378	12.273	8.34	16.67	0
t_n379	6.358	3.95	10.04	0
t_n380	4.704	2.59	7.21	0
t_n381	5.605	3.31	8.75	0
t_n382	6.06	2.75	11.75	0
t_n383	41.762	39.99	43.64	0
t_n384	37.545	35.69	39.48	0
t_n385_Phiomorpha	31.783	29.81	33.76	ST(0.324,0.016,-0.255,17.835)
t_n386	25.71	23.18	28.15	0
t_n387	22.929	20.31	25.48	0
t_n388	22.293	19.69	24.85	0
t_n389	18.376	15.47	21.33	0
t_n390	7.404	5.27	10.31	0
t_n391	6.241	4.4	8.7	0
t_n392	5.239	3.6	7.27	0
t_n393	4.438	2.94	6.27	0
t_n394	1.727	0.93	2.87	0
t_n395	1.484	0.8	2.46	0
t_n396	0.847	0.25	1.71	0
t_n397	2.841	1.74	4.31	0
t_n398	1.577	0.81	2.67	0
t_n399	3.948	2.51	5.82	0
t_n400	2.724	1.11	5.14	0
t_n401	5.527	3.57	7.59	0
t_n402	5.047	3.23	6.94	0
t_n403	4.052	2.4	5.93	0
t_n404	1.76	0.64	3.42	0
t_n405	4.46	2.78	6.28	0
t_n406	3.465	1.9	5.29	0
t_n407	11.237	7.32	14.86	0
t_n408	2.94	1.41	5.05	0
t_n409	24.046	14.96	30.17	0
