t_n211	t_n212	t_n213	t_n214	t_n215	t_n216	t_n217	t_n218	t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419
run1	1.5982169	0.5950344	0.4999331	0.4065977	0.3618476	0.3547789	0.3217311	0.204858	0.1967476	0.1516275	0.1484816	0.1376671	0.1315209	0.1237196	0.1170487	0.087391	0.0837232	0.0745241	0.0417774	0.0391247	0.0335934	0.0310153	0.022249	0.0054253	0.0000111	0.0180021	0.0118598	0.0042275	0.0349951	0.0595966	0.0519662	0.0182158	0.1046125	0.0920156	0.0862388	0.0141732	0.0272489	0.0730141	0.0454946	0.0389156	0.0304065	0.0254329	0.0004002	0.0055597	0.1299997	0.1194366	0.1037661	0.0696767	0.0513939	0.0454231	0.0341377	0.0186806	0.038415	0.0293012	0.0308727	0.0193063	0.0129564	0.0099094	0.0082504	0.0018308	0.1438521	0.1326485	0.0968001	0.0860368	0.0488294	0.0137643	0.0255698	0.0536517	0.0280772	0.0016135	0.0414691	0.0909554	0.0564148	0.0262455	0.016736	0.0099396	0.0049889	0.0129895	0.1733986	0.082202	0.0531186	0.0522551	0.0507834	0.0396595	0.0265032	0.0211485	0.0120015	0.0065342	0.006281	0.0140323	0.0327882	0.0159768	0.0126617	0.0075728	0.0032584	0.0082859	0.0430247	0.036911	0.0275978	0.0169372	0.008421	0.0463366	0.0347773	0.0235474	0.0048082	0.0025219	0.0013793	0.0312823	0.0050423	0.0033607	0.0459831	0.0263075	0.0018196	0.000937100000000001	0.0389853	0.0280012	0.0197417	0.0061412	0.10006	0.0774568	0.0614547	0.0315705	0.0085139	0.0261639	0.0391155	0.0072405	0.0484866	0.0208272	0.0051827	0.0505647	0.0298122	0.1779771	0.1217289	0.0159981	0.2202699	0.1019828	0.0656868	0.0433469	0.0264488	0.0163601	0.0020382	0.055869	0.00870780000000001	0.0020647	0.0318615	0.294083	0.2348483	0.1770967	0.1036659	0.0665516	0.0427239	0.0398545	0.0257669	0.0093421	0.0023326	0.0019413	0.0156163	0.0001825	0.2097035	0.159208	0.0990895	0.0431655	0.080313	0.0075038	0.06794	0.0187662	0.27452	0.0834742	0.0398044	0.0259156	0.0330951	0.0273769	0.4001599	0.3570709	0.2983494	0.2321626	0.2036136	0.1971376	0.1549005	0.0530773	0.044152	0.0362354	0.0296431	0.0093904	0.0080167	0.0025718	0.0175601	0.0080314	0.0252699	0.011072	0.0359194	0.0324344	0.0243583	0.0064247	0.0279392	0.0191116	0.0730403	0.0141815	0.147642	0.2018989	0.0941183	0.0711076	0.0321159	0.0228878	0.2115064	0.0641329	0.0199524	0.3997446	0.1220167
run2	1.5999563	0.5948568	0.5003562	0.4059231	0.361394	0.354223	0.3211268	0.2018063	0.1936756	0.1490599	0.1461459	0.135324	0.1295955	0.121797	0.1153335	0.0866489	0.0827804	0.0738023	0.0412417	0.0385071	0.0329938	0.0304514	0.0218561	0.0052856	0.0000107	0.0177604	0.0116378	0.0042027	0.03454	0.0589597	0.0515476	0.0181314	0.103606	0.0907062	0.0851874	0.0141293	0.0269862	0.0720322	0.0449715	0.038417	0.0299653	0.0248535	0.0004277	0.0054891	0.1279411	0.117806	0.1023465	0.0684587	0.0506237	0.0447502	0.0335144	0.018367	0.037865	0.0290613	0.0306317	0.0193329	0.012786	0.0098421	0.0082495	0.001775	0.1416923	0.1309176	0.0951032	0.0849513	0.0480923	0.0137147	0.0254911	0.0532595	0.0281669	0.0016108	0.0407696	0.0896009	0.0557123	0.0259751	0.016793	0.0097991	0.0050487	0.0126745	0.1707777	0.0810165	0.0521697	0.0513494	0.0499225	0.0389566	0.0260683	0.0208159	0.0118232	0.0064722	0.0061607	0.0138143	0.0322629	0.015831	0.012538	0.0075243	0.0032387	0.0081824	0.0422639	0.036234	0.0272976	0.0167393	0.0083	0.0455787	0.0342889	0.0231142	0.004757	0.0025083	0.0014008	0.0306046	0.0048388	0.0032654	0.0455175	0.0260685	0.0017899	0.0009349	0.0387608	0.0279297	0.019753	0.0060119	0.0997608	0.077285	0.061488	0.0314418	0.0084575	0.0261912	0.0390786	0.0070734	0.0481037	0.0206986	0.0051455	0.0506573	0.0293993	0.1792536	0.1215806	0.0154658	0.2202085	0.1018847	0.0648793	0.0429438	0.0260992	0.0160151	0.0020631	0.0552134	0.0086434	0.0020568	0.031534	0.2938701	0.2352065	0.1769926	0.103792	0.0670418	0.0427157	0.0397225	0.0257596	0.0093719	0.0023867	0.001923	0.0156368	0.0001828	0.2096043	0.160133	0.0994075	0.0427579	0.0807999	0.0074859	0.0672299	0.0188276	0.2750424	0.0836253	0.0396566	0.02631	0.0329283	0.0274103	0.3997067	0.3569777	0.2981112	0.2314652	0.2032354	0.1971965	0.1549808	0.0528575	0.0442202	0.036113	0.029413	0.0093416	0.0080493	0.0024383	0.0175168	0.0082005	0.0250994	0.0110819	0.0356772	0.0321615	0.0241112	0.0062973	0.0277364	0.0191186	0.0733603	0.014174	0.1475835	0.2031223	0.0938838	0.0709693	0.0322879	0.0226595	0.2143389	0.0655091	0.0202765	0.4094575	0.1260758
run3	1.5973075	0.5950367	0.4996826	0.4062927	0.3616976	0.3547316	0.322196	0.2065599	0.1987052	0.1534469	0.1502514	0.139187	0.1333323	0.1252218	0.1185618	0.0887821	0.0847133	0.0756236	0.0420187	0.0393509	0.0336852	0.0311085	0.0220723	0.005329	0.0000122	0.0177484	0.0117696	0.0042209	0.0350563	0.0601148	0.0524882	0.0186463	0.1052947	0.0931646	0.0872862	0.0142277	0.0275844	0.0730706	0.0454271	0.0388723	0.03021	0.0253179	0.0003952	0.0054943	0.1313472	0.1209988	0.1048759	0.0700318	0.0516347	0.0455465	0.0340967	0.0187424	0.0384819	0.0294897	0.0311942	0.0197622	0.0132995	0.0101235	0.0084728	0.0018264	0.1458555	0.1343032	0.0971738	0.0862568	0.0490213	0.0139336	0.0259181	0.0540251	0.0284744	0.0016342	0.0416978	0.0922817	0.0572393	0.0266665	0.017015	0.0101537	0.0051446	0.0130968	0.1749682	0.0825672	0.052978	0.0520401	0.0506535	0.0395502	0.0264631	0.0211736	0.0120081	0.0065249	0.0062458	0.0140436	0.032525	0.0159386	0.0126214	0.0076171	0.0032532	0.0081363	0.0428935	0.0367263	0.0276163	0.0169238	0.008407	0.0463138	0.0347883	0.0233357	0.0048013	0.0025806	0.0013895	0.0313654	0.0049642	0.0033253	0.0458747	0.0262605	0.0017935	0.000941600000000001	0.0390777	0.0279781	0.0198542	0.0060159	0.1009883	0.0779753	0.0620591	0.0317067	0.0085862	0.0263918	0.0393421	0.0071818	0.0485207	0.021003	0.0052356	0.0506215	0.0297482	0.1793053	0.1235831	0.0157541	0.2216434	0.1030601	0.0657515	0.0433256	0.0263805	0.0163155	0.0020823	0.0559661	0.0087974	0.0020705	0.0320631	0.2934255	0.2343339	0.1770741	0.1036784	0.0665711	0.0427038	0.0397121	0.0256595	0.0092694	0.0023928	0.0018982	0.0155347	0.0001778	0.2095699	0.1602159	0.0987973	0.0432334	0.0802143	0.0075822	0.0675005	0.0187074	0.2743698	0.0837938	0.0394684	0.026107	0.0332241	0.027182	0.3998717	0.357009	0.2978683	0.2315667	0.2028399	0.1967104	0.1547875	0.0529355	0.0439807	0.0360638	0.0294398	0.0092211	0.0079235	0.0024367	0.017442	0.0081084	0.0250978	0.0112037	0.0355151	0.0319175	0.0234781	0.006334	0.0274154	0.0187604	0.073234	0.0141549	0.1509617	0.2026076	0.094287	0.0711383	0.0322986	0.0231712	0.2122132	0.0655465	0.0202813	0.4000981	0.120687
run4	1.598731	0.5949418	0.500046	0.4063114	0.3614553	0.3544461	0.3212802	0.204753	0.1967402	0.1515596	0.1485014	0.1374866	0.1316026	0.1238379	0.1171412	0.0877616	0.0836343	0.0743217	0.0415129	0.038716	0.0333589	0.0308065	0.0219432	0.0052497	0.0000104	0.0177422	0.0116955	0.0042346	0.0347432	0.0597769	0.0517132	0.0181637	0.1042492	0.0920262	0.0865835	0.01433	0.0268984	0.0728319	0.0453697	0.0385259	0.0300572	0.0252246	0.0004198	0.0055422	0.1297562	0.1195347	0.1040646	0.0692375	0.0511048	0.0453137	0.0339282	0.0185406	0.0384804	0.0293183	0.0309125	0.0193064	0.0130757	0.0099817	0.0082876	0.0018316	0.1439223	0.1326048	0.0963771	0.0857392	0.0485538	0.0137707	0.02555	0.0535715	0.0281973	0.0016091	0.0414067	0.0911102	0.0566401	0.0265997	0.0170611	0.0101287	0.0050011	0.0129289	0.1735455	0.0819773	0.052453	0.0516411	0.0501099	0.0391666	0.0261854	0.0209505	0.0117825	0.0065162	0.0061691	0.0140192	0.0323749	0.0158682	0.0125287	0.0075291	0.0032323	0.0081309	0.0425283	0.0365213	0.0273704	0.0169348	0.0084788	0.0455536	0.034418	0.023189	0.0048223	0.0025215	0.0013926	0.0308218	0.0049752	0.0033134	0.0456215	0.0258942	0.0017193	0.0009338	0.0391056	0.0279642	0.0198183	0.0060356	0.1007172	0.07771	0.0617838	0.031735	0.0085127	0.026179	0.0393295	0.0072636	0.0484914	0.0208444	0.0052301	0.0503069	0.0294992	0.1757135	0.1207783	0.0158801	0.2208557	0.1029901	0.0653908	0.0431589	0.026277	0.0163282	0.0020553	0.0553828	0.0089333	0.0021016	0.0316672	0.2934843	0.2347432	0.1772453	0.1031911	0.0665991	0.0425982	0.0397302	0.0255004	0.009302	0.0024032	0.0019424	0.0156424	0.0001646	0.2100953	0.1599207	0.0993213	0.0431179	0.0798895	0.0074642	0.0685033	0.0187639	0.2740806	0.083501	0.0394857	0.0259318	0.0331839	0.0274238	0.3999067	0.356878	0.2976197	0.2315172	0.2028671	0.1966207	0.1547472	0.0523146	0.0437644	0.0358805	0.0293616	0.0093051	0.0079416	0.0024935	0.0173118	0.0080371	0.0251407	0.0110147	0.0355281	0.0322614	0.0239936	0.0063333	0.0279847	0.0189598	0.0727928	0.0141983	0.1479706	0.2045333	0.09471	0.0727046	0.0323435	0.0230532	0.2109052	0.0646642	0.0202254	0.4049015	0.1234306
run5	1.6000473	0.5948458	0.4997027	0.4068306	0.362055	0.3548498	0.3214119	0.2024887	0.1948355	0.1499196	0.147037	0.1362449	0.1305162	0.1226452	0.1161601	0.0871042	0.0831723	0.0741691	0.0412686	0.0385489	0.032971	0.0303736	0.021844	0.0053167	0.0000109	0.0176316	0.0116077	0.0041815	0.0344665	0.0591548	0.0513361	0.0182409	0.1033633	0.0914232	0.0858262	0.014163	0.0270808	0.0725336	0.0450506	0.0388559	0.0299345	0.0249988	0.0004026	0.0055167	0.1286647	0.1183896	0.1022626	0.0684728	0.0504947	0.0444701	0.0334363	0.0184032	0.037705	0.0289239	0.030733	0.0190833	0.0127617	0.0098305	0.0082124	0.001796	0.1427329	0.1313022	0.0956667	0.0851766	0.0481778	0.0136429	0.025289	0.0530312	0.0278241	0.0016086	0.0410331	0.0899745	0.0561147	0.0259684	0.0164965	0.0097652	0.0049179	0.0129596	0.1715268	0.0809283	0.0516342	0.0507876	0.0494283	0.0387234	0.025891	0.020691	0.011754	0.0063836	0.0061383	0.0136122	0.0318895	0.0156676	0.0122763	0.0074227	0.0031834	0.0080686	0.0417975	0.036017	0.0270605	0.0167008	0.0083149	0.0451481	0.0342123	0.0227963	0.0047543	0.0024617	0.0013692	0.0304174	0.004876	0.0032378	0.0449642	0.0257364	0.0017288	0.0009308	0.038887	0.0278808	0.019648	0.0059818	0.0993571	0.0771821	0.0610534	0.0314054	0.0084899	0.0260135	0.0384634	0.007095	0.0478171	0.0205797	0.0051658	0.0504599	0.0299646	0.1780389	0.1212718	0.0155792	0.2200864	0.1011611	0.0655639	0.0429641	0.0262765	0.0162991	0.0020635	0.0554188	0.0088338	0.0021161	0.0316886	0.2940338	0.2356995	0.1775066	0.1038648	0.0667152	0.0424866	0.0397279	0.0255597	0.0093222	0.0023614	0.0019203	0.0156756	0.0001707	0.210535	0.1605124	0.0992861	0.042867	0.0805044	0.0074519	0.0678772	0.0187703	0.274946	0.0832963	0.0391069	0.0255628	0.0328913	0.0272571	0.4004798	0.357502	0.2986429	0.2322542	0.2032771	0.1976062	0.1551192	0.0527848	0.0440619	0.0358999	0.0294005	0.0094168	0.0080753	0.0025355	0.0173186	0.0082185	0.0252511	0.0110684	0.0357357	0.0324264	0.0240614	0.0064669	0.0277252	0.0191188	0.0742857	0.014185	0.1498887	0.2038088	0.0945436	0.0721113	0.0326924	0.0231471	0.2135935	0.0650992	0.0203313	0.4027706	0.1239125
run6	1.5981628	0.5951449	0.4996346	0.4065989	0.3618221	0.354545	0.3214248	0.2037321	0.1958413	0.1512758	0.1483491	0.1370576	0.1311621	0.1234624	0.1165842	0.0872956	0.0831846	0.0742002	0.0413748	0.0388138	0.0333306	0.030739	0.0220351	0.0053566	0.0000118	0.0178589	0.0118202	0.0042308	0.0344162	0.0595153	0.0518803	0.0182878	0.1040511	0.0919464	0.0862059	0.0141917	0.0272242	0.0724905	0.0449357	0.0385786	0.0300199	0.0250093	0.0004016	0.0055529	0.1293648	0.119098	0.1033073	0.0686952	0.0508647	0.0448667	0.0339964	0.0185525	0.0381536	0.0290257	0.0304422	0.0191594	0.0127447	0.0098518	0.0081738	0.001819	0.1438343	0.1322237	0.0961309	0.0857565	0.0484997	0.0137982	0.0255017	0.0535692	0.0283804	0.001612	0.0413501	0.0909185	0.0565203	0.0265382	0.0170251	0.0100565	0.0051032	0.0128709	0.172506	0.0813328	0.0522734	0.0513393	0.0498413	0.0389879	0.0261691	0.0208757	0.0118039	0.0065119	0.006079	0.0138266	0.0320637	0.0157085	0.0123799	0.0074304	0.003207	0.0080438	0.0423683	0.0364354	0.0273325	0.0166652	0.0084153	0.0455386	0.034414	0.0231137	0.0047667	0.0025314	0.0013802	0.0307598	0.0049299	0.0032993	0.0454437	0.0260752	0.0017692	0.0009392	0.0387937	0.027579	0.0195612	0.0059488	0.0997027	0.0767763	0.0611139	0.0313207	0.0084019	0.0261091	0.0388502	0.0072299	0.0483564	0.0208314	0.005223	0.0503635	0.0297125	0.1723009	0.11958	0.0154141	0.220566	0.1035512	0.0660023	0.0436962	0.0267196	0.0164079	0.0021109	0.0562175	0.0088999	0.00213	0.0319803	0.2938665	0.2352235	0.1767653	0.10321	0.0667308	0.0424894	0.0397217	0.0256294	0.0093015	0.0023545	0.0018918	0.0156606	0.0001865	0.2100598	0.160123	0.0992257	0.0433284	0.0801665	0.007546	0.0675461	0.0186154	0.2745609	0.0832614	0.0396636	0.0258217	0.032949	0.0280738	0.4000537	0.3569096	0.2981378	0.2316748	0.2026889	0.1966382	0.1549158	0.0528682	0.0438902	0.0358181	0.029296	0.0092572	0.0079618	0.0024945	0.0172313	0.0081126	0.0249969	0.0111495	0.0357813	0.0324112	0.02401	0.0063704	0.0278231	0.0191268	0.0735974	0.0141463	0.1451504	0.2055163	0.0946764	0.072551	0.0322791	0.0228844	0.216272	0.0652339	0.0203256	0.4138623	0.1260861
run7	1.5982373	0.5950584	0.5000779	0.4065762	0.3616692	0.3547234	0.3216887	0.2032568	0.1952532	0.1502351	0.1473248	0.1360632	0.1304409	0.1225077	0.115986	0.086963	0.0830218	0.0739788	0.0414206	0.038739	0.033283	0.0306921	0.0220088	0.0054017	0.0000101	0.0177428	0.0116711	0.0042351	0.034556	0.0596775	0.051829	0.0182451	0.1035952	0.0909913	0.0853116	0.0140805	0.0271584	0.0722327	0.0451131	0.0386292	0.0303402	0.0253369	0.000405	0.0055416	0.1285766	0.1182064	0.1028589	0.0686482	0.0508834	0.0447708	0.0336772	0.0184824	0.0380908	0.0294103	0.0304547	0.0190636	0.0128489	0.0098784	0.0082009	0.0017996	0.1429186	0.1315186	0.0955825	0.0853029	0.0480995	0.0136831	0.0257539	0.0531067	0.0279514	0.0015651	0.040965	0.0901409	0.0561188	0.0264133	0.0170348	0.0101388	0.0051053	0.0129401	0.1723098	0.0818369	0.052608	0.051624	0.0502107	0.0392854	0.0262763	0.0209479	0.0119225	0.006488	0.0063424	0.0138876	0.0324119	0.0157492	0.012448	0.0075245	0.0032315	0.0080541	0.0425373	0.0366134	0.0276623	0.0169144	0.0085294	0.0459881	0.0346513	0.0233684	0.0048514	0.0025639	0.0013683	0.0311233	0.0049592	0.0033244	0.04564	0.0263013	0.0017779	0.0009466	0.0390757	0.027743	0.0196811	0.0060843	0.1000709	0.0773321	0.061418	0.0315421	0.0085452	0.0262489	0.0389373	0.0071565	0.0479151	0.0208373	0.0052231	0.0501787	0.0295925	0.1750948	0.1204841	0.0156544	0.2201695	0.1026028	0.0660623	0.0434542	0.0265275	0.0162654	0.0020832	0.0558642	0.008835	0.0020532	0.0318952	0.2938164	0.2351901	0.1771593	0.1036423	0.0669929	0.0428845	0.03995	0.0256532	0.0093277	0.0023735	0.0019456	0.0157088	0.0001614	0.2095902	0.1598651	0.099415	0.0434779	0.0802875	0.0074949	0.0675376	0.0187938	0.2741362	0.0831851	0.0394453	0.0259924	0.0330083	0.027356	0.399964	0.35704	0.2982236	0.2319575	0.2031822	0.1966966	0.1547812	0.0527169	0.0440283	0.0359625	0.0293249	0.0092963	0.0079884	0.0025063	0.0174404	0.0080756	0.0251612	0.0112212	0.0360501	0.0325569	0.0242149	0.0064028	0.0279862	0.019211	0.0725144	0.0141918	0.1520057	0.2020723	0.0927416	0.0708048	0.0322406	0.0227163	0.2136162	0.0665377	0.0204451	0.4127706	0.1238615
run8	1.5978255	0.5946818	0.5000273	0.4068023	0.3613675	0.3543997	0.3214015	0.2027336	0.1946554	0.1495874	0.1465034	0.1357943	0.1299472	0.1220827	0.1156569	0.0869973	0.0828103	0.0737221	0.0413034	0.0387901	0.0332057	0.0305581	0.0218631	0.0052762	0.0000109	0.0176951	0.0116597	0.0041787	0.0343302	0.0590381	0.0515528	0.0180638	0.1034447	0.0908467	0.0855319	0.0140119	0.0271387	0.0721357	0.0449792	0.0384226	0.0300874	0.0249848	0.000409	0.0056501	0.1284519	0.1178485	0.1027249	0.0684199	0.0504946	0.0447078	0.0335282	0.018475	0.0379419	0.0292499	0.0307496	0.0192936	0.0129217	0.0099307	0.0082921	0.0017978	0.1421438	0.1307246	0.0953634	0.0847886	0.0481339	0.0137488	0.0254942	0.0529793	0.0279329	0.0016156	0.0409658	0.09006	0.0558112	0.0260743	0.0165502	0.0099817	0.0050359	0.012692	0.171056	0.0808517	0.0516167	0.0507473	0.0494014	0.0384547	0.0259099	0.0206383	0.0117128	0.0063325	0.006137	0.013716	0.0320563	0.0156979	0.0124115	0.0073918	0.0032041	0.00797	0.0416796	0.0359991	0.0271588	0.0165389	0.0083089	0.0450973	0.0339171	0.0229167	0.0047199	0.0025176	0.0013611	0.0304022	0.0048151	0.0031761	0.0449402	0.025911	0.0017647	0.000947200000000001	0.0385934	0.0276551	0.0196239	0.0060011	0.0993742	0.0771176	0.0611437	0.0312994	0.0084372	0.0259825	0.0389184	0.0071794	0.0481264	0.0207888	0.0051738	0.050195	0.0294245	0.1774835	0.1221385	0.0155911	0.2195556	0.1024639	0.0650701	0.0429441	0.0264403	0.0162818	0.0021134	0.0552087	0.0086953	0.0020964	0.0316392	0.2937755	0.2344342	0.1766319	0.1032178	0.066417	0.0426902	0.0396681	0.0255157	0.0093927	0.0023889	0.0018997	0.0156298	0.0001886	0.2094146	0.1593511	0.0987676	0.0431602	0.0801252	0.0075606	0.0674191	0.0187623	0.2744958	0.0833685	0.0395472	0.0258711	0.0333327	0.0274613	0.4002016	0.3573388	0.2979893	0.2320379	0.2036021	0.1969651	0.1544359	0.052374	0.0437286	0.0357873	0.0292203	0.0092785	0.0079324	0.0024257	0.0174039	0.0080545	0.0250218	0.0110893	0.0360328	0.0322488	0.0241587	0.0063537	0.0275838	0.0189719	0.0729918	0.0140594	0.1479137	0.204627	0.0940848	0.0719351	0.0322932	0.0228582	0.2114296	0.0658587	0.0201378	0.4034302	0.1239585
run9	1.5990373	0.5950458	0.4999746	0.4065331	0.361617	0.3544395	0.3216438	0.2040655	0.1959515	0.1506342	0.1475581	0.1366688	0.1309742	0.1230774	0.116602	0.0874697	0.083469	0.0744711	0.0414819	0.0388279	0.033406	0.0308251	0.0221323	0.0054171	0.0000114	0.0179146	0.0116794	0.0042116	0.0345356	0.0592444	0.051959	0.0182955	0.104084	0.0917268	0.0860135	0.0142196	0.0270945	0.0724708	0.04484	0.0386045	0.0304563	0.025352	0.0003794	0.0055004	0.1287274	0.11898	0.1031121	0.068842	0.0507544	0.0450118	0.0337927	0.0185514	0.0380808	0.0289577	0.0307663	0.0191756	0.0128382	0.0099076	0.0083348	0.0018362	0.1430691	0.1315168	0.0960568	0.0855262	0.0485942	0.0136438	0.0253708	0.0537411	0.0283166	0.0015993	0.0412551	0.090408	0.0563753	0.0263847	0.0169082	0.0099726	0.0050121	0.0128461	0.1726269	0.0814876	0.0526024	0.051584	0.0502868	0.0390009	0.0261375	0.0210117	0.0117867	0.0065142	0.0061996	0.0139451	0.0323891	0.0158869	0.0125817	0.0075731	0.0032235	0.0081707	0.0424945	0.0364565	0.0274697	0.0169003	0.0084373	0.0456232	0.0344523	0.0232611	0.004796	0.0025069	0.001404	0.0308152	0.0049753	0.0032937	0.0455957	0.0260941	0.0017712	0.0009354	0.0391815	0.0280228	0.0199393	0.0060179	0.100184	0.0776323	0.0618118	0.0317996	0.0084337	0.0263079	0.0392097	0.0072494	0.0484793	0.020894	0.0052091	0.0502932	0.0295477	0.1754574	0.1214514	0.0154706	0.21937	0.1024337	0.0654872	0.0430973	0.0261706	0.0165001	0.0021065	0.0555626	0.0089619	0.0021224	0.0316039	0.293543	0.2345622	0.1768684	0.103296	0.0664293	0.0425032	0.0396288	0.0255986	0.0093362	0.0023645	0.0019233	0.0157576	0.0001756	0.2094753	0.1596839	0.0990521	0.0429999	0.0800352	0.0075039	0.0672158	0.0188098	0.274532	0.083542	0.0398276	0.0257574	0.0330266	0.0277725	0.4001113	0.3566921	0.2984699	0.231946	0.2036963	0.1974881	0.1550301	0.0526429	0.0439593	0.0361678	0.0294739	0.0093406	0.0079836	0.0025118	0.0174494	0.008212	0.0251627	0.0111642	0.0354525	0.0321585	0.0239271	0.0063659	0.0276448	0.0188415	0.0733263	0.0143376	0.1488641	0.2032277	0.0935438	0.0719191	0.0324943	0.0231285	0.2125385	0.0654279	0.0201211	0.3939997	0.1179946
run10	1.5987617	0.5948262	0.499948	0.4068964	0.362181	0.3552545	0.3223659	0.204672	0.1966715	0.1518076	0.1487619	0.1376162	0.1317261	0.1240228	0.1173759	0.0883916	0.0842994	0.0753542	0.0421613	0.0394021	0.0338013	0.0311901	0.0223923	0.0054469	0.0000119	0.0179757	0.0118707	0.0042319	0.0348835	0.0599013	0.0520169	0.0182903	0.1048147	0.0922777	0.0869494	0.0143627	0.0271048	0.0726805	0.0451506	0.0387288	0.0302396	0.0252022	0.000391800000000001	0.005584	0.1299129	0.1196912	0.1036105	0.0695946	0.0513488	0.0453036	0.0341054	0.0186433	0.038472	0.0293009	0.0308264	0.0192877	0.0129815	0.0100387	0.0083899	0.0018087	0.1442562	0.1327844	0.0964975	0.0857187	0.0487885	0.0139298	0.0258068	0.0540034	0.0283212	0.0016245	0.0414804	0.0906994	0.0565381	0.0265663	0.0169386	0.0101208	0.0050555	0.0129784	0.1732124	0.0820713	0.0526932	0.0517828	0.050466	0.0393445	0.0264742	0.0211677	0.0118997	0.0064762	0.0062317	0.0139559	0.0325005	0.0158917	0.012454	0.0076462	0.0032541	0.0082851	0.0427559	0.0365908	0.0275841	0.0169327	0.0084473	0.046063	0.0347142	0.0234649	0.0048644	0.0025456	0.0013907	0.0311838	0.004974	0.0033138	0.0460145	0.0260662	0.0018019	0.000965800000000001	0.0394682	0.0281756	0.0198551	0.0060237	0.1002175	0.0773476	0.0616604	0.0315839	0.0085079	0.0261344	0.0389648	0.0072874	0.0485165	0.0207599	0.0052018	0.051051	0.029935	0.1770044	0.1212125	0.0155514	0.2206434	0.1032829	0.0660851	0.0435796	0.0264286	0.0163758	0.0020852	0.0559	0.0086923	0.0021673	0.0318122	0.2939307	0.2352434	0.177152	0.1030049	0.0666478	0.0426691	0.0397086	0.0257254	0.0093356	0.0023729	0.0019373	0.0156354	0.0001709	0.2095851	0.1607834	0.0994004	0.0432648	0.0798406	0.00742110000000001	0.0675536	0.0184788	0.2750784	0.0841831	0.0398543	0.0262085	0.033384	0.0272643	0.4005438	0.3574282	0.2979831	0.2319577	0.2031255	0.1969492	0.1545186	0.0529211	0.044385	0.0363549	0.0297547	0.0094301	0.0080578	0.0025055	0.0176366	0.0081587	0.0255047	0.0112405	0.0363059	0.0325807	0.0245663	0.0063802	0.0279682	0.0191595	0.0725336	0.0141131	0.1488406	0.2032062	0.0945102	0.0718374	0.0324656	0.0231829	0.2103718	0.0652886	0.0201338	0.4145586	0.1260957
