Mean_time	Mean_qlow	Mean_qup	Priors
t_n89_Mammalia	173.697	160.09	200.74	ST(1.642,0.425,12.652,1714.565)
t_n90_Lagomorpha	48.311	46.82	49.81	SN(0.474,0.008,0.293)
t_n91	30.837	26.96	34.41	0
t_n92	30.148	26.26	33.75	0
t_n93	29.29	25.4	32.93	0
t_n94	22.519	18.78	26.24	0
t_n95	13.077	10.43	15.93	0
t_n96	12.064	9.59	14.75	0
t_n97	10.974	8.67	13.5	0
t_n98	10.244	8.04	12.68	0
t_n99	8.776	6.82	10.98	0
t_n100	8.15	6.24	10.31	0
t_n101	4.645	3.35	6.2	0
t_n102	3.664	2.59	4.99	0
t_n103	0.919	0.56	1.42	0
t_n104	0.828	0.51	1.28	0
t_n105	0.728	0.44	1.13	0
t_n106	0.682	0.41	1.07	0
t_n107	2.834	1.96	3.94	0
t_n108	1.448	0.8	2.3	0
t_n109	0.403	0.23	0.66	0
t_n110	0.486	0.01	1.57	0
t_n111	3.179	2.09	4.56	0
t_n112	5.754	4.02	7.8	0
t_n113	10.278	8.05	12.75	0
t_n114	9.068	7.02	11.38	0
t_n115	7.288	5.59	9.23	0
t_n116	2.512	1.55	3.75	0
t_n117	1.887	1.09	2.94	0
t_n118	1.053	0.54	1.77	0
t_n119	0.342	0.09	0.76	0
t_n120	0.626	0.15	1.28	0
t_n121	2.012	1.11	3.18	0
t_n122	5.805	3.71	8.2	0
t_n123	4.38	2.63	6.62	0
t_n124	11.562	8.53	14.93	0
t_n125	10.817	7.88	14.12	0
t_n126	9.036	6.34	12.18	0
t_n127	4.379	2.65	6.65	0
t_n128	2.474	1.3	4.14	0
t_n129	0.464	0.07	1.26	0
t_n130	8.624	3.79	13.05	0
t_n131	27.784	23.67	31.65	0
t_n132	25.503	20.78	29.94	0
t_n133	11.576	6.42	18.39	0
t_n134	22.866	17.53	27.74	0
t_n135	24.916	20.33	29.26	0
t_n136	27.233	22.67	31.47	0
t_n137	11.799	8.14	16.12	0
t_n138	8.25	5.41	11.63	0
t_n139	5.698	3.47	8.54	0
t_n140	10.365	5.02	18.17	0
t_n141	18.258	13.61	23.59	0
t_n142	17.632	13.14	22.86	0
t_n143	14.449	10.63	19.14	0
t_n144	13.595	9.93	18.11	0
t_n145	8.147	5.59	11.26	0
t_n146	6.874	4.65	9.63	0
t_n147	6.282	4.2	8.88	0
t_n148	5.007	3.25	7.27	0
t_n149	1.43	0.77	2.44	0
t_n150	1.212	0.65	2.09	0
t_n151	1.034	0.54	1.79	0
t_n152	1.525	0.82	2.58	0
t_n153	2.102	1.08	3.59	0
t_n154	0.187	0.04	0.48	0
t_n155	1.426	0.68	2.59	0
t_n156	13.171	9.61	17.63	0
t_n157	9.569	6.89	12.86	0
t_n158	7.321	5.14	9.99	0
t_n159	6.38	4.46	8.75	0
t_n160	5.8	3.99	8.05	0
t_n161	4.51	3.01	6.43	0
t_n162	2.083	1.09	3.49	0
t_n163	5.246	3.46	7.49	0
t_n164	8.572	6.07	11.63	0
t_n165	14.048	10.05	19.11	0
t_n166	12.212	8.53	16.94	0
t_n167	7.552	4.77	10.97	0
t_n168	6.36	3.81	9.57	0
t_n169	0.729	0.21	1.68	0
t_n170	3.568	1.62	6.54	0
t_n171	4.159	2.21	7.1	0
t_n172	1.756	0.7	3.55	0
t_n173	10.228	7.05	14.56	0
t_n174_Monotremata	42.136	27.82	92.19	B(0.24459,1.332)
t_n175_Tachyglossidae	12.033	8.14	15.87	B(0.0258,1.332)
