t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175
run1	1.5999687	0.4680036	0.2668768	0.2601922	0.2517808	0.1854601	0.1021168	0.093717	0.084599	0.0784447	0.0663825	0.0606415	0.0324698	0.0250435	0.0053919	0.0049173	0.004318	0.0039771	0.0188721	0.0077413	0.0022077	0.0001505	0.0204894	0.0393735	0.0783056	0.0685589	0.0547376	0.0152689	0.0107884	0.0054193	0.0008602	0.0014578	0.0109504	0.0364101	0.0258907	0.0843398	0.0776638	0.0630496	0.0260891	0.0128493	0.000689800000000001	0.037043	0.2344713	0.2066597	0.0635085	0.1735184	0.2011588	0.2251065	0.0807572	0.0534353	0.0343869	0.0493381	0.1357671	0.1308931	0.1060188	0.0989812	0.0560863	0.046493	0.0419729	0.0326212	0.0077749	0.006483	0.005488	0.0082087	0.010762	0.0003493	0.0068404	0.0960161	0.0686079	0.0512424	0.0445635	0.0397738	0.0300379	0.0108781	0.0345252	0.0604141	0.1001952	0.0848322	0.0472737	0.0380316	0.002137	0.0164166	0.0219851	0.0070026	0.0704403	0.2782067	0.0830408
run2	1.6000878	0.4683193	0.2676312	0.2605504	0.2518899	0.1863548	0.1031457	0.0948813	0.0858307	0.0792629	0.0672247	0.0614774	0.0329622	0.0254962	0.0055591	0.0050026	0.0043829	0.0040663	0.0193285	0.0079925	0.0022507	0.0001411	0.0206641	0.0398025	0.0795079	0.0694166	0.0553273	0.0153194	0.0108106	0.005376	0.0008675	0.0013831	0.0111414	0.0370653	0.0261249	0.0845394	0.0780738	0.0630984	0.0262339	0.0130274	0.0007377	0.0375912	0.2348543	0.2069555	0.0644699	0.1743958	0.2027802	0.2255417	0.0814184	0.0541309	0.0349138	0.0495083	0.138092	0.1334667	0.1077893	0.1007035	0.0567696	0.0472034	0.0429601	0.0330444	0.007902	0.0065821	0.0054984	0.0083894	0.0110462	0.000356500000000001	0.0069106	0.0976499	0.070066	0.0520519	0.0452897	0.0405418	0.0306426	0.0109518	0.0351244	0.0616871	0.1020899	0.0863909	0.048094	0.0387036	0.0021166	0.0162577	0.0222669	0.007078	0.0718454	0.2784837	0.0832196
run3	1.6019181	0.4681406	0.2700679	0.2631496	0.2547117	0.1885101	0.1046618	0.0959095	0.0868009	0.080666	0.0683597	0.0625887	0.0337696	0.0261507	0.0057207	0.0051856	0.0045185	0.0041955	0.0197514	0.0081357	0.0023095	0.000144	0.0210449	0.0403265	0.0808132	0.0703917	0.0560837	0.0154474	0.0109343	0.0054491	0.0009001	0.0015424	0.0110867	0.0370835	0.0265138	0.0858366	0.0794015	0.0636926	0.0268029	0.0131351	0.000723000000000001	0.0379325	0.2373993	0.2080557	0.0645627	0.1756924	0.2036351	0.2273283	0.0818873	0.0541846	0.0349648	0.0499959	0.1359606	0.1316248	0.1065151	0.0992329	0.0556772	0.0464517	0.0419632	0.0324591	0.0076126	0.0063961	0.0053855	0.0082521	0.010835	0.0003511	0.0068823	0.0962657	0.0692685	0.0517093	0.0448782	0.0402222	0.0301618	0.0109334	0.0347269	0.0609345	0.1005555	0.0855146	0.0476799	0.0381873	0.0021433	0.0160801	0.0221036	0.0070584	0.070441	0.1684757	0.0320585
run4	1.6008771	0.4680812	0.2681503	0.2606558	0.2522872	0.1860666	0.1024511	0.0942397	0.0853774	0.0790758	0.0668488	0.0612801	0.0327568	0.0253376	0.005506	0.0049736	0.0043451	0.0040346	0.0192142	0.0079243	0.002252	0.000168	0.0207379	0.0398191	0.079191	0.0692637	0.0549715	0.0153886	0.0108739	0.0053676	0.0008672	0.0014296	0.011123	0.0367285	0.0260429	0.0842499	0.0777531	0.0627962	0.0262532	0.0128527	0.0007245	0.0371809	0.2353399	0.2063139	0.0644146	0.1738237	0.2019513	0.2246622	0.0808396	0.0538238	0.0342189	0.0500005	0.1343326	0.1300015	0.1052473	0.0982141	0.0551891	0.0458572	0.0415157	0.0321897	0.0076201	0.0063668	0.0053909	0.0081415	0.0107821	0.0003558	0.0067336	0.0950647	0.0680483	0.0505493	0.0437924	0.0393818	0.0295548	0.010794	0.0341426	0.0601707	0.0994944	0.0846659	0.0474957	0.0378712	0.0021082	0.0160534	0.0219667	0.0070662	0.0695861	0.2795031	0.0831282
run5	1.5990033	0.4680184	0.2688111	0.2619495	0.2537477	0.187118	0.1037595	0.0954798	0.0863213	0.0799663	0.0677672	0.0620716	0.0333561	0.0256837	0.0055731	0.0050411	0.004378	0.0040707	0.0194399	0.0079903	0.0022706	0.000149400000000001	0.0208207	0.0398834	0.0801557	0.0697892	0.0556966	0.0153698	0.0108442	0.0053809	0.0008758	0.0014752	0.0109617	0.036869	0.026266	0.0845729	0.0784084	0.0630859	0.0264089	0.0127764	0.00071	0.0383001	0.2359807	0.2073183	0.0640626	0.1749806	0.2029188	0.2258569	0.0812765	0.0537545	0.0345575	0.0503983	0.1352534	0.1307564	0.1056901	0.0987818	0.0555416	0.0463131	0.0418598	0.0324174	0.0076498	0.0063997	0.0054034	0.0082226	0.0106565	0.0003542	0.0067596	0.0952404	0.0687814	0.0509879	0.0443438	0.0396253	0.0298083	0.010981	0.0343631	0.0605171	0.1000063	0.0850784	0.0476573	0.0383032	0.0021022	0.0163239	0.022101	0.0071075	0.0704473	0.2729285	0.0778505
run6	1.6022975	0.4682566	0.2679513	0.2608012	0.2522851	0.1866492	0.1031921	0.0946334	0.085768	0.0795818	0.0674731	0.0614858	0.0332666	0.0257065	0.0055942	0.00505	0.0043845	0.0040481	0.0194748	0.0079618	0.0022662	0.0001469	0.0207108	0.0398233	0.0798278	0.0694961	0.055326	0.0152336	0.010704	0.0053767	0.0008855	0.0014315	0.0110467	0.0366288	0.0261559	0.0843774	0.0780728	0.062598	0.0262796	0.0129449	0.0007126	0.0366327	0.2355221	0.2065526	0.0631525	0.1739832	0.2023131	0.225052	0.0806703	0.0537171	0.0343925	0.0489991	0.1363006	0.1315506	0.1061392	0.0992943	0.0558081	0.0461612	0.0419308	0.0323391	0.0077105	0.0064687	0.005431	0.0082191	0.0107926	0.0003603	0.0068157	0.0957559	0.0688873	0.0511402	0.04459	0.0399299	0.0299933	0.010878	0.0347629	0.060218	0.1004972	0.0853784	0.0476835	0.0383164	0.0020803	0.0162467	0.0221232	0.0069562	0.0705498	0.279229	0.0820922
run7	1.59956	0.4681847	0.2683612	0.261295	0.2527186	0.187265	0.1041208	0.0959294	0.0869157	0.0804438	0.0683924	0.062601	0.0336867	0.0258889	0.0056302	0.0050913	0.0044575	0.0041213	0.0196491	0.0079484	0.0022507	0.0001437	0.0209748	0.0402282	0.0805887	0.0704289	0.0560034	0.0154898	0.0110961	0.0053586	0.0008647	0.0014532	0.0112053	0.0369872	0.0261448	0.0855812	0.0787534	0.0632164	0.0261813	0.0130256	0.0007378	0.0377608	0.2352158	0.2067329	0.0634981	0.1739644	0.2033335	0.2252554	0.0809927	0.0538161	0.0344948	0.0503459	0.1343525	0.1294471	0.1048023	0.0980046	0.0550131	0.045728	0.0414517	0.032	0.0076182	0.0063922	0.0053523	0.0081145	0.0107555	0.0003508	0.0066596	0.0948506	0.0681813	0.0506574	0.0441633	0.0395548	0.0298942	0.010801	0.0344935	0.0598603	0.0993669	0.0842384	0.0472907	0.0377236	0.0021144	0.016095	0.0218458	0.0069948	0.0699035	0.2787322	0.0845625
run8	1.6007835	0.4684298	0.2688543	0.2616836	0.2529793	0.1863311	0.1034337	0.095162	0.0859365	0.0798169	0.0676141	0.061637	0.0330498	0.0255669	0.0055282	0.0049661	0.0043397	0.0040293	0.0193742	0.0078401	0.0022039	0.0001475	0.020707	0.0398455	0.0800163	0.0696283	0.0552439	0.0152929	0.0108384	0.0054071	0.0008703	0.0014763	0.0110815	0.0368505	0.0261647	0.0849542	0.0783677	0.0634097	0.0265669	0.0130803	0.0007306	0.0380949	0.23577	0.2073178	0.0637738	0.1746077	0.2029394	0.2261801	0.0813884	0.0539368	0.034464	0.0495144	0.1331556	0.1289722	0.1042167	0.0976868	0.0547683	0.0455676	0.0411126	0.031722	0.0074933	0.0062953	0.0052867	0.0080828	0.0104804	0.0003475	0.0066117	0.0947544	0.0679577	0.050251	0.0439142	0.0394639	0.0297355	0.010762	0.0340499	0.0596155	0.0986383	0.0841118	0.0470101	0.037631	0.0020821	0.0160358	0.0216324	0.0069806	0.0695109	0.2798302	0.0845452
run9	1.5999048	0.4681566	0.2706994	0.2638303	0.2550993	0.188782	0.1049129	0.0964665	0.087441	0.0810339	0.068654	0.0628859	0.0339268	0.0262126	0.0057154	0.0051889	0.0045112	0.0041733	0.0198684	0.0081468	0.0022849	0.0001362	0.0211697	0.0406094	0.0810885	0.070716	0.0564454	0.0156117	0.01107	0.0054757	0.0009081	0.0014662	0.0111609	0.0374131	0.0265718	0.0855154	0.0787026	0.063246	0.0265615	0.0130555	0.0007241	0.0380217	0.2376591	0.2083584	0.0645925	0.1763644	0.2038461	0.2283885	0.081341	0.0543644	0.0349305	0.0498646	0.1364807	0.1317736	0.1066254	0.0996195	0.0558214	0.0462355	0.0418199	0.0324157	0.0076756	0.0064265	0.0053946	0.0082459	0.0107045	0.0003649	0.0067945	0.0963875	0.0692656	0.0515767	0.0449265	0.0402078	0.0302529	0.0108285	0.0347436	0.0609121	0.1007673	0.0855623	0.0478608	0.0380743	0.0021124	0.016233	0.0221462	0.0070127	0.0710876	0.2820269	0.0837757
run10	1.6033214	0.4682426	0.2703663	0.2636223	0.2548783	0.1886392	0.105114	0.0966666	0.0875499	0.0809513	0.0688382	0.0631511	0.0340239	0.0262662	0.0057365	0.0051752	0.0045229	0.004209	0.0199455	0.0080856	0.0023035	0.0001373	0.0212659	0.040717	0.0812806	0.0709604	0.056625	0.0157007	0.0110012	0.0054635	0.0008844	0.0014129	0.011217	0.0374373	0.0268505	0.086365	0.0799065	0.0641418	0.0268379	0.013118	0.0007342	0.0382174	0.2371387	0.2089878	0.0649018	0.1760687	0.2047321	0.2275649	0.0819204	0.0539752	0.0349775	0.0498469	0.1335014	0.1288302	0.1046391	0.0975293	0.0548359	0.0457279	0.0412335	0.0319599	0.0075598	0.0062874	0.0052691	0.0080141	0.0105818	0.0003456	0.0067152	0.0945598	0.0679796	0.050687	0.0440507	0.0393729	0.0295896	0.0107186	0.0341355	0.0597532	0.0985641	0.0834359	0.0469057	0.0373111	0.0020554	0.0158201	0.021778	0.0068948	0.0693748	0.2813622	0.0854226
