Mean_time	Mean_qlow	Mean_qup	Priors
t_n89_Mammalia	173.686	160.08	200.74	ST(1.642,0.425,12.652,1714.565)
t_n90_Lagomorpha	48.311	46.82	49.81	SN(0.474,0.008,0.293)
t_n91	30.832	26.95	34.41	0
t_n92	30.143	26.25	33.75	0
t_n93	29.285	25.39	32.93	0
t_n94	22.512	18.76	26.24	0
t_n95	13.071	10.42	15.92	0
t_n96	12.059	9.58	14.75	0
t_n97	10.969	8.67	13.49	0
t_n98	10.239	8.04	12.68	0
t_n99	8.772	6.82	10.97	0
t_n100	8.146	6.23	10.3	0
t_n101	4.642	3.35	6.2	0
t_n102	3.662	2.59	4.99	0
t_n103	0.918	0.56	1.42	0
t_n104	0.828	0.51	1.28	0
t_n105	0.728	0.44	1.13	0
t_n106	0.682	0.41	1.07	0
t_n107	2.832	1.96	3.94	0
t_n108	1.447	0.8	2.3	0
t_n109	0.403	0.23	0.66	0
t_n110	0.486	0.01	1.58	0
t_n111	3.178	2.09	4.56	0
t_n112	5.752	4.02	7.8	0
t_n113	10.273	8.05	12.74	0
t_n114	9.064	7.02	11.37	0
t_n115	7.285	5.59	9.23	0
t_n116	2.511	1.55	3.75	0
t_n117	1.886	1.09	2.94	0
t_n118	1.053	0.54	1.77	0
t_n119	0.342	0.09	0.76	0
t_n120	0.626	0.15	1.28	0
t_n121	2.011	1.11	3.18	0
t_n122	5.803	3.71	8.2	0
t_n123	4.378	2.63	6.62	0
t_n124	11.556	8.53	14.92	0
t_n125	10.811	7.87	14.12	0
t_n126	9.031	6.33	12.18	0
t_n127	4.376	2.65	6.64	0
t_n128	2.472	1.3	4.13	0
t_n129	0.464	0.07	1.26	0
t_n130	8.619	3.79	13.04	0
t_n131	27.779	23.66	31.65	0
t_n132	25.499	20.78	29.94	0
t_n133	11.574	6.42	18.39	0
t_n134	22.862	17.52	27.74	0
t_n135	24.912	20.32	29.26	0
t_n136	27.228	22.66	31.47	0
t_n137	11.795	8.13	16.11	0
t_n138	8.247	5.4	11.63	0
t_n139	5.697	3.47	8.54	0
t_n140	10.362	5.02	18.18	0
t_n141	18.264	13.61	23.6	0
t_n142	17.637	13.14	22.87	0
t_n143	14.453	10.63	19.14	0
t_n144	13.599	9.93	18.12	0
t_n145	8.15	5.59	11.27	0
t_n146	6.876	4.65	9.63	0
t_n147	6.285	4.2	8.88	0
t_n148	5.009	3.25	7.27	0
t_n149	1.431	0.77	2.44	0
t_n150	1.213	0.65	2.09	0
t_n151	1.034	0.54	1.79	0
t_n152	1.526	0.82	2.58	0
t_n153	2.103	1.08	3.59	0
t_n154	0.187	0.04	0.48	0
t_n155	1.427	0.68	2.59	0
t_n156	13.174	9.61	17.63	0
t_n157	9.571	6.89	12.86	0
t_n158	7.322	5.13	10	0
t_n159	6.382	4.46	8.76	0
t_n160	5.801	3.99	8.05	0
t_n161	4.511	3.01	6.44	0
t_n162	2.084	1.09	3.49	0
t_n163	5.246	3.46	7.49	0
t_n164	8.574	6.07	11.63	0
t_n165	14.053	10.05	19.12	0
t_n166	12.216	8.53	16.95	0
t_n167	7.554	4.76	10.97	0
t_n168	6.363	3.81	9.58	0
t_n169	0.729	0.21	1.68	0
t_n170	3.57	1.62	6.54	0
t_n171	4.161	2.21	7.1	0
t_n172	1.757	0.7	3.55	0
t_n173	10.23	7.05	14.57	0
t_n174_Monotremata	42.187	27.89	92.28	B(0.24459,1.332)
t_n175_Tachyglossidae	12.046	8.22	15.87	B(0.0258,1.332)
