t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175
run1	1.73606481859907	0.483000075276236	0.307143048227589	0.300242656957152	0.291609773811309	0.22374555980201	0.129498328568572	0.119412655587221	0.108592961706915	0.101324239058047	0.0867624343932803	0.0805068002449878	0.0456451128893555	0.0359428861706915	0.00897512965851707	0.00809422307884606	0.00711244253287336	0.00666480369981501	0.0277741606069697	0.0141657889755512	0.00394905338733063	0.00478786227688616	0.0313897159992	0.0568437380780961	0.101690714319284	0.089719395220239	0.0721207099745013	0.0248194734413279	0.0186609731913404	0.0104194788910554	0.00337313798310085	0.00621076245687716	0.0198365854657267	0.0574254972351382	0.043380183140843	0.114559379281036	0.107128911224439	0.089524020118994	0.043311781520924	0.0244390294935253	0.00455621924903755	0.0856168788860557	0.276613551692415	0.253815594715264	0.114935640772961	0.227566148962552	0.247991905179741	0.271088968886556	0.11727981300935	0.0819871284935753	0.0567034777911104	0.102843169641518	0.182633705584721	0.176311487900605	0.144396399420029	0.135798854947253	0.0813205461976901	0.0686125773961302	0.062697494860257	0.0500195271336433	0.0142958254687266	0.012118805539723	0.0103503485125744	0.0152005794260287	0.0209471699765012	0.00186421268436578	0.0141978167691615	0.131568529848508	0.0955809350632468	0.0730681484625769	0.0637017595170241	0.0578772672466377	0.0449998274186291	0.0208162811109445	0.0524219232788361	0.0855695377581121	0.140432494045298	0.121973160676966	0.0752957678766062	0.0634808701464927	0.00725142745362732	0.0356909237538123	0.0414973658517074	0.0175166483375831	0.102397502494875	0.418859542817859	0.120005227648618
run2	1.73420829146043	0.483215605899705	0.308037757967102	0.301188822863857	0.292551864101795	0.22478198679066	0.130389807014649	0.120266457572121	0.109350192735363	0.102051618229089	0.0874571765511724	0.0811999516974151	0.0462357192290385	0.0364363117094145	0.00911371468426579	0.00822392501874906	0.00722870380480976	0.00677497819109045	0.02817910099995	0.0143735535023249	0.00401224946252687	0.00480679227538623	0.0316331478276086	0.0573133115494225	0.102443695855207	0.0903990858357082	0.0726633153042348	0.0250161685865707	0.0187729681715914	0.0104837745262737	0.00339512385380731	0.00621455708214589	0.0200847209289536	0.0579120386430678	0.0437684290585471	0.115311424328784	0.107845635788211	0.0900707094845258	0.0436448313334333	0.0246550856657167	0.00465473991300435	0.0861427690515474	0.27753508459077	0.254805146887656	0.115809332588371	0.228474811864407	0.248928887455627	0.272100450737463	0.118020876101195	0.0825313871706415	0.057070102459877	0.10339282839358	0.184604985660717	0.178349889635518	0.146289155567222	0.137700812894355	0.0826680540472976	0.0697793427728614	0.063776087880606	0.0508389549072546	0.0145652613969302	0.0123353881955902	0.010514614959252	0.0155156712814359	0.0213443755412229	0.00189929378031098	0.0145591982850857	0.133411249332533	0.0968439408129594	0.0739994416129194	0.0645489513424329	0.0586834998550073	0.0456506429228539	0.0210863613619319	0.0530349585020749	0.0867385644617769	0.142181503454827	0.123561754057297	0.0763492973051347	0.0642799277036148	0.00737448602569872	0.0360342349682516	0.0420988739713014	0.0178253747462627	0.103304079496025	0.422359203854807	0.120529398925054
run3	1.73816109625019	0.482931630263487	0.307218058627069	0.300358075366232	0.29175179820009	0.223975241692915	0.129883141027949	0.119813698275086	0.108987894915254	0.101715669881506	0.0871566733463327	0.0809013462826859	0.0460912306634668	0.0363373135893205	0.00910512549372531	0.00821296346182691	0.00722389566021699	0.00676610461976901	0.0281099792310384	0.0143661564271786	0.00400156727663617	0.00484700691965402	0.031568400299985	0.0570660956552172	0.102042480115994	0.0900445450577471	0.0723867241937903	0.0250197207089646	0.018793691960402	0.0104971212339383	0.00339222644367782	0.00624766627168642	0.0200345749962502	0.0577602486575671	0.0435616281085946	0.114665977071146	0.107258995700215	0.0895845953902305	0.0434041875756212	0.0244417370931453	0.0045946183440828	0.085427707439628	0.27675864719264	0.254004988675566	0.11530257140643	0.227814465636718	0.248217345342733	0.271205722233888	0.117130269466527	0.0819837287635618	0.0565986209189541	0.103627438123094	0.182395896645168	0.176156330238488	0.144296002709865	0.135787363121844	0.0812802282485876	0.0686019409079546	0.0626917355932203	0.0499452583570821	0.0142512129093545	0.0120671313784311	0.0102892993700315	0.0152139081045948	0.0209773650317484	0.00188518792060397	0.0142036741362932	0.131586746832658	0.0954823365631718	0.0730160755362232	0.0636343536673166	0.0578370422978851	0.0449455750312484	0.020793807479626	0.052306379961002	0.0855274016149193	0.140286860011999	0.121957905844708	0.0754287103144843	0.0634612917554122	0.00727642821358932	0.03561979520024	0.0414670506374681	0.0174916720063997	0.102133386690665	0.418758175091245	0.119887548577571
run4	1.72953841735913	0.483078066451677	0.307949721503925	0.30099232080396	0.292381837493125	0.224660726388681	0.130496234038298	0.120339223288836	0.109424217119144	0.102156681380931	0.0875486031048448	0.081302010699465	0.046300483780811	0.0365291255187241	0.00915627268636568	0.00825452789360532	0.00725830628968552	0.00679836849657517	0.0282489060146993	0.0144119677566122	0.00402139471026449	0.00487910348982551	0.0317028163941803	0.057344196840158	0.102456009139543	0.0903892524573771	0.0725992466726664	0.0250030739713014	0.018804190480476	0.0105025678916054	0.00340531425928704	0.00624123096345183	0.0199678098345083	0.0579429255837208	0.0436823092945353	0.114940377111144	0.107533625183741	0.0898123178241088	0.0435215716764162	0.0245508781510924	0.0045877582120894	0.0859090391680416	0.277390735663217	0.254534699420029	0.115693630463477	0.228278944842758	0.248716590485476	0.271803629058547	0.117553893350332	0.082149002159892	0.0568539218939053	0.103311143552822	0.183285143752812	0.177041598470076	0.145155370896455	0.136567577051147	0.0818215169341533	0.0689838471626419	0.0630390381630919	0.0502663488875556	0.0143418289385531	0.0121568555722214	0.010365411219439	0.0153170815709215	0.021080187420629	0.00187993735813209	0.0143374983550822	0.132252459522024	0.0959798916154192	0.073460580880956	0.0639552711114444	0.0581258279636018	0.0452211861656917	0.0209215743512824	0.0524980010649468	0.0859658363931803	0.141168958262087	0.122758590495475	0.0759199230338483	0.0639819635968202	0.00731965287235638	0.0359535368631568	0.0418449593170341	0.0176367665266737	0.102453421743913	0.410361767841608	0.118583084910754
run5	1.74017949496025	0.482933831508425	0.306976672716364	0.300096171906405	0.291471989855507	0.223788968496575	0.129624263706815	0.119508797730113	0.108684280260987	0.101420308084596	0.0868747391030448	0.0806245623268837	0.0459126629868507	0.0362268523373831	0.00906133098345083	0.00817761530423479	0.00718888538073096	0.0067302405279736	0.0280201203039848	0.0143125975851207	0.00398179089045548	0.00476348536573171	0.0314803681015949	0.056883203819809	0.101799033438328	0.0898307527823609	0.0721286933353332	0.0248041382330883	0.0186338923853807	0.010404781460927	0.00339243471826409	0.00621116524173791	0.019889811219439	0.0575054072346383	0.0432609293935303	0.114641535513224	0.107253547857607	0.0895724800259987	0.043299601299935	0.0244960117044148	0.0045812804459777	0.0853354829708515	0.276484250027499	0.253756917774111	0.115046334923254	0.227715183110844	0.247994340107995	0.270993723573821	0.117085459472026	0.0818826565071746	0.0564619993300335	0.102318016564172	0.182549997750112	0.176322331338433	0.144486774836258	0.135905589230538	0.0813205224438778	0.068634117699115	0.0627307695515224	0.0499741880855957	0.0142813430828459	0.0120975738463077	0.0103163682015899	0.0151881866106695	0.0209898919654017	0.00186392294885256	0.0141992893505325	0.131641189215539	0.0955920728813559	0.0731142431078446	0.0637427739113044	0.0579501696165192	0.0450596920953952	0.0207814276486176	0.0523725923753812	0.0855726646067697	0.140497988660567	0.122015749572521	0.0753308648617569	0.0633978443177841	0.00725156630168492	0.0357202342732863	0.041635812519374	0.0175481600869957	0.102120121838908	0.418902129023549	0.119514176041198
run6	1.73605595737713	0.483002802444878	0.307228316899155	0.300372616564172	0.291765373766312	0.224095774471276	0.129792016089196	0.119709878081096	0.10887724720264	0.101607498220089	0.0870467993100345	0.0808658107694615	0.0460398817309135	0.0363177236038198	0.00909624727763612	0.00820638489075546	0.00721947417629119	0.00676143990300485	0.0280879458377081	0.0143226086145693	0.00398955141242938	0.00484870433978301	0.03152178260087	0.057150383020849	0.101991209284536	0.0899751176441178	0.0723298983650817	0.0248540782110894	0.0187065243787811	0.0104367859307035	0.00338884191290435	0.00622827672116394	0.0199160843857807	0.0577893110694465	0.0433263764611769	0.114795794560272	0.107308501469927	0.0897137610669467	0.0435362893555322	0.0245849709664517	0.00461750676966152	0.0856660789860507	0.276726345312734	0.253990792515374	0.115192981025949	0.227488197725114	0.248283287725614	0.271164238373081	0.117399809449528	0.0820500788260587	0.0565453910154492	0.103651562721864	0.182094932418379	0.175873058367082	0.144069693105345	0.135630455552222	0.081197488780561	0.0684986452977351	0.0626261005299735	0.0499020856707165	0.0142667377231138	0.0120872583070846	0.0103168269636518	0.015201880240988	0.0209967252937353	0.00187097088145593	0.0141866151342433	0.131370113739313	0.095462518279086	0.0730427423378831	0.0636782883555822	0.0578601900254987	0.0449323611019449	0.0207813790010499	0.0524000912054397	0.0855265716064197	0.140036847557622	0.121700959432028	0.0752385387530623	0.0634036614569271	0.00724630943452827	0.0354850261936903	0.0414291312884356	0.0174527449477526	0.101993386655667	0.420489417774111	0.120330020968952
run7	1.73647505358732	0.483048652852357	0.308130936058197	0.301246863836808	0.292676760071996	0.224788427103645	0.130111324978751	0.120021139443028	0.109199495960202	0.101927699160042	0.0873024947652617	0.0810548687965602	0.0461220257337133	0.0363568534073296	0.00908083048347583	0.00818839258037098	0.00719595371731413	0.00673965395730214	0.0281164913254337	0.0143379273386331	0.0039996802159892	0.00483422911854407	0.0316032277486126	0.0573008907454627	0.102279738988051	0.0902217646517674	0.0724916507324634	0.0249781008049598	0.0187504006849658	0.0104732020948953	0.00337961224438778	0.00621246576671166	0.0199892898355082	0.0577142696565172	0.0435461910954452	0.115416872016399	0.108028888735563	0.0902650549672516	0.0438208122843858	0.0247482319234038	0.004668598860057	0.0860719601819909	0.277642618349083	0.254993657292135	0.115238079976001	0.228374053817309	0.248976923448828	0.272019252742363	0.117814115834208	0.082463682560872	0.0569432698665067	0.103904070026499	0.180002833983301	0.173775440317984	0.142082925858707	0.13367874959252	0.0799981223438828	0.0674881266586671	0.0616450166141693	0.0491018790060497	0.0139748334633268	0.0118346676966152	0.0101098769111544	0.0149421721713914	0.0205701292635368	0.00183118925053747	0.0139495492775361	0.129670150957452	0.0943391921253937	0.0721867844907755	0.0628967231188441	0.0571470348082596	0.0444496980001	0.0204659284885756	0.0517517613569322	0.0845312542172891	0.138130260471976	0.120174447672616	0.0744349136343183	0.0626695158042098	0.00713740139493025	0.0350803433178341	0.040788283040848	0.0171929271286436	0.100859361521924	0.435208998060097	0.121638730918454
run8	1.73455653627819	0.483082261046948	0.309095750987451	0.302205148697565	0.293652742927854	0.225849912549373	0.131102330578471	0.120933045787711	0.110022168096595	0.102722902789861	0.088024678241088	0.0817922488825559	0.0466820646417679	0.0368409743512824	0.00925820555972201	0.00834909562521874	0.0073418781960902	0.00688112052897355	0.0284762115644218	0.0145718348282586	0.00405350523473826	0.00490883740312984	0.0319346977901105	0.0577472860056997	0.103051826078696	0.0909284505124744	0.0731172225188741	0.0252152234138293	0.0189657883305835	0.0105747644617769	0.00344313722313884	0.00628256874656267	0.0201971409929504	0.0581985582670866	0.0439698395830209	0.11582514920254	0.108352114739263	0.0905829223088846	0.0437679596520174	0.0247726797460127	0.00466288264586771	0.0864295318084096	0.278520635813209	0.255772425103745	0.115959661056947	0.22952660340483	0.249782711144443	0.273015649787511	0.118237972016399	0.0825262269986501	0.0570002827308635	0.103851373831308	0.182438645777711	0.17610343819309	0.144320528298585	0.13577555259237	0.0813204832358382	0.0685673426728664	0.0626445032448378	0.0499000700814959	0.0142371441677916	0.0120617394380281	0.0103007379631018	0.0152278773761312	0.0209900476276186	0.00187406530673466	0.0142319189240538	0.131525506524674	0.095565813459327	0.0730829348582571	0.0636902444877756	0.0579022668116594	0.04499318680066	0.0207958722413879	0.0523513720013999	0.0855721930303485	0.140272831913404	0.121995895245238	0.0755218858857057	0.0637014815459227	0.00732030254987251	0.0356106450827459	0.0414962572521374	0.0174936959752012	0.102218365656717	0.42406362779861	0.121074465621719
run9	1.742509459937	0.483051508534573	0.308985423343833	0.302054063161842	0.293497326968652	0.225862061586921	0.131250680480976	0.121130617364132	0.110235435148243	0.102937529658517	0.0882449100044998	0.0819668003249838	0.0468551057247138	0.0369642350282486	0.0092951782360882	0.00838008818059097	0.00737247440127994	0.00690731012449378	0.0285920025698715	0.0146121413179341	0.00407081226938653	0.0048726617719114	0.0320197252037398	0.0578716914154292	0.103239779341033	0.0910440257937103	0.073244587060647	0.0251985424778761	0.0189160565921704	0.0105478396530173	0.00343195389730513	0.00629073820308985	0.0201642358982051	0.0582813828158592	0.0439695264736763	0.116293064441778	0.10885419660017	0.0908953116144193	0.0439885858107095	0.0249400424828759	0.0046844613619319	0.0867860331683416	0.278407425748713	0.255631126448678	0.11589098939553	0.229190783240838	0.249682377866107	0.272826220483976	0.118229228143593	0.0826953835708215	0.0571671472776361	0.104211881185941	0.179935942627869	0.173672949507525	0.14222699179041	0.133777943777811	0.080148503279836	0.0676115209989501	0.0618014818059097	0.0492382629518524	0.0140284553822309	0.0118847626518674	0.0101363905554722	0.0150038540222989	0.0206130393130343	0.00184277297135143	0.0139941387730613	0.129766285015749	0.0943664989100545	0.0722209781710915	0.0629406575571221	0.0572350024948753	0.0445237106294685	0.0205699630868457	0.0517466859157042	0.0845091386380681	0.138389812259387	0.120311725678716	0.074472287960602	0.0626644740012999	0.00721027482625869	0.0350410353282336	0.041008412459377	0.0172702033748313	0.1009716059947	0.436314592925354	0.122327186280686
run10	1.73954540271986	0.483155431853407	0.307939967911604	0.301053992775361	0.292419113074346	0.224763893230338	0.130615729693515	0.120461424288786	0.109563217699115	0.10227605839708	0.0876595062246888	0.0814251026298685	0.0464130337983101	0.0366303478126094	0.00919629074046298	0.00830254613769311	0.00730273773311334	0.00683608377581121	0.0283462233538323	0.0144647159092045	0.00403044172291385	0.00487493132343383	0.0317774791660417	0.0574545191340433	0.102592001119944	0.0905044681365932	0.072738491840408	0.0250992504774761	0.0188614708414579	0.0105296279686016	0.00342947394630268	0.00628074307284636	0.020108783920804	0.0579366617969102	0.0436757146842658	0.115224127823609	0.107813142442878	0.090044291460427	0.0436399327483626	0.0246707347232638	0.00465609326533673	0.0859897725413729	0.277385656967152	0.254658330288486	0.115609473951302	0.228225108964552	0.248742360316984	0.271950006819659	0.117637405839708	0.0821817836158192	0.0566749195890206	0.10318433939303	0.183931762451877	0.177649704469777	0.145625067081646	0.137078438818059	0.0822528187290636	0.0694260962301885	0.0634635674516274	0.0506228043347833	0.0145121372031398	0.0123022565671716	0.0104839416779161	0.0153910702414879	0.0212910400979951	0.00189970200489975	0.0144285508874556	0.132711741047948	0.0963753958852057	0.0737563060946953	0.0642957554472276	0.058471487520624	0.0454730855107245	0.0209934114544273	0.0528780193940303	0.0863470118544073	0.14165645300235	0.123226755452227	0.0762201995950202	0.0642157873456327	0.00737684317284136	0.036103111819409	0.0419727259437028	0.0178083795060247	0.102812365686716	0.408953221973901	0.120010977266137
