Mean_time	Mean_qlow	Mean_qup	Priors
t_n432_Mammalia	180.35	161.95	216.08	ST(1.642,0.425,12.652,1714.565)
t_n433_Artiodactyla	57.902	56.88	59.08	ST(0.577,0.007,-0.634,7.509)
t_n434_Artiofabula	55.026	54.19	55.86	ST(0.554,0.008,-0.964,7.343)
t_n435_Cetruminantia	50.885	50.21	51.66	ST(0.507,0.009,-1.513,6.294)
t_n436_Ruminantia	42.943	40.68	44.89	NA
t_n437	31.116	29.03	33.24	0
t_n438	28.875	26.96	30.88	0
t_n439	26.965	25.22	28.85	0
t_n440_Bovidae	23.797	22.39	25.42	ST(0.149,0.025,5.863,624.148)
t_n441_Aegodontia	21.157	19.79	22.78	NA
t_n442	19.654	18.5	21.08	0
t_n443	17.19	16.24	18.41	0
t_n444	14.896	13.84	16.08	0
t_n445_Caprinae	12.821	11.78	13.94	B(0.089,0.16)
t_n446_O.aries-C.hircus	11.427	10.43	12.47	ST(0.059,0.016,3.225,169.672)
t_n447	10.681	9.64	11.76	0
t_n448	8.492	7.46	9.57	0
t_n449	5.61	4.7	6.61	0
t_n450	5.194	4.32	6.17	0
t_n451	3.06	2.44	3.81	0
t_n452	2.764	2.19	3.46	0
t_n453	1.934	1.49	2.47	0
t_n454	1.863	1.43	2.39	0
t_n455	1.072	0.65	1.6	0
t_n456	1.088	0.72	1.53	0
t_n457	0.55	0.32	0.86	0
t_n458	0.329	0.21	0.48	0
t_n459	1.434	0.78	2.18	0
t_n460	1.278	0.86	1.81	0
t_n461	1.108	0.74	1.58	0
t_n462	9.949	8.88	11.04	0
t_n463	9.418	8.33	10.54	0
t_n464	2.189	1.59	2.87	0
t_n465	0.599	0.27	1.06	0
t_n466	0.428	0.12	0.86	0
t_n467	0.2	0.01	0.54	0
t_n468	1.235	0.86	1.69	0
t_n469	0.401	0.02	0.99	0
t_n470	0.069	0.03	0.13	0
t_n471	8.678	7.5	9.88	0
t_n472	0.59	0.2	1.19	0
t_n473	6.802	5.7	7.91	0
t_n474	6.718	5.82	7.66	0
t_n475	4.423	3.69	5.23	0
t_n476	2.73	2.14	3.45	0
t_n477	2.374	1.76	3.07	0
t_n478	1.674	1.03	2.41	0
t_n479	1.151	0.39	1.98	0
t_n480	0.83	0.14	1.69	0
t_n481	0.844	0.57	1.18	0
t_n482	0.1	0	0.35	0
t_n483	1.55	0.9	2.29	0
t_n484	0.652	0.23	1.24	0
t_n485	0.545	0.17	1.09	0
t_n486	4.156	3.44	4.95	0
t_n487	3.223	2.59	3.93	0
t_n488	1.599	0.88	2.42	0
t_n489	1.181	0.51	1.98	0
t_n490	0.62	0.19	1.15	0
t_n491	2.432	1.31	3.83	0
t_n492	1.02	0.31	1.97	0
t_n493	0.171	0	0.61	0
t_n494	5.657	4.58	6.75	0
t_n495	2.518	1.69	3.59	0
t_n496	1.582	1.04	2.24	0
t_n497	0.739	0.27	1.37	0
t_n498	0.132	0	0.48	0
t_n499	7.542	6.36	8.78	0
t_n500	6.268	5.2	7.41	0
t_n501	3.363	2.57	4.25	0
t_n502	2.342	1.74	3.03	0
t_n503	0.845	0.49	1.33	0
t_n504	0.574	0.37	0.85	0
t_n505	0.502	0.31	0.75	0
t_n506	5.595	4.6	6.69	0
t_n507	1.768	1.28	2.35	0
t_n508	0.191	0.04	0.44	0
t_n509	2.616	2.02	3.37	0
t_n510_Hippotragini-Alcelaphini	16.495	15.62	17.65	B(0.0648,0.16)
t_n511_Hippotraginae	11.123	9.74	12.45	NA
t_n512	6.59	5.39	7.81	0
t_n513	4.232	3.25	5.31	0
t_n514	3.253	2.42	4.21	0
t_n515	2.556	1.89	3.41	0
t_n516	9.29	7.82	10.73	0
t_n517	0.277	0.14	0.47	0
t_n518_Alcelaphini	10.709	9.16	12.17	B(0.0505,0.16)
t_n519	7.471	6.11	8.89	0
t_n520	5.921	4.71	7.21	0
t_n521	4.805	3.74	5.98	0
t_n522	0.744	0.24	1.57	0
t_n523	2.043	1.36	2.85	0
t_n524	19.293	18.11	20.72	0
t_n525	19.016	17.81	20.44	0
t_n526_Antilopinae	16.18	14.85	17.49	NA
t_n527	15.866	14.51	17.17	0
t_n528	14.904	13.51	16.22	0
t_n529	12.45	11.11	13.75	0
t_n530	11.359	10.06	12.67	0
t_n531	7.607	6.5	8.79	0
t_n532	6.777	5.74	7.88	0
t_n533	2.989	2.36	3.69	0
t_n534	2.368	1.84	2.97	0
t_n535	2.174	1.68	2.73	0
t_n536	0.366	0.24	0.53	0
t_n537	0.246	0.13	0.4	0
t_n538	0.622	0.31	1.02	0
t_n539	2.294	1.77	2.89	0
t_n540	1.63	1.05	2.27	0
t_n541	0.278	0.18	0.41	0
