Mean_time	Mean_qlow	Mean_qup	Priors
t_n432_Mammalia	180.091	161.93	214.75	ST(1.642,0.425,12.652,1714.565)
t_n433_Artiodactyla	57.903	56.88	59.08	ST(0.577,0.007,-0.634,7.509)
t_n434_Artiofabula	55.026	54.19	55.86	ST(0.554,0.008,-0.964,7.343)
t_n435_Cetruminantia	50.886	50.21	51.66	ST(0.507,0.009,-1.513,6.294)
t_n436_Ruminantia	42.944	40.69	44.88	NA
t_n437	31.117	29.04	33.24	0
t_n438	28.876	26.96	30.89	0
t_n439	26.966	25.23	28.86	0
t_n440_Bovidae	23.799	22.39	25.42	ST(0.149,0.025,5.863,624.148)
t_n441_Aegodontia	21.16	19.79	22.78	NA
t_n442	19.657	18.5	21.09	0
t_n443	17.194	16.24	18.42	0
t_n444	14.899	13.84	16.09	0
t_n445_Caprinae	12.824	11.78	13.94	B(0.089,0.16)
t_n446_O.aries-C.hircus	11.43	10.43	12.48	ST(0.059,0.016,3.225,169.672)
t_n447	10.684	9.64	11.76	0
t_n448	8.495	7.46	9.58	0
t_n449	5.613	4.7	6.62	0
t_n450	5.197	4.32	6.18	0
t_n451	3.062	2.44	3.82	0
t_n452	2.766	2.19	3.46	0
t_n453	1.936	1.49	2.47	0
t_n454	1.865	1.43	2.39	0
t_n455	1.073	0.65	1.6	0
t_n456	1.089	0.72	1.53	0
t_n457	0.551	0.32	0.86	0
t_n458	0.329	0.21	0.48	0
t_n459	1.435	0.78	2.18	0
t_n460	1.278	0.86	1.81	0
t_n461	1.109	0.74	1.58	0
t_n462	9.952	8.89	11.04	0
t_n463	9.421	8.33	10.54	0
t_n464	2.19	1.59	2.87	0
t_n465	0.599	0.27	1.06	0
t_n466	0.428	0.12	0.86	0
t_n467	0.2	0.01	0.54	0
t_n468	1.235	0.86	1.69	0
t_n469	0.401	0.02	0.99	0
t_n470	0.069	0.03	0.13	0
t_n471	8.681	7.51	9.88	0
t_n472	0.59	0.2	1.19	0
t_n473	6.805	5.7	7.9	0
t_n474	6.719	5.82	7.66	0
t_n475	4.424	3.69	5.23	0
t_n476	2.73	2.14	3.45	0
t_n477	2.374	1.76	3.07	0
t_n478	1.673	1.03	2.41	0
t_n479	1.151	0.39	1.98	0
t_n480	0.829	0.15	1.69	0
t_n481	0.844	0.57	1.18	0
t_n482	0.1	0	0.35	0
t_n483	1.55	0.9	2.29	0
t_n484	0.652	0.23	1.24	0
t_n485	0.544	0.17	1.09	0
t_n486	4.157	3.43	4.95	0
t_n487	3.224	2.59	3.93	0
t_n488	1.6	0.88	2.42	0
t_n489	1.182	0.51	1.98	0
t_n490	0.621	0.19	1.16	0
t_n491	2.432	1.31	3.83	0
t_n492	1.02	0.31	1.97	0
t_n493	0.172	0	0.61	0
t_n494	5.658	4.58	6.75	0
t_n495	2.518	1.68	3.59	0
t_n496	1.583	1.04	2.24	0
t_n497	0.74	0.26	1.37	0
t_n498	0.132	0	0.48	0
t_n499	7.543	6.36	8.78	0
t_n500	6.269	5.2	7.41	0
t_n501	3.362	2.57	4.24	0
t_n502	2.341	1.74	3.03	0
t_n503	0.845	0.49	1.33	0
t_n504	0.574	0.37	0.85	0
t_n505	0.502	0.31	0.75	0
t_n506	5.596	4.6	6.68	0
t_n507	1.769	1.29	2.35	0
t_n508	0.191	0.04	0.44	0
t_n509	2.616	2.02	3.37	0
t_n510_Hippotragini-Alcelaphini	16.498	15.62	17.66	B(0.0648,0.16)
t_n511_Hippotraginae	11.125	9.74	12.45	NA
t_n512	6.59	5.39	7.81	0
t_n513	4.232	3.25	5.31	0
t_n514	3.253	2.42	4.21	0
t_n515	2.556	1.89	3.41	0
t_n516	9.292	7.82	10.73	0
t_n517	0.277	0.14	0.47	0
t_n518_Alcelaphini	10.712	9.17	12.17	B(0.0505,0.16)
t_n519	7.474	6.12	8.89	0
t_n520	5.923	4.72	7.21	0
t_n521	4.807	3.75	5.98	0
t_n522	0.745	0.24	1.57	0
t_n523	2.044	1.36	2.85	0
