Mean_time	Mean_qlow	Mean_qup	Priors
t_n635_Mammalia	175.147	160.56	204.59	ST(1.642,0.425,12.652,1714.565)
t_n636_Chiroptera	60.015	57.7	62.54	ST(0.596,0.016,-1.239,13.572)
t_n637	54.125	51.29	56.96	0
t_n638_Natalidae-Vespertilionidae+Miniopteridae+Molossidae	52.474	49.6	55.38	B(0.38,0.56)
t_n639_Molossidae-Vespertilionidae+Miniopteridae	51.239	48.32	54.15	B(0.38,0.56)
t_n640	47.204	44.12	50.3	0
t_n641	43.635	40.2	47	0
t_n642	36.283	32.77	40.02	0
t_n643	35.043	31.49	38.78	0
t_n644	33.752	30.29	37.44	0
t_n645	32.571	29.25	36.16	0
t_n646	31.213	27.99	34.7	0
t_n647	29.675	26.57	32.97	0
t_n648	24.576	21.63	27.71	0
t_n649	22.991	20.1	26.12	0
t_n650	21.831	18.95	24.95	0
t_n651	19.49	16.7	22.58	0
t_n652	18.7	15.89	21.78	0
t_n653	15.981	13.26	18.96	0
t_n654	12.16	9.7	14.95	0
t_n655	8.05	5.97	10.43	0
t_n656	7.154	5.2	9.4	0
t_n657	3.253	1.67	5.27	0
t_n658	2.395	1.12	4.17	0
t_n659	2.991	1.79	4.58	0
t_n660	2.4	1.38	3.78	0
t_n661	7.056	4.68	9.71	0
t_n662	4.361	2.61	6.58	0
t_n663	2.426	0.5	4.85	0
t_n664	13.147	10.51	16.2	0
t_n665	7.709	5.43	10.42	0
t_n666	0.079	0	0.34	0
t_n667	13.971	10.71	17.41	0
t_n668	18.433	15.69	21.49	0
t_n669	16.134	12.61	19.76	0
t_n670	14.481	11.67	17.63	0
t_n671	13.167	10.44	16.31	0
t_n672	11.895	9.33	14.88	0
t_n673	6.062	4.03	8.45	0
t_n674	4.574	2.76	6.79	0
t_n675	6.12	3.55	9.03	0
t_n676	11.323	8.34	14.72	0
t_n677	7.259	4.81	10.12	0
t_n678	12.281	9.47	15.97	0
t_n679	11.35	8.84	14.43	0
t_n680	9.104	6.33	12.31	0
t_n681	7.597	4.63	10.89	0
t_n682	7.607	4.84	10.75	0
t_n683	8.534	5.79	11.65	0
t_n684	21.134	18.18	24.33	0
t_n685	19.27	16.46	22.34	0
t_n686	17.899	15.23	20.84	0
t_n687	16.051	13.44	18.91	0
t_n688	15.208	12.58	18.08	0
t_n689	12.618	10.12	15.5	0
t_n690	9.463	6.6	12.63	0
t_n691	2.066	0.96	3.72	0
t_n692	1.485	0.63	2.81	0
t_n693	6.306	4.13	8.83	0
t_n694	3.776	1.95	6.1	0
t_n695	12.406	8.81	16.22	0
t_n696	11.753	9.42	14.48	0
t_n697	9.204	6.59	12.18	0
t_n698	3.111	1.49	5.36	0
t_n699	0.681	0.31	1.24	0
t_n700	0.444	0.08	0.97	0
t_n701	15.652	12.37	18.95	0
t_n702	10.544	7.91	13.33	0
t_n703	7.81	5.66	10.19	0
t_n704	7.069	5.03	9.35	0
t_n705	4.752	3.15	6.7	0
t_n706	2.884	0.96	5.18	0
t_n707	12.852	8.6	17.41	0
t_n708	11.19	6.96	15.91	0
t_n709	25.801	22.92	28.75	0
t_n710	24.939	22.09	27.84	0
t_n711	24.493	21.68	27.4	0
t_n712	22.5	19.7	25.43	0
t_n713	19.691	16.86	22.62	0
t_n714	18.252	15.06	21.47	0
t_n715	10.875	7.63	14.34	0
t_n716	9.94	6.88	13.17	0
t_n717	8.726	6	11.57	0
t_n718	7.429	4.84	10.22	0
t_n719	6.421	3.66	9.36	0
t_n720	3.823	1.03	7.24	0
t_n721	2.798	0.37	6.27	0
t_n722	6.473	3.94	9.28	0
t_n723	0.428	0.02	1.35	0
t_n724	2.265	0.15	6.84	0
t_n725	12.916	10.22	15.96	0
t_n726	10.519	7.93	13.42	0
t_n727	2.789	1.42	4.71	0
t_n728	1.909	0.87	3.43	0
t_n729	7.177	4.79	9.9	0
t_n730	15.356	11.52	18.99	0
t_n731	23.329	20.34	26.32	0
t_n732	19.823	16.38	23.3	0
t_n733	18.223	14.84	21.71	0
t_n734	12.577	9.44	16.15	0
t_n735	8.667	5.74	12.08	0
t_n736	4.761	2.53	7.59	0
t_n737	10.616	7.17	14.33	0
t_n738	6.485	3.51	10.2	0
t_n739	18.788	14.27	22.82	0
t_n740	25.982	21.97	29.82	0
t_n741	31.572	28.32	35.19	0
t_n742	31.12	27.86	34.77	0
t_n743	28.937	25.86	32.39	0
t_n744	26.224	23	29.68	0
t_n745	18.621	15.14	22.3	0
t_n746	15.113	11.71	18.65	0
t_n747	12.623	9.73	15.97	0
t_n748	6.473	3.37	10.16	0
t_n749	0.506	0.09	1.27	0
t_n750	10.805	6.87	15.27	0
t_n751	10.345	7.4	13.72	0
t_n752	4.392	2.3	7.13	0
t_n753	8.41	4.9	12.44	0
t_n754	26.592	23.4	30.12	0
t_n755	9.979	6.49	14.13	0
t_n756	2.098	1.11	3.58	0
t_n757	1.814	0.87	3.21	0
t_n758	16.733	11.61	21.43	0
t_n759	9.524	5.93	13.81	0
t_n760	27.89	24.2	31.84	0
t_n761	23.657	20.12	27.15	0
t_n762	19.281	15.7	22.89	0
t_n763	12.395	9.54	15.7	0
t_n764	8.398	5.97	11.23	0
t_n765	7.026	4.63	9.72	0
t_n766	5.932	3.58	8.64	0
t_n767	4.766	2.48	7.45	0
t_n768	8.41	5.93	11.41	0
t_n769	1.301	0.37	3.01	0
t_n770	15.868	11.58	19.94	0
t_n771	22.739	19.32	26.19	0
t_n772	19.954	14.84	24.82	0
t_n773	15.735	12.42	19.06	0
t_n774	10.678	8.38	13.14	0
t_n775	7.54	5.65	9.68	0
t_n776	5.465	3.84	7.36	0
t_n777	20.69	17.06	24.37	0
t_n778	4.407	2.32	7.22	0
t_n779	13.298	9.67	17.57	0
t_n780	9.947	7	13.45	0
t_n781	7.733	5.33	10.65	0
t_n782	6.725	4.43	9.5	0
t_n783	5.561	3.69	7.85	0
t_n784	4.666	3.03	6.76	0
t_n785	4.175	2.68	6.08	0
t_n786	1.893	0.78	3.51	0
t_n787	1.399	0.71	2.41	0
t_n788	3.431	1.83	5.45	0
t_n789	0.37	0.04	1.05	0
t_n790	33.251	29.74	37.06	0
t_n791	31.579	28.11	35.44	0
