Mean_time	Mean_qlow	Mean_qup	Priors
t_n660_Mammalia	183.117	162.66	220.78	ST(1.642,0.425,12.652,1714.565)
t_n661_Laurasiatheria	73.792	71.39	76.29	ST(0.694,0.006,0.431,4.953)
t_n662_Scrotifera	70.065	68.27	71.79	ST(0.678,0.006,0.37,4.464)
t_n663	68.476	66.84	69.93	0
t_n664_Fereungulata	66.661	65.21	67.65	ST(0.671,0.005,0.355,4.329)
t_n665_Carnivora	51.711	49.67	53.7	ST(0.538,0.027,-2.115,70.375)
t_n666_Caniformia	46.16	44.24	48.07	ST(0.467,0.031,-1.966,117.012)
t_n667_Arctoidea	39.685	37.77	41.36	ST(0.397,0.031,-1.415,427.391)
t_n668	34.723	32.64	36.24	0
t_n669_Mustelidae-Procyonidae	31.879	29.79	33.15	B(0.276,0.309)
t_n670	23.007	20.67	24.89	0
t_n671	20.019	17.83	21.86	0
t_n672	18.829	16.71	20.6	0
t_n673	17.453	15.45	19.18	0
t_n674	16.12	14.24	17.76	0
t_n675	15.314	13.48	16.93	0
t_n676	14.674	12.85	16.31	0
t_n677	14.435	12.6	16.08	0
t_n678	12.368	10.71	13.89	0
t_n679	9.84	8.42	11.25	0
t_n680	9.219	7.71	10.69	0
t_n681	7.12	5.71	8.55	0
t_n682	5.419	3.92	6.97	0
t_n683	2.751	1.72	3.98	0
t_n684	2.948	1.91	4.15	0
t_n685	0.025	0	0.09	0
t_n686	5.289	3.98	6.65	0
t_n687	2.795	1.81	3.94	0
t_n688	1.126	0.45	2.03	0
t_n689	5.757	3.82	7.78	0
t_n690	5.354	3.51	7.37	0
t_n691	9.462	7.49	11.4	0
t_n692	8.524	6.61	10.42	0
t_n693	7.262	5.27	9.28	0
t_n694	11.627	10.07	13.1	0
t_n695	9.788	8.4	11.16	0
t_n696	7.355	6.19	8.55	0
t_n697	5.437	4.51	6.43	0
t_n698	2.837	2.22	3.52	0
t_n699	1.818	1.42	2.28	0
t_n700	1.045	0.79	1.35	0
t_n701	0.713	0.53	0.94	0
t_n702	0.645	0.46	0.87	0
t_n703	0.058	0.02	0.11	0
t_n704	3.813	3.08	4.61	0
t_n705	9.042	7.57	10.46	0
t_n706	5.423	4.12	6.82	0
t_n707	6.824	5.6	8.11	0
t_n708	4.58	3.07	6.2	0
t_n709	3.306	1.91	4.99	0
t_n710	4.507	2.89	6.57	0
t_n711	2.122	1.46	2.97	0
t_n712	14.302	12.28	16.08	0
t_n713	12.667	10.75	14.44	0
t_n714	11.505	9.67	13.22	0
t_n715	6.727	5.4	8.09	0
t_n716	3.59	2.76	4.53	0
t_n717	2.608	1.96	3.36	0
t_n718	0.74	0.37	1.23	0
t_n719	1.58	1.15	2.09	0
t_n720	0.414	0.14	0.81	0
t_n721	0.333	0.1	0.69	0
