Mean_time	Mean_qlow	Mean_qup	Priors
t_n308_Mammalia	175.916	160.76	206.29	ST(1.642,0.425,12.652,1714.565)
t_n309_Marsupialia	53.68	49.32	58.93	B(0.476,1.313)
t_n310_Didelphimorphia-Australidelphia	48.08	44.97	51.52	ST(0.562,0.08,0.035,299.837)
t_n311_Australidelphia	42.946	40.66	45.42	NA
t_n312_Eometatheria	41.742	39.62	44.05	ST(0.459,0.068,0.025,623.433)
t_n313_Polyprotodontia	41.228	39.14	43.48	NA
t_n314	40.436	38.4	42.63	0
t_n315	29.153	26.82	31.48	0
t_n316_Peramelidae	20.674	18.2	23	B(0.0436,0.238) 
t_n317	12.813	10.64	14.93	0
t_n318	10.438	8.49	12.42	0
t_n319	4.27	3.2	5.51	0
t_n320	2.17	0.98	3.83	0
t_n321	0.905	0.54	1.4	0
t_n322	0.763	0.45	1.19	0
t_n323	0.579	0.23	1.01	0
t_n324	0.35	0.06	0.75	0
t_n325	0.557	0.28	0.92	0
t_n326	1.947	0.79	3.37	0
t_n327	8.412	5.66	10.96	0
t_n328	6.396	3.6	9.24	0
t_n329	7.207	5.31	9.28	0
t_n330	4.69	3.48	6.09	0
t_n331	18.82	16.35	21.14	0
t_n332	13.637	11.51	15.71	0
t_n333	10.996	9.09	12.93	0
t_n334	8.691	6.64	10.84	0
t_n335	7.792	5.9	9.83	0
t_n336	6.299	4.78	7.98	0
t_n337	0.788	0.13	1.94	0
t_n338	4.96	2.4	7.18	0
t_n339	8.995	6.49	11.67	0
t_n340	5.934	4.32	7.74	0
t_n341	1.691	1.05	2.52	0
t_n342	0.894	0.38	1.61	0
t_n343	8.848	6.48	11.4	0
t_n344_Dasyuromorphia	28.918	26.44	30.88	B(0.1597,0.33)
t_n345_Dasyuridae	22.986	20.78	24.74	NA
t_n346	19.187	17.16	20.93	0
t_n347	13.901	12.15	15.51	0
t_n348	13.081	11.39	14.66	0
t_n349	11.664	10.08	13.18	0
t_n350	10.922	9.39	12.41	0
t_n351	9.629	8.19	11.06	0
t_n352	4.932	3.78	6.21	0
t_n353	2.312	1.54	3.26	0
t_n354	1.172	0.71	1.78	0
t_n355	9.765	8.3	11.24	0
t_n356	12.015	10.38	13.57	0
t_n357	9.089	7.46	10.74	0
t_n358	6.661	5.19	8.24	0
t_n359	2.791	1.97	3.77	0
t_n360	1.241	0.78	1.84	0
t_n361	12.165	10.54	13.71	0
t_n362	10.499	9.01	11.95	0
t_n363	8.663	7.33	10.01	0
t_n364	6.797	5.54	8.11	0
t_n365	5.831	4.65	7.1	0
t_n366	5.091	4	6.28	0
t_n367	1.932	1.34	2.66	0
t_n368	0.08	0.01	0.21	0
t_n369	7.162	5.87	8.51	0
t_n370	13.842	12.06	15.48	0
t_n371	10.379	8.81	11.93	0
t_n372	8.21	6.83	9.62	0
t_n373	7.318	5.98	8.7	0
t_n374	6.598	5.31	7.96	0
t_n375	4.965	3.88	6.15	0
t_n376	4.453	3.43	5.59	0
t_n377	5.917	4.39	7.59	0
t_n378	12.942	11.2	14.56	0
t_n379	9.864	8.37	11.34	0
t_n380	7.486	6.21	8.8	0
t_n381	4.648	3.71	5.68	0
t_n382	3.539	2.3	4.81	0
t_n383	9.003	7.55	10.47	0
t_n384	8.053	6.57	9.58	0
t_n385	19.816	17.74	21.61	0
t_n386	16.256	14.4	17.97	0
t_n387	15.043	13.27	16.71	0
t_n388	13.294	11.56	14.97	0
t_n389	12.47	10.78	14.11	0
t_n390	7.952	6.43	9.55	0
t_n391	6.51	5.05	8.07	0
t_n392	5.699	4.41	7.11	0
t_n393	5.348	4.07	6.75	0
t_n394	4.146	3.03	5.42	0
t_n395	3.278	1.85	4.73	0
t_n396	1.742	0.97	2.77	0
t_n397	10.837	9.14	12.54	0
t_n398	9.221	7.3	11.14	0
t_n399	6.708	5.15	8.41	0
t_n400	13.974	12.27	15.59	0
t_n401	13.549	11.81	15.19	0
t_n402	5.587	3.97	7.42	0
t_n403	11.999	10.07	13.84	0
t_n404	10.304	8.55	12.07	0
t_n405	7.851	6.16	9.61	0
t_n406	13.809	12.06	15.47	0
t_n407	9.742	8.02	11.5	0
t_n408	7.116	5.66	8.67	0
t_n409	6.479	5.06	8.01	0
t_n410	3.84	2.51	5.42	0
t_n411	1.796	1.15	2.63	0
t_n412	5.023	3.19	6.97	0
t_n413	3.003	1.47	4.92	0
t_n414	10.984	8.65	13.36	0
t_n415	8.525	6.38	10.83	0
t_n416	7.594	5.59	9.77	0
t_n417	2.889	1.13	5.35	0
t_n418	1.602	0.44	3.47	0
t_n419_Notoryctemorphia	3.989	2.19	6.48	NA
t_n420_Diprotodontia	37.313	35.81	38.87	NA
t_n421_Phalangerida	35.015	33.77	36.24	NA
t_n422_Macropodiformes	34.399	33.17	35.6	NA
t_n423	29.173	27.88	30.32	0
t_n424_Macropodidae-Potoridae	24.144	22.92	25.03	B(0.247,0.33)
t_n425_Macropodidae	21.428	20.02	22.62	NA
t_n426	16.094	14.55	17.56	0
t_n427	14.71	13.25	16.12	0
t_n428	13.521	12.09	14.92	0
t_n429	11.5	10.15	12.85	0
t_n430	9.215	7.91	10.56	0
t_n431	8.524	7.33	9.76	0
t_n432	7.787	6.49	9.12	0
t_n433	4.532	3.47	5.71	0
t_n434	4.16	3.15	5.29	0
t_n435	3.807	2.83	4.9	0
t_n436	2.324	1.61	3.19	0
t_n437	1.19	0.74	1.78	0
t_n438	0.972	0.56	1.51	0
t_n439	1.204	0.72	1.83	0
t_n440	1.433	0.87	2.15	0
t_n441	0.411	0.18	0.76	0
t_n442	4.677	3.64	5.82	0
t_n443	4.101	3.16	5.15	0
t_n444	3.094	1.39	4.57	0
t_n445	9.104	7.85	10.4	0
t_n446	6.504	5.11	8.05	0
t_n447	5.732	4.59	6.97	0
t_n448	11.177	9.57	12.77	0
t_n449	8.539	6.99	10.14	0
t_n450	6.937	5.47	8.49	0
