Mean_time	Mean_qlow	Mean_qup	Priors
t_n268_Mammalia	176.177	160.79	207.34	ST(1.642,0.425,12.652,1714.565)
t_n269_Sciuromorpha	58.658	55.2	61.1	B(0.4103,0.5924)
t_n270	52.942	49.25	55.94	0
t_n271	47.524	43.79	50.76	0
t_n272	43.857	40.11	47.25	0
t_n273	42.091	38.45	45.4	0
t_n274	39.428	35.79	42.8	0
t_n275	35.588	32.09	38.93	0
t_n276	34.958	31.51	38.27	0
t_n277	33.308	29.99	36.5	0
t_n278	22.28	19.2	25.36	0
t_n279	17.781	15.17	20.48	0
t_n280	15.462	12.88	18.13	0
t_n281	13.934	11.31	16.65	0
t_n282	10.607	7.33	13.65	0
t_n283	9.473	6.11	12.63	0
t_n284	8.823	5.58	11.99	0
t_n285	4.359	2.43	6.49	0
t_n286	3.679	1.98	5.67	0
t_n287	2.194	1.03	3.79	0
t_n288	1.159	0.38	2.36	0
t_n289	0.66	0.13	1.63	0
t_n290	3.098	1.5	5.14	0
t_n291	1.553	0.51	3.14	0
t_n292	0.435	0.04	1.26	0
t_n293	2.182	0.79	4.36	0
t_n294	9.285	6.3	12.36	0
t_n295	6.522	4.41	9.23	0
t_n296	5.091	3.21	7.41	0
t_n297	3.41	1.81	5.43	0
t_n298	2.065	0.88	3.74	0
t_n299	1.465	0.56	2.84	0
t_n300	5.013	3.01	7.38	0
t_n301	0.242	0.02	0.77	0
t_n302	7.82	4.87	11.19	0
t_n303	12.447	10.2	14.83	0
t_n304	10.802	8.43	13.33	0
t_n305	9.585	7.36	12	0
t_n306	7.187	5.33	9.4	0
t_n307	3.826	2.41	5.6	0
t_n308	3.107	1.93	4.59	0
t_n309	2.958	1.85	4.38	0
t_n310	4.069	2.93	5.42	0
t_n311	2.131	1.12	3.41	0
t_n312	0.997	0.36	1.92	0
t_n313	1.527	0.72	2.61	0
t_n314	6.1	4.27	8.47	0
t_n315	4.276	2.96	5.83	0
t_n316	0.776	0.14	1.92	0
t_n317	10.201	6.61	13.58	0
t_n318	9.126	5.7	12.54	0
t_n319	3.961	2.05	6.24	0
t_n320	2.774	1.35	4.73	0
t_n321	2.373	1.11	4.16	0
t_n322	2.026	0.92	3.63	0
t_n323	0.271	0.03	0.8	0
t_n324	2.883	1.32	5.1	0
t_n325	9.056	5.84	12.39	0
t_n326	5.471	3.25	8.26	0
t_n327	7.407	4.54	10.9	0
t_n328	16.297	13.69	19.03	0
t_n329	6.704	5.18	8.66	0
t_n330	6.218	4.82	8.02	0
t_n331	5.903	4.56	7.6	0
t_n332	5.491	4.19	7.11	0
t_n333	2.694	1.72	3.91	0
t_n334	1.779	1.04	2.74	0
t_n335	0.904	0.39	1.64	0
t_n336	5.24	3.96	6.82	0
t_n337	3.687	2.57	5.07	0
t_n338	5.428	4.14	7.04	0
t_n339	4.235	3.02	5.69	0
t_n340	3.608	2.44	5.01	0
t_n341	4.313	2.97	5.89	0
t_n342	13.37	10.31	16.51	0
t_n343	5.716	3.75	8.17	0
t_n344	5.122	3.29	7.39	0
t_n345	1.915	0.94	3.3	0
t_n346	1.13	0.5	2.1	0
t_n347	0.555	0.18	1.18	0
t_n348	0.324	0.07	0.78	0
t_n349	0.086	0	0.31	0
t_n350	0.344	0.07	0.84	0
t_n351	0.929	0.26	2.09	0
t_n352	5.588	3.4	8.33	0
t_n353	3.834	2.07	6.01	0
t_n354	19.703	15.32	23.61	0
t_n355	4.534	2.26	7.18	0
t_n356	3.92	1.9	6.35	0
t_n357	1.025	0.27	2.35	0
t_n358	9.342	4.86	14.86	0
t_n359	23.01	19.58	26.44	0
t_n360	18.11	14.6	21.79	0
t_n361	12.673	9.68	16.05	0
t_n362	10.388	7.88	13.33	0
t_n363	9.833	7.47	12.6	0
t_n364	6.235	4.62	8.34	0
t_n365	5.861	4.34	7.8	0
t_n366	4.837	3.51	6.47	0
t_n367	4.529	3.25	6.1	0
t_n368	3.57	2.44	4.98	0
t_n369	3.035	2.04	4.31	0
t_n370	2.693	1.76	3.89	0
t_n371	1.945	1.2	2.94	0
t_n372	1.693	1.02	2.6	0
t_n373	1.315	0.75	2.09	0
t_n374	0.805	0.41	1.38	0
t_n375	0.65	0.31	1.16	0
t_n376	1.786	1.04	2.79	0
t_n377	3.701	2.5	5.19	0
t_n378	2.468	1.55	3.67	0
t_n379	1.702	0.9	2.78	0
t_n380	0.345	0.08	0.81	0
t_n381	2.026	1.19	3.13	0
t_n382	0.402	0.09	0.95	0
t_n383	6.11	3.53	9.67	0
t_n384	25.147	21.53	29.15	0
t_n385	23.572	20.03	27.46	0
t_n386	22.58	18.82	26.55	0
t_n387	17.54	13.95	21.4	0
t_n388	15.55	10.57	20.05	0
t_n389	8.075	4.66	12.52	0
t_n390	13.255	9.23	17.47	0
t_n391	14.298	10.23	18.65	0
t_n392	14.212	7.75	20.43	0
t_n393	29.927	24.57	34.58	0
t_n394	15.193	10.39	20.42	0
t_n395	10.91	6.4	15.67	0
t_n396	3.49	1.63	6	0
t_n397	40.285	36.65	43.63	0
t_n398	33.266	29.72	36.67	0
t_n399	28.08	24.65	31.43	0
t_n400	26.253	22.88	29.63	0
t_n401	14.455	9.77	19.24	0
t_n402	12.367	8.16	16.89	0
t_n403	11.402	7.43	15.75	0
t_n404	6.595	4.34	9.89	0
t_n405	4.737	3.29	6.45	0
t_n406	4.416	3.1	5.96	0
t_n407	0.848	0.36	1.58	0
t_n408	1.336	0.44	2.97	0
t_n409	2.651	1.03	5.18	0
t_n410	10.377	6.15	15.18	0
t_n411	8.606	5	13.36	0
t_n412	6.905	3.86	11.34	0
t_n413	2.787	1	5.63	0
t_n414	0.188	0	0.81	0
t_n415	2.129	0.63	4.76	0
t_n416	22.788	19.29	26.22	0
t_n417	19.524	15.92	23.14	0
t_n418	11.775	8.43	15.46	0
t_n419	5.446	3.59	7.63	0
t_n420	4.885	3.12	6.93	0
t_n421	12.247	8.2	16.56	0
t_n422	5.681	2.77	10.05	0
t_n423	23.918	20.55	27.39	0
t_n424	22.109	18.87	25.36	0
t_n425	18.545	15.22	21.95	0
t_n426	16.949	13.53	20.41	0
t_n427	13.069	10.18	16.11	0
t_n428	11.351	8.46	14.41	0
t_n429	3.292	1.36	5.89	0
t_n430	14.028	7.93	19.17	0
t_n431	9.165	4.55	14.62	0
t_n432	6.904	3.9	12.24	0
t_n433	6.069	3.28	11.14	0
t_n434	22.016	18.59	25.42	0
t_n435	16.981	13.71	20.55	0
t_n436	15.857	12.92	18.93	0
t_n437	13.017	9.27	17.01	0
t_n438	9.061	6.87	11.5	0
t_n439	8.49	6.42	10.84	0
t_n440	7.744	5.89	9.96	0
t_n441	7.234	5.55	9.33	0
t_n442	6.404	4.89	8.43	0
t_n443	6.111	4.65	8.06	0
t_n444	5.59	4.19	7.38	0
t_n445	4.994	3.66	6.66	0
t_n446	4.276	2.94	5.89	0
t_n447	0.72	0.28	1.4	0
t_n448	0.36	0.02	1	0
t_n449	0.523	0.19	1.1	0
t_n450	0.441	0.15	0.96	0
t_n451	0.149	0.01	0.52	0
t_n452	5.91	4.45	7.72	0
t_n453	5.165	3.8	6.79	0
t_n454	4.646	3.24	6.24	0
t_n455	3.543	1.98	5.25	0
t_n456	3.19	1.66	4.9	0
t_n457	1.418	0.4	2.87	0
t_n458	2.199	0.39	4.86	0
t_n459	12.78	9.34	16.29	0
t_n460	4.247	2.3	6.58	0
t_n461	3.304	1.71	5.45	0
t_n462	2.046	0.71	3.92	0
t_n463	30.708	26.05	35.03	0
t_n464	28.241	24.03	32.33	0
t_n465	24.533	21.09	28.15	0
t_n466	23.797	20.36	27.33	0
t_n467	22.945	19.52	26.39	0
t_n468	21.318	17.98	24.6	0
t_n469	18.894	15.52	22.24	0
t_n470	16.91	13.29	20.5	0
t_n471	15.479	11.89	19.1	0
t_n472	14.579	10.95	18.27	0
t_n473	6.429	3.91	10.13	0
t_n474	1.539	0.62	3.11	0
t_n475	0.796	0.24	1.84	0
t_n476	0.411	0.09	1.05	0
t_n477	11.423	7.21	15.56	0
t_n478	4.852	2.55	7.42	0
t_n479	4.042	2.1	6.27	0
t_n480	10.505	6.79	14.63	0
t_n481	5.946	3.17	10.1	0
t_n482	6.948	4.02	11.23	0
t_n483	10.513	5.82	15.21	0
t_n484	0.085	0	0.37	0
t_n485	11.029	8.22	13.95	0
t_n486	9.652	6.57	12.71	0
t_n487	4.086	2.26	6.22	0
t_n488	2.695	1.31	4.54	0
t_n489	5.144	2.96	7.77	0
t_n490	8.444	5.41	11.77	0
t_n491	2.465	1.15	4.38	0
t_n492	18.862	15.49	22.22	0
t_n493	15.949	13.01	18.91	0
t_n494	10.237	7.07	13.65	0
t_n495	8.42	5.51	11.92	0
t_n496	7.059	4.61	10.31	0
t_n497	5.204	3.25	7.83	0
t_n498	2.883	1.57	4.66	0
t_n499	10.864	7.69	14	0
t_n500	4.474	2.7	6.51	0
t_n501	9.805	6.72	12.93	0
t_n502	14.062	10.21	17.99	0
t_n503	18.767	14.53	23.01	0
t_n504	13.84	9.7	18.22	0
t_n505	13.609	9.18	18.35	0
t_n506	14.047	8.69	19.85	0
t_n507	9.425	5.58	14.1	0
t_n508	5.384	2.86	9.06	0
t_n509	13.169	7.16	19.66	0
